participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,104.86538461538461,-31.28846153846154,31.28846153846154,44.92747193131442,0.7076014205125887,52,52,0
VP_001,tsst,Pause_1,72.75,106.08333333333333,-33.333333333333336,33.333333333333336,54.74894504649519,0.015621151016909758,12,12,0
VP_001,tsst,Talk,85.74468085106383,103.57446808510639,-17.829787234042552,24.80851063829787,32.374794068158124,0.2560483422323931,47,47,0
VP_001,tsst,Math,69.52727272727273,101.58181818181818,-32.054545454545455,32.054545454545455,47.964667948691286,0.11670942031676844,55,55,0
VP_001,tsst,Pause_5,70.15384615384616,102.23076923076923,-32.07692307692308,32.07692307692308,48.72032193828617,0.5817301649386205,13,13,0
VP_001,ftsst,Prep,75.32,104.62,-29.3,29.3,45.11286580210628,0.6428899249753173,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,104.4,-44.733333333333334,44.733333333333334,78.68579299027527,0.4098486506662898,15,15,0
VP_001,ftsst,Talk,91.6590909090909,93.8409090909091,-2.1818181818181817,29.318181818181817,35.82333444613048,0.23113384111944835,44,44,0
VP_001,ftsst,Math,88.95121951219512,113.85365853658537,-24.902439024390244,26.024390243902438,39.29853365005728,0.5188204699672418,41,41,0
VP_001,ftsst,Pause_5,105.38461538461539,129.6153846153846,-24.23076923076923,24.23076923076923,26.875092262682376,0.4752574663475734,13,13,0
VP_002,tsst,Prep,79.53571428571429,104.58928571428571,-25.053571428571427,25.767857142857142,33.04559105132119,0.32054172933245617,56,56,0
VP_002,tsst,Pause_1,78.05,109.95,-31.9,31.9,46.108711171547554,-0.07931809069258842,20,20,0
VP_002,tsst,Talk,71.22727272727273,91.78333333333333,-20.666666666666668,21.833333333333332,33.56487510186257,-0.09607085450241196,66,60,6
VP_002,tsst,Math,79.18181818181819,109.21875,-29.953125,31.921875,41.58311464008611,0.1510469117000538,66,64,2
