participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,61.15384615384615,12.423076923076923,12.807692307692308,17.575467269479663,0.6432472462886003,52,52,0
VP_001,tsst,Pause_1,72.75,42.0,30.75,30.75,41.86563018654499,0.3196070006975685,12,12,0
VP_001,tsst,Talk,85.74468085106383,58.977777777777774,26.711111111111112,26.711111111111112,29.00309871536267,0.12486784756187666,47,45,2
VP_001,tsst,Math,69.52727272727273,62.45454545454545,7.072727272727272,12.418181818181818,17.504082627717512,0.18315766167621864,55,55,0
VP_001,tsst,Pause_5,70.15384615384616,43.18181818181818,22.90909090909091,22.90909090909091,34.24734147383122,0.4006804941433649,13,11,2
VP_001,ftsst,Prep,75.32,60.58,14.74,17.18,23.060088290290825,0.5971590827778389,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,39.06666666666667,20.6,20.6,34.42793627849849,0.4309706389044614,15,15,0
VP_001,ftsst,Talk,91.6590909090909,71.43181818181819,20.227272727272727,23.954545454545453,26.704915952307218,0.6937387964906895,44,44,0
VP_001,ftsst,Math,88.95121951219512,69.63414634146342,19.317073170731707,31.658536585365855,37.936132492447875,0.09994098549213663,41,41,0
VP_001,ftsst,Pause_5,105.38461538461539,75.84615384615384,29.53846153846154,43.23076923076923,40.241539486943324,0.30807629263652203,13,13,0
VP_002,tsst,Prep,79.53571428571429,33.84,45.64,45.64,57.39199065742057,0.12814092729294066,56,50,6
VP_002,tsst,Pause_1,78.05,43.45,34.6,34.6,42.673137294601176,0.05619069966295502,20,20,0
VP_002,tsst,Talk,71.22727272727273,35.4,35.753846153846155,35.753846153846155,49.36437036068577,0.06556076318418745,66,65,1
VP_002,tsst,Math,79.18181818181819,45.58461538461538,33.646153846153844,33.646153846153844,42.165209569880034,0.14036157737610963,66,65,1
VP_002,tsst,Pause_5,112.38888888888889,55.666666666666664,56.72222222222222,56.833333333333336,49.34790174699706,-0.2112563173399169,18,18,0
VP_002,ftsst,Prep,95.02380952380952,55.04761904761905,39.976190476190474,42.11904761904762,43.56829578886537,-0.03179356422461485,42,42,0
VP_002,ftsst,Pause_1,61.95,33.9,28.05,28.05,46.02898661689119,0.4827385318772428,20,20,0
VP_002,ftsst,Talk,85.0,57.3469387755102,26.653061224489797,26.897959183673468,29.68494768289095,0.1293856701417118,51,49,2
VP_002,ftsst,Math,67.6734693877551,48.857142857142854,18.816326530612244,19.06122448979592,27.44373183625923,0.19264970488739525,49,49,0
VP_002,ftsst,Pause_5,116.58823529411765,64.0,52.588235294117645,52.588235294117645,45.32224480328231,0.41603312662436204,17,17,0
VP_003,tsst,Prep,67.275,54.61538461538461,12.615384615384615,12.615384615384615,18.69771989509235,0.29938862679560146,40,39,1
VP_003,tsst,Pause_1,66.3,57.3,9.0,13.8,20.394380537762892,-0.17285279339447399,10,10,0
VP_003,tsst,Talk,66.30434782608695,54.23913043478261,12.065217391304348,12.717391304347826,19.523990866888372,0.49667117270002425,46,46,0
VP_003,tsst,Math,69.67441860465117,60.06976744186046,9.604651162790697,11.0,16.206222389918533,0.5506845971246822,43,43,0
VP_003,tsst,Pause_5,96.54545454545455,99.72727272727273,-3.1818181818181817,10.818181818181818,10.462248735297855,0.7221307111267862,11,11,0
VP_003,ftsst,Prep,112.11764705882354,93.81818181818181,18.272727272727273,18.272727272727273,15.729064121764875,0.2261074594610631,34,33,1
VP_003,ftsst,Pause_1,97.91666666666667,85.83333333333333,12.083333333333334,12.25,11.877541489410335,0.8191435686068917,12,12,0
VP_003,ftsst,Talk,98.55,84.45,14.1,24.3,22.693139927479983,0.20760128285465362,40,40,0
VP_003,ftsst,Math,102.67567567567568,96.32432432432432,6.351351351351352,25.54054054054054,23.184960125502123,0.36609231792972663,37,37,0
VP_003,ftsst,Pause_5,118.0,107.6,10.4,12.8,10.854970905721306,0.35714171553508983,10,10,0
VP_004,tsst,Prep,116.1470588235294,90.1470588235294,26.0,26.058823529411764,20.970446733783646,0.16986355161693661,34,34,0
VP_004,tsst,Pause_1,133.6,127.0,6.6,11.0,8.235468674605709,-0.5043137796428344,10,10,0
VP_004,tsst,Talk,125.52272727272727,105.88372093023256,19.58139534883721,42.13953488372093,32.133911238470645,0.29207890724261876,44,43,1
VP_004,tsst,Math,119.16216216216216,95.97222222222223,23.083333333333332,23.083333333333332,17.750754210687447,0.28532658679810396,37,36,1
VP_004,tsst,Pause_5,134.6,121.9,12.7,23.1,17.723807504531962,-0.8068861650156275,10,10,0
VP_004,ftsst,Prep,102.08333333333333,92.91666666666667,9.166666666666666,13.0,12.29555256697251,0.3485931421950979,36,36,0
VP_004,ftsst,Pause_1,103.0,81.16666666666667,21.833333333333332,34.333333333333336,33.27015042794213,0.4166624854231544,12,12,0
VP_004,ftsst,Talk,123.29411764705883,107.91176470588235,15.382352941176471,17.205882352941178,14.286292899926762,0.284119081543555,34,34,0
VP_004,ftsst,Math,123.42857142857143,110.51428571428572,12.914285714285715,19.771428571428572,16.025777257883124,0.5159672040004685,35,35,0
VP_004,ftsst,Pause_5,136.1,118.5,17.6,17.8,13.048008807756801,0.5028412524867679,10,10,0
VP_005,tsst,Prep,65.25490196078431,43.627450980392155,21.627450980392158,22.49019607843137,34.67398140060944,0.2894406038252521,51,51,0
VP_005,tsst,Pause_1,54.705882352941174,30.571428571428573,24.428571428571427,24.428571428571427,44.416466183929394,0.4491829204516876,17,14,3
VP_005,tsst,Talk,69.94117647058823,49.8125,19.729166666666668,24.729166666666668,34.247357762367066,0.6535973630105107,51,48,3
VP_005,tsst,Math,64.71428571428571,37.2,28.0,30.181818181818183,44.03490503341028,0.04481591732854547,56,55,1
VP_005,tsst,Pause_5,101.06666666666666,46.13333333333333,54.93333333333333,54.93333333333333,54.52154035665589,0.2170597606632452,15,15,0
VP_005,ftsst,Prep,65.22727272727273,48.90909090909091,16.318181818181817,16.863636363636363,23.49841723173284,0.2942838299325401,44,44,0
VP_005,ftsst,Pause_1,74.33333333333333,60.666666666666664,13.666666666666666,13.666666666666666,17.94711898201629,0.16295932268105473,18,18,0
VP_005,ftsst,Talk,83.15094339622641,63.23076923076923,19.78846153846154,22.134615384615383,25.148567607274142,0.43706328143616446,53,52,1
VP_005,ftsst,Math,111.10204081632654,100.24489795918367,10.857142857142858,15.306122448979592,14.999735363773418,0.5511117940272688,49,49,0
VP_005,ftsst,Pause_5,133.07142857142858,126.07142857142857,7.0,7.0,5.274442493228527,0.3030734484447083,14,14,0
VP_020,tsst,Prep,78.46938775510205,49.91836734693877,28.551020408163264,38.183673469387756,49.676399024873454,-0.12891689394739125,49,49,0
VP_020,tsst,Pause_1,82.78571428571429,42.2,30.3,30.3,40.6291834883569,0.1522035651824594,14,10,4
VP_020,tsst,Talk,73.53061224489795,54.06382978723404,19.74468085106383,20.127659574468087,24.843312720111204,0.7421812059095787,49,47,2
VP_020,tsst,Math,94.43478260869566,62.95652173913044,31.47826086956522,41.08695652173913,42.43476186724915,0.09351190014193057,46,46,0
VP_020,tsst,Pause_5,112.83333333333333,62.583333333333336,50.25,54.25,48.042466718951886,-0.15813788736332401,12,12,0
VP_020,ftsst,Prep,66.0,49.23809523809524,16.61904761904762,19.476190476190474,27.126575861779322,0.4702316394183142,43,42,1
VP_020,ftsst,Pause_1,63.0,46.333333333333336,14.333333333333334,15.222222222222221,22.734503530173317,0.3145243085224405,16,9,7
