participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,72.90384615384616,99.42307692307692,-26.51923076923077,26.51923076923077,41.00918247909345,0.7204809334433411,52,52,0
VP_001,tsst,Pause_1,53.0,94.0,-39.92857142857143,39.92857142857143,106.70836964925299,0.8365720029522702,15,14,1
VP_001,tsst,Talk,78.82978723404256,98.27659574468085,-19.4468085106383,29.48936170212766,46.65860824589397,0.21951246798303709,47,47,0
VP_001,tsst,Math,69.41818181818182,94.8,-25.381818181818183,25.381818181818183,39.97403040351699,0.5223824398814172,55,55,0
VP_001,tsst,Pause_5,62.5,84.92857142857143,-22.428571428571427,29.571428571428573,55.47531427290448,0.21490184437364568,14,14,0
VP_001,ftsst,Prep,76.06122448979592,105.53061224489795,-29.46938775510204,29.551020408163264,46.4099986297699,0.6104412242575304,49,49,0
VP_001,ftsst,Pause_1,55.666666666666664,98.66666666666667,-43.0,43.0,78.31863309699833,0.4524317947220111,15,15,0
VP_001,ftsst,Talk,83.79069767441861,97.65116279069767,-13.86046511627907,34.13953488372093,48.363995381125804,0.12079470221596368,43,43,0
VP_001,ftsst,Math,74.57142857142857,93.95121951219512,-18.317073170731707,33.78048780487805,52.43856691468867,-0.04821691378018946,42,41,1
VP_001,ftsst,Pause_5,95.23076923076923,119.53846153846153,-24.307692307692307,24.307692307692307,32.17640922934066,0.44168171842967785,13,13,0
VP_002,tsst,Prep,70.73214285714286,86.76785714285714,-16.035714285714285,18.071428571428573,38.905059944358335,0.5101690018876466,56,56,0
VP_002,tsst,Pause_1,70.45,99.95,-29.5,29.5,46.72908919447614,0.8652484970896078,20,20,0
VP_002,tsst,Talk,61.803030303030305,88.48484848484848,-26.681818181818183,26.681818181818183,50.33423940076545,0.462308724773799,66,66,0
VP_002,tsst,Math,69.33333333333333,91.24242424242425,-21.90909090909091,22.848484848484848,37.28745890351288,0.1725416333412833,66,66,0
VP_002,tsst,Pause_5,106.27777777777777,116.05555555555556,-9.777777777777779,14.88888888888889,16.56172995871312,0.07107505309938494,18,18,0
VP_002,ftsst,Prep,89.53658536585365,97.78048780487805,-8.24390243902439,21.902439024390244,27.136276602913025,0.05815974813427132,41,41,0
VP_002,ftsst,Pause_1,60.3,78.9,-18.6,18.6,31.241066674439214,0.7269333357186818,20,20,0
VP_002,ftsst,Talk,79.61224489795919,91.76595744680851,-12.574468085106384,30.23404255319149,38.64340643105405,-0.11878040800572509,49,47,2
VP_002,ftsst,Math,64.58695652173913,80.54545454545455,-16.09090909090909,25.09090909090909,39.85049861996594,0.09467202919370167,46,44,2
VP_002,ftsst,Pause_5,118.88235294117646,103.6470588235294,15.235294117647058,16.88235294117647,14.119964578238196,-0.14261962645501064,17,17,0
VP_003,tsst,Prep,63.75,98.95,-35.2,35.2,58.60187325197778,0.5084663813409505,40,40,0
VP_003,tsst,Pause_1,63.3,100.8,-37.5,37.5,59.59840723890964,0.37541680890727314,10,10,0
VP_003,tsst,Talk,60.5,95.58695652173913,-35.08695652173913,35.08695652173913,63.75446727596589,0.34685091117383915,46,46,0
