participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,72.90384615384616,26.717391304347824,45.82608695652174,46.21739130434783,64.06096060536126,0.39441783655418344,52,46,6
VP_001,tsst,Pause_1,53.0,49.214285714285715,2.7142857142857144,22.142857142857142,50.412957130967705,-0.26918190187588664,15,14,1
VP_001,tsst,Talk,78.82978723404256,44.733333333333334,35.044444444444444,43.577777777777776,56.4577897669043,0.020492714118974638,47,45,2
VP_001,tsst,Math,69.41818181818182,32.08,38.88,40.24,56.38717511499933,0.11323992095899799,55,50,5
VP_001,tsst,Pause_5,62.5,30.285714285714285,32.214285714285715,34.214285714285715,51.002357309633794,-0.19569996949476084,14,14,0
VP_001,ftsst,Prep,76.06122448979592,36.30612244897959,39.755102040816325,42.36734693877551,54.11876958230483,-0.30204320505627363,49,49,0
VP_001,ftsst,Pause_1,55.666666666666664,57.13333333333333,-1.4666666666666666,10.133333333333333,18.835364438121136,-0.3711306079135268,15,15,0
VP_001,ftsst,Talk,83.79069767441861,55.95348837209303,27.837209302325583,37.46511627906977,44.536958594568034,0.21801138023861696,43,43,0
VP_001,ftsst,Math,74.57142857142857,55.292682926829265,20.341463414634145,35.1219512195122,45.65848556407977,-0.28356449199982664,42,41,1
VP_001,ftsst,Pause_5,95.23076923076923,70.53846153846153,24.692307692307693,31.153846153846153,31.591307443451896,0.011257661961394865,13,13,0
VP_002,tsst,Prep,70.73214285714286,46.75,23.982142857142858,30.482142857142858,48.71824592709553,-0.08686535159847615,56,56,0
VP_002,tsst,Pause_1,70.45,31.3,39.15,42.55,57.705867752422854,-0.37872238519375145,20,20,0
VP_002,tsst,Talk,61.803030303030305,25.555555555555557,36.46031746031746,38.142857142857146,59.0887323777135,-0.2525688022298706,66,63,3
VP_002,tsst,Math,69.33333333333333,35.53030303030303,33.803030303030305,36.833333333333336,50.13842027348491,-0.4872770948230104,66,66,0
VP_002,tsst,Pause_5,106.27777777777777,56.833333333333336,49.44444444444444,49.44444444444444,48.15887771877046,0.7408181861618452,18,18,0
VP_002,ftsst,Prep,89.53658536585365,37.0,52.53658536585366,53.707317073170735,58.47358016361762,-0.09359002198878233,41,41,0
VP_002,ftsst,Pause_1,60.3,16.210526315789473,44.21052631578947,44.21052631578947,73.18603978277673,0.1445568992040335,20,19,1
VP_002,ftsst,Talk,79.61224489795919,57.326530612244895,22.285714285714285,27.224489795918366,31.455145411884832,-0.09705093872411871,49,49,0
VP_002,ftsst,Math,64.58695652173913,27.63157894736842,36.63157894736842,38.26315789473684,58.19159711556713,-0.1395745338510723,46,38,8
VP_002,ftsst,Pause_5,118.88235294117646,81.23529411764706,37.64705882352941,37.64705882352941,31.71079043778929,0.32844959717070654,17,17,0
VP_003,tsst,Prep,63.75,53.7,10.05,13.95,21.98173898912946,-0.22870587396965714,40,40,0
VP_003,tsst,Pause_1,63.3,50.5,12.8,17.8,27.047561260919803,-0.6867808270009117,10,10,0
VP_003,tsst,Talk,60.5,33.25581395348837,27.976744186046513,30.3953488372093,46.12121263795123,-0.39546801774428764,46,43,3
VP_003,tsst,Math,69.95348837209302,37.35897435897436,33.35897435897436,33.41025641025641,45.65041369782097,-0.17417452069601846,43,39,4
VP_003,tsst,Pause_5,72.54545454545455,76.0,-3.4545454545454546,3.6363636363636362,5.15439600901617,0.8464485192765361,11,11,0
VP_003,ftsst,Prep,86.5,75.94117647058823,10.558823529411764,16.5,18.139312095271936,0.006422501380112361,34,34,0
VP_003,ftsst,Pause_1,87.75,64.16666666666667,23.583333333333332,28.75,32.53036197929978,0.23405105465988718,12,12,0
VP_003,ftsst,Talk,85.72972972972973,57.54054054054054,28.18918918918919,29.81081081081081,33.96919942777133,0.24628582254309697,37,37,0
VP_003,ftsst,Math,102.97297297297297,60.30555555555556,42.361111111111114,46.75,44.92664531336678,-0.07097558074198557,37,36,1
VP_003,ftsst,Pause_5,101.5,79.6,21.9,24.1,22.5443741333054,0.017593070015272525,10,10,0
VP_004,tsst,Prep,89.0,64.44117647058823,24.558823529411764,25.558823529411764,27.804034149281865,0.2722264805417034,34,34,0
VP_004,tsst,Pause_1,105.6,67.8,37.8,37.8,35.71986281887981,0.32981754234241045,10,10,0
VP_004,tsst,Talk,80.52631578947368,51.0,31.37142857142857,39.48571428571429,49.331056864431275,0.3167611392506494,38,35,3
VP_004,tsst,Math,83.07894736842105,48.81578947368421,34.26315789473684,37.26315789473684,42.31958324554706,-0.1888550890155326,38,38,0
VP_004,tsst,Pause_5,115.0,78.1,36.9,36.9,32.641125065640544,0.8656611804220148,10,10,0
VP_004,ftsst,Prep,87.5,63.888888888888886,23.61111111111111,27.38888888888889,30.607936636971065,0.06462582563289136,36,36,0
VP_004,ftsst,Pause_1,77.58333333333333,62.833333333333336,14.75,30.416666666666668,38.89251269752727,0.10536894408407829,12,12,0
VP_004,ftsst,Talk,118.02941176470588,88.61764705882354,29.41176470588235,30.176470588235293,24.92953021838231,0.5867537255655106,34,34,0
VP_004,ftsst,Math,102.97222222222223,75.5,27.47222222222222,33.19444444444444,32.88324741637336,0.40451250726558685,36,36,0
VP_004,ftsst,Pause_5,115.5,92.8,22.7,29.9,25.88765935513416,0.10482541814986175,10,10,0
VP_005,tsst,Prep,58.5,38.42857142857143,20.071428571428573,20.976190476190474,33.49399014183925,0.20564210132583716,50,42,8
VP_005,tsst,Pause_1,46.421052631578945,16.0,30.90909090909091,30.90909090909091,66.64604166448851,0.7630112185321029,19,11,8
VP_005,tsst,Talk,58.333333333333336,43.77142857142857,17.228571428571428,25.914285714285715,41.03288442260415,0.6325515241028287,48,35,13
VP_005,tsst,Math,48.870370370370374,40.56521739130435,8.043478260869565,26.695652173913043,62.28368998993765,-0.11553363002792587,54,46,8
VP_005,tsst,Pause_5,98.66666666666667,63.6,35.06666666666667,36.53333333333333,36.65880029109227,0.7651637107079837,15,15,0
VP_005,ftsst,Prep,51.275,62.875,-11.6,17.6,38.73468414233507,-0.027942394991300717,40,40,0
VP_005,ftsst,Pause_1,62.64705882352941,41.64705882352941,21.0,23.823529411764707,38.08112651111552,-0.18454929747035628,17,17,0
VP_005,ftsst,Talk,79.94,42.3,37.64,42.92,52.20842135427624,-0.10056203462828502,50,50,0
VP_005,ftsst,Math,110.53191489361703,64.97872340425532,45.5531914893617,47.680851063829785,43.348130724009636,0.23674439924884913,47,47,0
VP_005,ftsst,Pause_5,130.85714285714286,86.78571428571429,44.07142857142857,44.07142857142857,33.81837392108287,0.5804183737958365,14,14,0
VP_020,tsst,Prep,37.93617021276596,61.43478260869565,-23.282608695652176,28.065217391304348,83.18728364490225,-0.22918456154240344,47,46,1
VP_020,tsst,Pause_1,35.333333333333336,60.6,-30.0,30.0,102.05232853700082,0.6058131210729027,12,10,2
VP_020,tsst,Talk,55.55555555555556,61.609756097560975,-6.487804878048781,29.317073170731707,58.82768614453281,0.07602399979879901,45,41,4
VP_020,tsst,Math,63.47727272727273,71.88636363636364,-8.409090909090908,32.45454545454545,66.85283363133539,-0.1550852520159185,44,44,0
VP_020,tsst,Pause_5,109.08333333333333,77.41666666666667,31.666666666666668,31.666666666666668,28.87444196552138,-0.21524151792823396,12,12,0
VP_020,ftsst,Prep,48.35,58.87179487179487,-10.692307692307692,26.076923076923077,59.009854772235016,-0.1902572577928632,40,39,1
VP_020,ftsst,Pause_1,41.35294117647059,56.9,-16.3,24.3,63.85368931507114,-0.5008472232652251,17,10,7
VP_020,ftsst,Talk,65.6,66.02325581395348,-1.2325581395348837,36.76744186046512,76.7427599735367,-0.6241984816639334,45,43,2
VP_020,ftsst,Math,70.6842105263158,62.73684210526316,7.947368421052632,28.31578947368421,45.16877856353984,-0.02948971193650351,38,38,0
VP_020,ftsst,Pause_5,106.33333333333333,85.75,20.583333333333332,27.583333333333332,28.659948746105304,-0.14845607925053275,12,12,0
VP_022,tsst,Prep,102.41176470588235,56.470588235294116,45.94117647058823,46.23529411764706,44.845013498642544,0.28377352326541,34,34,0
VP_022,tsst,Pause_1,94.25,46.833333333333336,47.416666666666664,47.416666666666664,50.011707380292165,0.48254174790375426,12,12,0
VP_022,tsst,Talk,108.0909090909091,70.54545454545455,37.54545454545455,42.81818181818182,39.63553363929499,0.13570310511222983,22,22,0
VP_022,tsst,Math,104.77777777777777,58.142857142857146,46.94285714285714,47.05714285714286,44.44781789515085,0.29181065860378813,36,35,1
VP_022,tsst,Pause_5,103.63636363636364,51.36363636363637,52.27272727272727,52.27272727272727,50.58310444713598,0.45493724660440493,11,11,0
VP_022,ftsst,Prep,104.85714285714286,53.68571428571428,51.17142857142857,52.542857142857144,48.43834657713867,-0.5078349636258737,35,35,0
VP_022,ftsst,Pause_1,97.36363636363636,58.72727272727273,38.63636363636363,45.36363636363637,48.51527074346459,-0.18977572489509048,11,11,0
VP_022,ftsst,Talk,106.54545454545455,56.09090909090909,50.45454545454545,50.45454545454545,47.78077584180283,0.6067106820113275,33,33,0
VP_022,ftsst,Math,106.88235294117646,56.85294117647059,50.029411764705884,50.029411764705884,47.43630537419295,0.6791973065905752,34,34,0
VP_022,ftsst,Pause_5,110.72727272727273,57.18181818181818,53.54545454545455,53.54545454545455,48.56798115087201,0.5825383182549672,11,11,0
VP_023,tsst,Prep,87.12903225806451,47.064516129032256,40.064516129032256,40.064516129032256,45.90075238627878,0.02861891766615395,31,31,0
VP_023,tsst,Pause_1,86.22222222222223,48.55555555555556,37.666666666666664,37.666666666666664,43.57532400727868,-0.14009767048621896,9,9,0
VP_023,tsst,Talk,92.97222222222223,41.0,52.5,55.5625,58.18025457177839,0.11677042452160859,36,32,4
VP_023,tsst,Math,86.02173913043478,41.266666666666666,44.91111111111111,44.91111111111111,51.8874958341736,-0.10123733278698246,46,45,1
VP_023,tsst,Pause_5,98.4,49.7,48.7,48.7,49.87301992974873,0.7478214462623102,10,10,0
VP_023,ftsst,Prep,82.45945945945945,43.32432432432432,39.13513513513514,40.0,48.21010235046907,-0.12903447631739245,37,37,0
VP_023,ftsst,Pause_1,85.7,46.8,38.9,38.9,45.27933820224288,0.16482959550502513,10,10,0
VP_023,ftsst,Talk,92.3125,56.6875,35.625,40.0625,44.87357278902064,0.3544784920909736,32,32,0
VP_023,ftsst,Math,88.94444444444444,48.65714285714286,39.857142857142854,44.2,49.80476880240355,-0.14142493560225067,36,35,1
VP_023,ftsst,Pause_5,95.2,60.5,34.7,35.5,37.50574350629524,0.35461944645870236,10,10,0
VP_026,tsst,Prep,86.91228070175438,43.08771929824562,43.824561403508774,43.824561403508774,50.221438692922284,-0.09372009691047027,57,57,0
VP_026,tsst,Pause_1,80.21052631578948,40.5,39.55555555555556,39.55555555555556,49.36104886997798,0.11363487418481093,19,18,1
VP_026,tsst,Talk,80.41269841269842,36.63333333333333,43.93333333333333,44.13333333333333,54.6116692176012,0.21185638965301254,63,60,3
VP_026,tsst,Math,87.08474576271186,42.440677966101696,44.644067796610166,44.644067796610166,50.84052963722179,-0.12542920326188484,59,59,0
VP_026,tsst,Pause_5,83.82352941176471,44.411764705882355,39.411764705882355,39.411764705882355,46.938025650631715,-0.43719879284955493,17,17,0
