participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,72.90384615384616,118.07692307692308,-45.17307692307692,45.17307692307692,68.24502612227442,0.6383380735431311,52,52,0
VP_001,tsst,Pause_1,53.0,113.2,-60.2,60.6,158.17416309248011,0.029850053072821407,15,15,0
VP_001,tsst,Talk,78.82978723404256,116.68181818181819,-38.59090909090909,49.63636363636363,80.03319730655723,-0.12036052857874577,47,44,3
VP_001,tsst,Math,69.41818181818182,111.98181818181818,-42.56363636363636,42.56363636363636,65.4601764706935,0.6270084938349185,55,55,0
VP_001,tsst,Pause_5,62.5,110.78571428571429,-48.285714285714285,48.285714285714285,88.0092372880671,0.6532012851117619,14,14,0
VP_001,ftsst,Prep,76.06122448979592,125.95833333333333,-48.729166666666664,48.729166666666664,69.2847251270732,0.5467027425084228,49,48,1
VP_001,ftsst,Pause_1,55.666666666666664,122.13333333333334,-66.46666666666667,66.46666666666667,121.00696542646217,0.11596524104933617,15,15,0
VP_001,ftsst,Talk,83.79069767441861,128.5151515151515,-42.03030303030303,43.42424242424242,65.81672696536725,0.39690552755759245,43,33,10
VP_001,ftsst,Math,74.57142857142857,106.7948717948718,-32.64102564102564,46.38461538461539,72.58883564211794,0.3069137509077654,42,39,3
VP_001,ftsst,Pause_5,95.23076923076923,135.84615384615384,-40.61538461538461,56.15384615384615,66.91309266322877,-0.14150446203608205,13,13,0
VP_002,tsst,Prep,70.73214285714286,16.25,62.0,62.0,79.5818142578354,0.9225024321844173,56,4,52
VP_002,tsst,Pause_1,70.45,125.81818181818181,-46.90909090909091,46.90909090909091,62.317864479751805,0.6609118425689987,20,11,9
VP_002,tsst,Talk,61.803030303030305,108.35135135135135,-43.24324324324324,47.08108108108108,79.91067736832856,0.36822475460420806,66,37,29
VP_002,tsst,Math,69.33333333333333,101.76923076923077,-26.807692307692307,43.26923076923077,58.659471983608036,0.5461190317161984,66,26,40
VP_002,tsst,Pause_5,106.27777777777777,145.85714285714286,-44.0,44.0,46.64881993195969,0.9785784221676368,18,7,11
VP_002,ftsst,Prep,89.53658536585365,7.714285714285714,81.57142857142857,81.57142857142857,91.68515019470267,0.4216668624581804,41,7,34
VP_002,ftsst,Pause_1,60.3,98.55555555555556,-38.22222222222222,38.22222222222222,64.11468689752935,0.6961825774716975,20,18,2
VP_002,ftsst,Talk,79.61224489795919,79.4090909090909,2.9545454545454546,39.5,51.727246406561655,0.16034236503612662,49,22,27
VP_002,ftsst,Math,64.58695652173913,80.70588235294117,-12.235294117647058,35.411764705882355,52.00239918300059,0.05510714074338821,46,17,29
VP_002,ftsst,Pause_5,118.88235294117646,81.0,41.0,41.0,34.59540732640787,0.9999703716871778,17,3,14
VP_003,tsst,Prep,63.75,78.6923076923077,-14.948717948717949,42.794871794871796,66.07775415311468,0.27482582124701355,40,39,1
VP_003,tsst,Pause_1,63.3,121.75,-58.0,58.75,93.51543355396613,-0.351687982108014,10,8,2
VP_003,tsst,Talk,60.5,111.91304347826087,-51.41304347826087,52.108695652173914,91.74403105775934,0.3963367929637968,46,46,0
VP_003,tsst,Math,69.95348837209302,110.48717948717949,-40.15384615384615,45.48717948717949,67.29501191594795,0.15845354537160125,43,39,4
VP_003,tsst,Pause_5,72.54545454545455,136.36363636363637,-63.81818181818182,64.18181818181819,89.85315775536972,-0.3079346312808901,11,11,0
VP_003,ftsst,Prep,86.5,147.83870967741936,-62.03225806451613,67.70967741935483,81.07363345631691,-0.471306042058541,34,31,3
VP_003,ftsst,Pause_1,87.75,143.33333333333334,-55.583333333333336,55.583333333333336,68.85527268092481,0.4098886098332578,12,12,0
VP_003,ftsst,Talk,85.72972972972973,131.77142857142857,-46.857142857142854,50.857142857142854,62.69895195902054,0.02861052694909806,37,35,2
VP_003,ftsst,Math,102.97297297297297,128.2941176470588,-25.5,36.970588235294116,36.947397531927834,0.3456995190752145,37,34,3
VP_003,ftsst,Pause_5,101.5,149.44444444444446,-49.666666666666664,49.666666666666664,53.09341882391883,-0.21168935797043567,10,9,1
VP_004,tsst,Prep,89.0,90.9090909090909,-5.590909090909091,27.5,31.736464147286913,0.11862262381866547,34,22,12
VP_004,tsst,Pause_1,105.6,132.0,-26.4,41.0,40.66403293873962,-0.15085878878926734,10,10,0
VP_004,tsst,Talk,80.52631578947368,81.26086956521739,-1.173913043478261,33.78260869565217,40.326894844635305,0.46706943245036536,38,23,15
VP_004,tsst,Math,83.07894736842105,96.09677419354838,-10.709677419354838,33.54838709677419,40.9204636071652,0.2516446844798033,38,31,7
VP_004,tsst,Pause_5,115.0,86.0,29.0,37.5,32.5724525938357,-0.6751373731261271,10,8,2
VP_004,ftsst,Prep,87.5,89.1923076923077,-4.076923076923077,23.076923076923077,26.50883579368228,0.348550750899685,36,26,10
VP_004,ftsst,Pause_1,77.58333333333333,63.666666666666664,16.666666666666668,16.666666666666668,13.957185827571392,0.1975842977372753,12,6,6
VP_004,ftsst,Talk,118.02941176470588,90.76,26.16,26.4,22.057324329441467,0.4754779483872885,34,25,9
VP_004,ftsst,Math,102.97222222222223,80.76470588235294,20.11764705882353,43.529411764705884,46.08186945942365,-0.3445274171323994,36,17,19
VP_004,ftsst,Pause_5,115.5,83.6,32.2,33.8,27.466157584585215,0.030913072123156315,10,5,5
VP_005,tsst,Prep,58.5,94.79166666666667,-36.208333333333336,40.041666666666664,71.7908641675944,0.49223175352703274,50,48,2
VP_005,tsst,Pause_1,46.421052631578945,70.08333333333333,-23.833333333333332,40.166666666666664,94.95272729792953,0.3713683703344044,19,12,7
VP_005,tsst,Talk,58.333333333333336,46.3,15.25,21.95,24.24075340311547,0.1546295841214829,48,20,28
VP_005,tsst,Math,48.870370370370374,42.4375,6.4375,6.6875,19.59521935728168,0.8888614755057167,54,16,38
VP_005,tsst,Pause_5,98.66666666666667,67.5,38.166666666666664,49.166666666666664,46.175515795280326,-0.5052551560537942,15,6,9
VP_005,ftsst,Prep,51.275,73.96,-21.88,34.04,70.26963907379871,0.2727051817308511,40,25,15
VP_005,ftsst,Pause_1,62.64705882352941,90.63636363636364,-24.90909090909091,39.45454545454545,63.40448968086761,-0.2604881174949907,17,11,6
VP_005,ftsst,Talk,79.94,92.30434782608695,-7.739130434782608,34.608695652173914,42.16005235752808,0.13767569623483428,50,23,27
VP_005,ftsst,Math,110.53191489361703,119.5945945945946,-5.72972972972973,23.08108108108108,23.370408632514376,0.21397709494719283,47,37,10
VP_005,ftsst,Pause_5,130.85714285714286,145.35714285714286,-14.5,16.214285714285715,12.798586647559393,-0.44724971345859166,14,14,0
VP_020,tsst,Prep,37.93617021276596,50.833333333333336,-13.11111111111111,21.666666666666668,60.16789415833797,0.32496731490311076,47,18,29
VP_020,tsst,Pause_1,35.333333333333336,97.7,-67.1,69.5,245.33363325613445,0.02160588263658088,12,10,2
VP_020,tsst,Talk,55.55555555555556,89.06451612903226,-35.87096774193548,49.483870967741936,120.64701744717053,0.014721045249868876,45,31,14
VP_020,tsst,Math,63.47727272727273,73.93548387096774,-10.03225806451613,28.548387096774192,57.26268103504186,0.5316019755818583,44,31,13
VP_020,tsst,Pause_5,109.08333333333333,89.91666666666667,19.166666666666668,55.166666666666664,50.78816902578592,0.30661602604731975,12,12,0
VP_020,ftsst,Prep,48.35,47.36,1.12,20.16,42.511967124657204,0.38898924326041273,40,25,15
VP_020,ftsst,Pause_1,41.35294117647059,119.25,-74.25,74.25,189.8248317160591,0.8887428597495349,17,4,13
VP_020,ftsst,Talk,65.6,76.51351351351352,-12.405405405405405,34.351351351351354,56.81052330134219,0.48760126975181134,45,37,8
VP_020,ftsst,Math,70.6842105263158,93.21212121212122,-21.696969696969695,44.60606060606061,76.37664386922665,0.17420886321224177,38,33,5
VP_020,ftsst,Pause_5,106.33333333333333,132.91666666666666,-26.583333333333332,50.583333333333336,55.3033482636912,-0.0915593881542034,12,12,0
VP_022,tsst,Prep,102.41176470588235,142.3030303030303,-40.24242424242424,40.24242424242424,42.03626477112851,0.6308318963051489,34,33,1
VP_022,tsst,Pause_1,94.25,138.08333333333334,-43.833333333333336,43.833333333333336,47.96194910639775,-0.4906324082605667,12,12,0
VP_022,tsst,Talk,108.0909090909091,149.25,-40.05,40.65,41.43778162008327,0.24870486620854806,22,20,2
VP_022,tsst,Math,104.77777777777777,140.74193548387098,-34.354838709677416,39.193548387096776,39.11098553445687,0.43822534732388485,36,31,5
VP_022,tsst,Pause_5,103.63636363636364,148.63636363636363,-45.0,45.0,44.909234320380115,-0.3347723433680514,11,11,0
VP_022,ftsst,Prep,104.85714285714286,130.74285714285713,-25.885714285714286,47.371428571428574,47.7510284785368,-0.0851352437677377,35,35,0
