participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,85.53846153846153,-11.961538461538462,13.115384615384615,19.821350574253227,52,52,0
VP_001,tsst,Pause_1,72.75,87.83333333333333,-15.083333333333334,18.083333333333332,30.94387956364564,12,12,0
VP_001,tsst,Talk,85.74468085106383,96.91489361702128,-11.170212765957446,17.170212765957448,22.997266970691765,47,47,0
VP_001,tsst,Math,69.52727272727273,86.94545454545455,-17.418181818181818,18.0,27.35367078865844,55,55,0
VP_001,tsst,Pause_5,70.15384615384616,86.23076923076923,-16.076923076923077,17.615384615384617,27.981259419086612,13,13,0
VP_001,ftsst,Prep,75.32,93.04,-17.72,19.2,31.347826613088305,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,93.53333333333333,-33.86666666666667,33.86666666666667,60.53153446960744,15,15,0
VP_001,ftsst,Talk,91.6590909090909,101.43181818181819,-9.772727272727273,17.5,24.781162625419366,44,44,0
VP_001,ftsst,Math,88.95121951219512,103.26829268292683,-14.317073170731707,25.634146341463413,39.218515646258155,41,41,0
VP_001,ftsst,Pause_5,105.38461538461539,106.07692307692308,-0.6923076923076923,9.76923076923077,11.739090257313158,13,13,0
VP_002,tsst,Prep,79.53571428571429,95.60714285714286,-16.071428571428573,17.178571428571427,22.451950954113496,56,56,0
VP_002,tsst,Pause_1,78.05,91.8,-13.75,13.75,21.78520407534915,20,20,0
VP_002,tsst,Talk,71.22727272727273,87.28787878787878,-16.060606060606062,16.060606060606062,25.061961263507772,66,66,0
VP_002,tsst,Math,79.18181818181819,92.71212121212122,-13.530303030303031,14.681818181818182,19.23466318066294,66,66,0
VP_002,tsst,Pause_5,112.38888888888889,104.88888888888889,7.5,13.61111111111111,12.236752969292404,18,18,0
VP_002,ftsst,Prep,95.02380952380952,101.0952380952381,-6.071428571428571,8.595238095238095,11.144556557306455,42,42,0
VP_002,ftsst,Pause_1,61.95,79.25,-17.3,17.3,28.22184543026819,20,20,0
VP_002,ftsst,Talk,85.0,105.2,-19.28,22.2,29.770575936917925,51,50,1
VP_002,ftsst,Math,67.6734693877551,91.77551020408163,-24.102040816326532,24.510204081632654,40.11904343982465,49,49,0
VP_002,ftsst,Pause_5,116.58823529411765,110.0,6.588235294117647,6.588235294117647,5.6023360387803205,17,17,0
VP_003,tsst,Prep,67.275,97.05,-29.775,29.775,44.59889092135747,40,40,0
VP_003,tsst,Pause_1,66.3,101.8,-35.5,35.5,53.79070888262065,10,10,0
VP_003,tsst,Talk,66.30434782608695,90.1304347826087,-23.82608695652174,23.82608695652174,37.11169651314191,46,46,0
VP_003,tsst,Math,69.67441860465117,93.32558139534883,-23.651162790697676,24.488372093023255,37.39801708733728,43,43,0
VP_003,tsst,Pause_5,96.54545454545455,105.0,-8.454545454545455,10.818181818181818,12.797204678893287,11,11,0
VP_003,ftsst,Prep,112.11764705882354,109.61764705882354,2.5,10.088235294117647,9.567028067978708,34,34,0
VP_003,ftsst,Pause_1,97.91666666666667,107.66666666666667,-9.75,13.083333333333334,15.872327446281814,12,12,0
VP_003,ftsst,Talk,98.55,111.325,-12.775,17.725,19.385065017765168,40,40,0
VP_003,ftsst,Math,102.67567567567568,116.05555555555556,-13.666666666666666,20.27777777777778,22.647935760835743,37,36,1
VP_003,ftsst,Pause_5,118.0,112.5,5.5,11.3,9.718904049919223,10,10,0
VP_004,tsst,Prep,116.1470588235294,107.61764705882354,8.529411764705882,21.529411764705884,17.998409476465223,34,34,0
VP_004,tsst,Pause_1,133.6,105.7,27.9,27.9,20.866942336452823,10,10,0
VP_004,tsst,Talk,125.52272727272727,112.7560975609756,12.78048780487805,24.341463414634145,18.273610363916873,44,41,3
VP_004,tsst,Math,119.16216216216216,102.43243243243244,16.72972972972973,22.243243243243242,17.78741421396892,37,37,0
VP_004,tsst,Pause_5,134.6,109.7,24.9,25.9,18.73092945712327,10,10,0
VP_004,ftsst,Prep,102.08333333333333,104.94444444444444,-2.861111111111111,11.472222222222221,11.380927536892791,36,36,0
VP_004,ftsst,Pause_1,103.0,106.08333333333333,-3.0833333333333335,20.416666666666668,21.680571380754532,12,12,0
VP_004,ftsst,Talk,123.29411764705883,113.02941176470588,10.264705882352942,11.558823529411764,9.453284264705943,34,34,0
VP_004,ftsst,Math,123.42857142857143,108.62857142857143,14.8,21.942857142857143,17.612706292607488,35,35,0
VP_004,ftsst,Pause_5,136.1,114.8,21.3,21.3,15.393549232622581,10,10,0
VP_005,tsst,Prep,65.25490196078431,85.3,-19.28,19.28,31.892821473596815,51,50,1
VP_005,tsst,Pause_1,54.705882352941174,72.47058823529412,-17.764705882352942,18.0,37.810396021581674,17,17,0
VP_005,tsst,Talk,69.94117647058823,92.27450980392157,-22.333333333333332,25.627450980392158,49.616430471342596,51,51,0
VP_005,tsst,Math,64.71428571428571,89.51785714285714,-24.803571428571427,25.803571428571427,51.85154273295005,56,56,0
VP_005,tsst,Pause_5,101.06666666666666,100.46666666666667,0.6,3.933333333333333,3.9023184218125047,15,15,0
VP_005,ftsst,Prep,65.22727272727273,100.86363636363636,-35.63636363636363,36.77272727272727,63.2353223388299,44,44,0
VP_005,ftsst,Pause_1,74.33333333333333,86.77777777777777,-12.444444444444445,12.444444444444445,17.662978764515557,18,18,0
