participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,85.8076923076923,-12.23076923076923,13.384615384615385,20.244682406787003,52,52,0
VP_001,tsst,Pause_1,72.75,89.33333333333333,-16.583333333333332,19.583333333333332,33.64006299454211,12,12,0
VP_001,tsst,Talk,85.74468085106383,97.40425531914893,-11.659574468085106,17.53191489361702,23.431056784885993,47,47,0
VP_001,tsst,Math,69.52727272727273,87.6,-18.072727272727274,18.581818181818182,28.21696930238038,55,55,0
VP_001,tsst,Pause_5,70.15384615384616,86.46153846153847,-16.307692307692307,17.846153846153847,28.33703511237436,13,13,0
VP_001,ftsst,Prep,75.32,92.32,-17.0,18.76,30.665567664270675,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,92.53333333333333,-32.86666666666667,32.86666666666667,58.86823341550913,15,15,0
VP_001,ftsst,Talk,91.6590909090909,99.27272727272727,-7.613636363636363,17.84090909090909,24.60688013785534,44,44,0
VP_001,ftsst,Math,88.95121951219512,98.21951219512195,-9.268292682926829,22.146341463414632,32.449908778317024,41,41,0
VP_001,ftsst,Pause_5,105.38461538461539,101.3076923076923,4.076923076923077,13.461538461538462,14.702057433428184,13,13,0
VP_002,tsst,Prep,79.53571428571429,94.19642857142857,-14.660714285714286,15.982142857142858,20.875388420059384,56,56,0
VP_002,tsst,Pause_1,78.05,90.55,-12.5,12.5,20.153541529226008,20,20,0
VP_002,tsst,Talk,71.22727272727273,86.86363636363636,-15.636363636363637,15.636363636363637,24.461913522478355,66,66,0
VP_002,tsst,Math,79.18181818181819,90.98484848484848,-11.803030303030303,13.257575757575758,17.33886637341912,66,66,0
VP_002,tsst,Pause_5,112.38888888888889,98.77777777777777,13.61111111111111,17.38888888888889,15.080489736177148,18,18,0
VP_002,ftsst,Prep,95.02380952380952,99.45238095238095,-4.428571428571429,8.285714285714286,10.656924940735147,42,42,0
VP_002,ftsst,Pause_1,61.95,79.75,-17.8,17.8,29.015521857929638,20,20,0
VP_002,ftsst,Talk,85.0,101.92,-16.0,21.32,28.187804026422395,51,50,1
VP_002,ftsst,Math,67.6734693877551,91.48979591836735,-23.816326530612244,24.224489795918366,39.69441129978322,49,49,0
VP_002,ftsst,Pause_5,116.58823529411765,103.23529411764706,13.352941176470589,13.352941176470589,11.394287514865013,17,17,0
VP_003,tsst,Prep,67.275,95.6,-28.325,28.325,42.453238335831514,40,40,0
VP_003,tsst,Pause_1,66.3,99.0,-32.7,32.7,49.55630521439345,10,10,0
VP_003,tsst,Talk,66.30434782608695,90.02173913043478,-23.717391304347824,23.717391304347824,36.9414739429499,46,46,0
VP_003,tsst,Math,69.67441860465117,92.95348837209302,-23.27906976744186,24.162790697674417,36.93956602510675,43,43,0
VP_003,tsst,Pause_5,96.54545454545455,100.27272727272727,-3.727272727272727,9.0,10.503369492668465,11,11,0
VP_003,ftsst,Prep,112.11764705882354,105.08823529411765,7.029411764705882,12.911764705882353,11.767431826806915,34,34,0
VP_003,ftsst,Pause_1,97.91666666666667,103.75,-5.833333333333333,12.833333333333334,14.951205709831934,12,12,0
VP_003,ftsst,Talk,98.55,108.8,-10.25,18.15,19.48961571272319,40,40,0
VP_003,ftsst,Math,102.67567567567568,115.61111111111111,-13.222222222222221,22.11111111111111,24.410724774095755,37,36,1
VP_003,ftsst,Pause_5,118.0,106.2,11.8,14.6,12.17923129935421,10,10,0
VP_004,tsst,Prep,116.1470588235294,102.29411764705883,13.852941176470589,23.91176470588235,19.577013466429733,34,34,0
VP_004,tsst,Pause_1,133.6,99.2,34.4,34.4,25.724317756200435,10,10,0
VP_004,tsst,Talk,125.52272727272727,99.90243902439025,25.634146341463413,28.317073170731707,21.050509343172898,44,41,3
VP_004,tsst,Math,119.16216216216216,97.67567567567568,21.486486486486488,24.35135135135135,19.021236998489478,37,37,0
VP_004,tsst,Pause_5,134.6,101.7,32.9,32.9,23.650096746420203,10,10,0
VP_004,ftsst,Prep,102.08333333333333,100.13888888888889,1.9444444444444444,9.944444444444445,9.383215640832352,36,36,0
VP_004,ftsst,Pause_1,103.0,100.58333333333333,2.4166666666666665,20.083333333333332,20.33799978637708,12,12,0
VP_004,ftsst,Talk,123.29411764705883,102.79411764705883,20.5,21.323529411764707,17.209699668192734,34,34,0
VP_004,ftsst,Math,123.42857142857143,100.68571428571428,22.742857142857144,26.457142857142856,20.422234665319344,35,35,0
