participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,44.96078431372549,28.627450980392158,28.627450980392158,38.66952155922469,0.3326880391331172,52,51,1
VP_001,tsst,Pause_1,72.75,29.818181818181817,42.81818181818182,42.81818181818182,58.80960872263907,0.1792761049728782,12,11,1
VP_001,tsst,Talk,85.74468085106383,47.92857142857143,37.76190476190476,37.76190476190476,42.687335287006256,0.17225303980507906,47,42,5
VP_001,tsst,Math,69.52727272727273,39.68518518518518,29.462962962962962,29.462962962962962,42.36604427424546,0.22041218693829207,55,54,1
VP_001,tsst,Pause_5,70.15384615384616,25.2,39.9,39.9,60.893344041393604,0.09889120097696179,13,10,3
VP_001,ftsst,Prep,75.32,49.166666666666664,25.5625,26.604166666666668,36.25316903003187,0.5540221558120764,50,48,2
VP_001,ftsst,Pause_1,59.666666666666664,25.933333333333334,33.733333333333334,33.733333333333334,56.18687483461291,0.2027690879125886,15,15,0
VP_001,ftsst,Talk,91.6590909090909,60.68292682926829,30.926829268292682,33.853658536585364,38.10075462104242,0.688796917478466,44,41,3
VP_001,ftsst,Math,88.95121951219512,52.2,36.075,37.425,41.33255480277051,0.29310346670789944,41,40,1
VP_001,ftsst,Pause_5,105.38461538461539,65.41666666666667,39.25,51.083333333333336,48.8173096661747,0.37112074714678456,13,12,1
VP_002,tsst,Prep,79.53571428571429,29.0,50.44736842105263,50.44736842105263,62.98057636011919,-0.0444201754046333,56,38,18
VP_002,tsst,Pause_1,78.05,34.421052631578945,43.68421052631579,43.68421052631579,54.62747324769619,0.054917091813856705,20,19,1
VP_002,tsst,Talk,71.22727272727273,25.901639344262296,45.114754098360656,45.114754098360656,62.87058953990222,0.0640829505237276,66,61,5
VP_002,tsst,Math,79.18181818181819,31.596774193548388,47.67741935483871,47.67741935483871,60.027418226957565,0.1442295724716344,66,62,4
VP_002,tsst,Pause_5,112.38888888888889,48.1764705882353,63.64705882352941,63.64705882352941,55.88766965984833,-0.1778288537242218,18,17,1
VP_002,ftsst,Prep,95.02380952380952,42.55555555555556,52.44444444444444,53.111111111111114,55.259459808784584,0.04671976740776148,42,36,6
VP_002,ftsst,Pause_1,61.95,31.625,30.75,30.75,49.9284429401023,0.4456984412582893,20,16,4
VP_002,ftsst,Talk,85.0,54.34146341463415,29.902439024390244,29.902439024390244,33.901181503627676,0.21799932061981586,51,41,10
VP_002,ftsst,Math,67.6734693877551,37.11363636363637,29.795454545454547,29.795454545454547,44.19884621556685,0.20133479894571052,49,44,5
VP_002,ftsst,Pause_5,116.58823529411765,55.294117647058826,61.294117647058826,61.294117647058826,52.793469066357126,0.41113813916685277,17,17,0
VP_003,tsst,Prep,67.275,46.43589743589744,20.794871794871796,20.794871794871796,30.920334074263156,0.2238146086954547,40,39,1
VP_003,tsst,Pause_1,66.3,49.1,17.2,20.6,30.722511761114703,-0.13476463697058927,10,10,0
VP_003,tsst,Talk,66.30434782608695,44.5,21.804347826086957,21.804347826086957,33.16932206590347,0.42602287016076046,46,46,0
VP_003,tsst,Math,69.67441860465117,51.38095238095238,18.5,18.5,26.634279154661673,0.6001870722964544,43,42,1
VP_003,tsst,Pause_5,96.54545454545455,85.81818181818181,10.727272727272727,18.545454545454547,19.041673376988044,0.6881334335018932,11,11,0
VP_003,ftsst,Prep,112.11764705882354,82.15151515151516,29.939393939393938,29.939393939393938,26.31735567203898,0.24702094994863455,34,33,1
VP_003,ftsst,Pause_1,97.91666666666667,67.58333333333333,30.333333333333332,30.333333333333332,30.428326473503162,0.5159021462999137,12,12,0
VP_003,ftsst,Talk,98.55,72.87179487179488,25.28205128205128,35.12820512820513,34.150682646597666,0.2078430180941136,40,39,1
VP_003,ftsst,Math,102.67567567567568,75.97297297297297,26.7027027027027,27.2972972972973,26.199916431613307,0.5176902714659338,37,37,0
VP_003,ftsst,Pause_5,118.0,95.9,22.1,22.1,18.330143754026686,0.4124957330679161,10,10,0
VP_004,tsst,Prep,116.1470588235294,72.15151515151516,44.515151515151516,51.666666666666664,43.02247187879043,-0.17300815199964006,34,33,1
