,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,544,567,619,634,590.0,75,67,75.0,67,,,-8.0,8.0,11.940298507462686
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1133,1156,1198,1206,581.0,65,50,65.0,50,,,-15.0,15.0,30.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1735,1735,1777,1811,557.0,42,76,42.0,76,,,34.0,34.0,44.73684210526316
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2272,2291,2331,2382,546.0,59,91,59.0,91,,,32.0,32.0,35.16483516483517
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2844,2846,2924,2926,541.0,80,80,80.0,80,,,0.0,0.0,0.0
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3378,3378,3441,3456,543.0,63,78,63.0,78,,,15.0,15.0,19.230769230769234
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3901,3923,3939,3996,546.0,38,73,38.0,73,,,35.0,35.0,47.94520547945205
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4447,4469,4484,4542,550.0,37,73,37.0,73,,,36.0,36.0,49.31506849315068
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,4996,5022,5057,5102,537.0,61,80,61.0,80,,,19.0,19.0,23.75
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5535,5553,5641,5637,540.0,106,84,106.0,84,,,-22.0,22.0,26.190476190476193
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6075,6094,6182,6183,541.0,107,89,107.0,89,,,-18.0,18.0,20.224719101123593
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6617,6636,6702,6709,552.0,85,73,85.0,73,,,-12.0,12.0,16.43835616438356
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7168,7190,7249,7256,569.0,81,66,81.0,66,,,-15.0,15.0,22.727272727272727
VP_001,tsst,Prep,13,13,13,7595,7595,8171,8171,7736,7757,7817,7826,580.0,81,69,81.0,69,,,-12.0,12.0,17.391304347826086
VP_001,tsst,Prep,14,14,14,8171,8171,8738,8738,8318,8351,8394,8406,560.0,76,55,76.0,55,,,-21.0,21.0,38.18181818181819
VP_001,tsst,Prep,15,15,15,8738,8738,9295,9295,8872,8897,8940,8975,556.0,68,78,68.0,78,,,10.0,10.0,12.82051282051282
VP_001,tsst,Prep,16,16,16,9295,9295,9854,9854,9433,9453,9537,9537,560.0,104,84,104.0,84,,,-20.0,20.0,23.809523809523807
VP_001,tsst,Prep,17,17,17,9854,9854,10417,10417,9993,10013,10072,10096,565.0,79,83,79.0,83,,,4.0,4.0,4.819277108433735
VP_001,tsst,Prep,18,18,18,10417,10417,10988,10988,10560,10590,10638,10651,574.0,78,61,78.0,61,,,-17.0,17.0,27.86885245901639
VP_001,tsst,Prep,19,19,19,10988,10988,11567,11567,11131,11160,11202,11228,582.0,71,68,71.0,68,,,-3.0,3.0,4.411764705882353
VP_001,tsst,Prep,20,20,20,11567,11567,12135,12135,11714,11742,11795,11808,560.0,81,66,81.0,66,,,-15.0,15.0,22.727272727272727
VP_001,tsst,Prep,21,21,21,12135,12135,12689,12689,12274,12296,12378,12387,551.0,104,91,104.0,91,,,-13.0,13.0,14.285714285714285
VP_001,tsst,Prep,22,22,22,12689,12689,13239,13239,12823,12858,12935,12935,549.0,112,77,112.0,77,,,-35.0,35.0,45.45454545454545
VP_001,tsst,Prep,23,23,23,13239,13239,13788,13789,13375,13393,13457,13469,550.0,82,76,82.0,76,,,-6.0,6.0,7.894736842105263
VP_001,tsst,Prep,24,24,24,13788,13789,14338,14339,13923,13945,14011,14015,550.0,88,70,88.0,70,,,-18.0,18.0,25.71428571428571
