participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,62.73076923076923,10.846153846153847,12.5,16.613382032479134,52,52,0
VP_001,tsst,Pause_1,72.75,43.5,29.25,29.25,39.786547552151134,12,12,0
VP_001,tsst,Talk,85.74468085106383,64.54347826086956,20.934782608695652,22.76086956521739,25.31238429239247,47,46,1
VP_001,tsst,Math,69.52727272727273,63.763636363636365,5.763636363636364,11.909090909090908,16.70846780087301,55,55,0
VP_001,tsst,Pause_5,70.15384615384616,44.54545454545455,21.545454545454547,21.545454545454547,32.05028544187928,13,11,2
VP_001,ftsst,Prep,75.32,68.08,7.24,14.56,19.350048788028204,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,43.86666666666667,15.8,17.133333333333333,27.977022648834897,15,15,0
VP_001,ftsst,Talk,91.6590909090909,79.11363636363636,12.545454545454545,22.545454545454547,27.164134812042846,44,44,0
VP_001,ftsst,Math,88.95121951219512,76.95121951219512,12.0,30.829268292682926,38.08243799274653,41,41,0
VP_001,ftsst,Pause_5,105.38461538461539,72.53846153846153,32.84615384615385,41.76923076923077,38.757014225580335,13,13,0
VP_002,tsst,Prep,79.53571428571429,53.892857142857146,25.642857142857142,26.607142857142858,32.58400553152156,56,56,0
VP_002,tsst,Pause_1,78.05,53.8,24.25,26.85,33.130466838312685,20,20,0
VP_002,tsst,Talk,71.22727272727273,46.83076923076923,24.323076923076922,25.369230769230768,34.62816237406253,66,65,1
VP_002,tsst,Math,79.18181818181819,54.166666666666664,25.015151515151516,25.62121212121212,31.98261188625673,66,66,0
VP_002,tsst,Pause_5,112.38888888888889,63.5,48.888888888888886,50.22222222222222,43.43897445049862,18,18,0
VP_002,ftsst,Prep,95.02380952380952,55.666666666666664,39.357142857142854,41.595238095238095,43.06164120434843,42,42,0
VP_002,ftsst,Pause_1,61.95,42.85,19.1,23.8,38.92697797664066,20,20,0
VP_002,ftsst,Talk,85.0,65.36,19.1,25.38,28.364333403002316,51,50,1
VP_002,ftsst,Math,67.6734693877551,53.44897959183673,14.224489795918368,16.102040816326532,22.659050688387186,49,49,0
VP_002,ftsst,Pause_5,116.58823529411765,72.41176470588235,44.1764705882353,44.64705882352941,38.51832513777057,17,17,0
VP_003,tsst,Prep,67.275,64.825,2.45,5.65,8.36616415599794,40,40,0
VP_003,tsst,Pause_1,66.3,71.9,-5.6,17.4,26.142289899642844,10,10,0
VP_003,tsst,Talk,66.30434782608695,61.43478260869565,4.869565217391305,11.73913043478261,17.928219470469998,46,46,0
VP_003,tsst,Math,69.67441860465117,67.76744186046511,1.9069767441860466,9.767441860465116,14.52396114861522,43,43,0
VP_003,tsst,Pause_5,96.54545454545455,105.72727272727273,-9.181818181818182,11.363636363636363,11.254149797661649,11,11,0
VP_003,ftsst,Prep,112.11764705882354,95.33333333333333,16.757575757575758,17.96969696969697,15.611374729037339,34,33,1
VP_003,ftsst,Pause_1,97.91666666666667,85.33333333333333,12.583333333333334,12.583333333333334,12.218300894345987,12,12,0
VP_003,ftsst,Talk,98.55,83.075,15.475,23.125,21.732459620092644,40,40,0
