participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,110.4423076923077,-36.86538461538461,36.86538461538461,53.43249980610275,52,52,0
VP_001,tsst,Pause_1,72.75,110.83333333333333,-38.083333333333336,38.083333333333336,61.956985967766606,12,12,0
VP_001,tsst,Talk,85.74468085106383,111.97872340425532,-26.23404255319149,29.21276595744681,38.733045250690864,47,47,0
VP_001,tsst,Math,69.52727272727273,106.89090909090909,-37.36363636363637,37.36363636363637,55.84416317717649,55,55,0
VP_001,tsst,Pause_5,70.15384615384616,107.53846153846153,-37.38461538461539,37.38461538461539,56.61512749283513,13,13,0
VP_001,ftsst,Prep,75.32,116.12,-40.8,40.8,62.42469131703293,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,113.2,-53.53333333333333,53.53333333333333,94.63186836205566,15,15,0
VP_001,ftsst,Talk,91.6590909090909,122.97727272727273,-31.318181818181817,31.318181818181817,43.00860143957265,44,44,0
VP_001,ftsst,Math,88.95121951219512,124.70731707317073,-35.75609756097561,35.75609756097561,53.46753017301221,41,41,0
VP_001,ftsst,Pause_5,105.38461538461539,133.76923076923077,-28.384615384615383,28.384615384615383,31.223571980997974,13,13,0
VP_002,tsst,Prep,79.53571428571429,114.07142857142857,-34.535714285714285,34.535714285714285,44.74312193754757,56,56,0
VP_002,tsst,Pause_1,78.05,124.3,-46.25,46.25,65.0494342956836,20,20,0
VP_002,tsst,Talk,71.22727272727273,110.36363636363636,-39.13636363636363,39.13636363636363,58.25599814792059,66,66,0
VP_002,tsst,Math,79.18181818181819,122.48484848484848,-43.303030303030305,43.303030303030305,56.06699160227106,66,66,0
VP_002,tsst,Pause_5,112.38888888888889,144.0,-31.61111111111111,31.61111111111111,30.08478489794116,18,18,0
VP_002,ftsst,Prep,95.02380952380952,121.14285714285714,-26.11904761904762,26.11904761904762,30.40855415995304,42,42,0
VP_002,ftsst,Pause_1,61.95,87.85,-25.9,25.9,41.852596959809546,20,20,0
VP_002,ftsst,Talk,85.0,127.0,-42.0,42.0,56.423892034120634,51,51,0
VP_002,ftsst,Math,67.6734693877551,102.63265306122449,-34.95918367346939,34.95918367346939,54.68040748866424,49,49,0
VP_002,ftsst,Pause_5,116.58823529411765,140.52941176470588,-23.941176470588236,23.941176470588236,20.58738288508336,17,17,0
VP_003,tsst,Prep,67.275,122.0,-54.725,54.725,81.89116846680375,40,40,0
VP_003,tsst,Pause_1,66.3,129.2,-62.9,62.9,95.14167001299353,10,10,0
VP_003,tsst,Talk,66.30434782608695,106.28260869565217,-39.97826086956522,39.97826086956522,61.720735344256525,46,46,0
VP_003,tsst,Math,69.67441860465117,111.6046511627907,-41.93023255813954,41.93023255813954,63.16685637143097,43,43,0
VP_003,tsst,Pause_5,96.54545454545455,133.72727272727272,-37.18181818181818,37.18181818181818,40.917063039601175,11,11,0
VP_003,ftsst,Prep,112.11764705882354,138.14705882352942,-26.029411764705884,26.029411764705884,24.840932481333056,34,34,0
VP_003,ftsst,Pause_1,97.91666666666667,131.33333333333334,-33.416666666666664,33.416666666666664,38.17866185758704,12,12,0
VP_003,ftsst,Talk,98.55,135.95,-37.4,37.4,40.60989070624383,40,40,0
VP_003,ftsst,Math,102.67567567567568,133.86111111111111,-31.47222222222222,31.47222222222222,35.89811499666544,37,36,1
VP_003,ftsst,Pause_5,118.0,142.0,-24.0,24.0,21.264744672075388,10,10,0
VP_004,tsst,Prep,116.1470588235294,142.0,-25.852941176470587,25.852941176470587,25.24130633664846,34,34,0
VP_004,tsst,Pause_1,133.6,142.4,-8.8,8.8,6.612189419774047,10,10,0
VP_004,tsst,Talk,125.52272727272727,129.609756097561,-4.073170731707317,14.75609756097561,11.385912582463028,44,41,3
VP_004,tsst,Math,119.16216216216216,138.94594594594594,-19.783783783783782,20.054054054054053,19.931616135858434,37,37,0
VP_004,tsst,Pause_5,134.6,146.4,-11.8,11.8,9.5051907057242,10,10,0
VP_004,ftsst,Prep,102.08333333333333,143.36111111111111,-41.27777777777778,41.27777777777778,43.10712316884459,36,36,0
VP_004,ftsst,Pause_1,103.0,138.83333333333334,-35.833333333333336,37.5,42.86854983330205,12,12,0
VP_004,ftsst,Talk,123.29411764705883,154.11764705882354,-30.823529411764707,30.823529411764707,25.562663884569844,34,34,0
VP_004,ftsst,Math,123.42857142857143,149.88571428571427,-26.457142857142856,26.457142857142856,25.622936193240697,35,35,0
VP_004,ftsst,Pause_5,136.1,157.1,-21.0,21.0,15.802433832079917,10,10,0
VP_005,tsst,Prep,65.25490196078431,90.72549019607843,-25.470588235294116,25.470588235294116,44.09027137957553,51,51,0
VP_005,tsst,Pause_1,54.705882352941174,86.6470588235294,-31.941176470588236,31.941176470588236,64.02120882007038,17,17,0
VP_005,tsst,Talk,69.94117647058823,100.49019607843137,-30.54901960784314,36.07843137254902,62.5397759081571,51,51,0
VP_005,tsst,Math,64.71428571428571,111.75,-47.035714285714285,47.035714285714285,87.7399074568378,56,56,0
VP_005,tsst,Pause_5,101.06666666666666,128.73333333333332,-27.666666666666668,27.666666666666668,27.843940676220598,15,15,0
VP_005,ftsst,Prep,65.22727272727273,116.6590909090909,-51.43181818181818,51.43181818181818,87.37174076150428,44,44,0
VP_005,ftsst,Pause_1,74.33333333333333,98.33333333333333,-24.0,24.0,32.81984406391625,18,18,0
VP_005,ftsst,Talk,83.15094339622641,126.0754716981132,-42.924528301886795,42.924528301886795,62.210142367594756,53,53,0
VP_005,ftsst,Math,111.10204081632654,138.0204081632653,-26.918367346938776,27.0,28.185489823045494,49,49,0
VP_005,ftsst,Pause_5,133.07142857142858,150.0,-16.928571428571427,16.928571428571427,12.77681106543756,14,14,0
VP_020,tsst,Prep,78.46938775510205,119.625,-41.6875,41.6875,67.71386299647179,49,48,1
VP_020,tsst,Pause_1,82.78571428571429,89.8,-17.3,27.5,38.64157144147287,14,10,4
VP_020,tsst,Talk,73.53061224489795,91.04166666666667,-17.604166666666668,34.0625,55.533237664335246,49,48,1
VP_020,tsst,Math,94.43478260869566,124.4,-30.511111111111113,31.355555555555554,43.5129798706999,46,45,1
VP_020,tsst,Pause_5,112.83333333333333,131.5,-18.666666666666668,18.666666666666668,16.616574172050985,12,12,0
VP_020,ftsst,Prep,66.0,123.6046511627907,-57.604651162790695,57.604651162790695,109.83740099901202,43,43,0
VP_020,ftsst,Pause_1,63.0,101.88888888888889,-41.22222222222222,41.22222222222222,74.66238514555046,16,9,7
VP_020,ftsst,Talk,82.95121951219512,118.66666666666667,-36.15384615384615,36.15384615384615,55.88048454943841,41,39,2
VP_020,ftsst,Math,76.86046511627907,122.97674418604652,-46.116279069767444,46.16279069767442,79.7722833513309,43,43,0
VP_020,ftsst,Pause_5,113.0,136.58333333333334,-23.583333333333332,23.583333333333332,21.99240923775623,12,12,0
VP_022,tsst,Prep,104.70588235294117,137.2941176470588,-32.588235294117645,32.588235294117645,34.84225423864018,34,34,0
VP_022,tsst,Pause_1,92.25,132.91666666666666,-40.666666666666664,40.666666666666664,45.99452523507339,12,12,0
VP_022,tsst,Talk,113.87179487179488,148.10256410256412,-34.23076923076923,35.0,35.21276776417982,39,39,0
VP_022,tsst,Math,112.0,140.17142857142858,-27.714285714285715,27.714285714285715,26.304049883370208,36,35,1
VP_022,tsst,Pause_5,105.18181818181819,140.54545454545453,-35.36363636363637,35.36363636363637,35.89472965195203,11,11,0
VP_022,ftsst,Prep,104.68571428571428,136.94285714285715,-32.25714285714286,32.25714285714286,33.1442250069754,35,35,0
VP_022,ftsst,Pause_1,86.0909090909091,137.45454545454547,-51.36363636363637,51.36363636363637,69.51700949236675,11,11,0
VP_022,ftsst,Talk,100.62857142857143,140.82857142857142,-40.2,40.2,43.28200115206949,35,35,0
VP_022,ftsst,Math,108.8,142.77142857142857,-33.97142857142857,33.97142857142857,33.13460792856713,35,35,0
VP_022,ftsst,Pause_5,103.36363636363636,144.0,-40.63636363636363,40.63636363636363,42.99615623851276,11,11,0
VP_023,tsst,Prep,86.93548387096774,113.64516129032258,-26.70967741935484,26.70967741935484,31.237508688466296,31,31,0
VP_023,tsst,Pause_1,86.55555555555556,119.66666666666667,-33.111111111111114,33.111111111111114,38.383188705484514,9,9,0
VP_023,tsst,Talk,93.9090909090909,114.63636363636364,-20.727272727272727,28.045454545454547,30.049326980696005,44,44,0
VP_023,tsst,Math,84.19565217391305,103.21739130434783,-19.02173913043478,19.02173913043478,23.46022565239347,46,46,0
VP_023,tsst,Pause_5,92.7,130.1,-37.4,37.4,43.47031252902612,10,10,0
VP_023,ftsst,Prep,80.0,116.89189189189189,-36.891891891891895,36.891891891891895,47.25391585644216,37,37,0
VP_023,ftsst,Pause_1,83.4,106.3,-22.9,22.9,28.01285775704058,10,10,0
VP_023,ftsst,Talk,91.9,112.975,-21.075,21.225,26.0216171058283,40,40,0
VP_023,ftsst,Math,85.58333333333333,122.54285714285714,-37.457142857142856,37.457142857142856,48.567385896784764,36,35,1
VP_023,ftsst,Pause_5,93.9,124.9,-31.0,31.0,34.09324348206074,10,10,0
VP_026,tsst,Prep,87.03508771929825,113.08771929824562,-26.05263157894737,26.05263157894737,30.01696548310763,57,57,0
VP_026,tsst,Pause_1,82.10526315789474,100.94736842105263,-18.842105263157894,18.842105263157894,23.068484018210597,19,19,0
VP_026,tsst,Talk,80.8125,106.90625,-26.09375,26.09375,33.15765103177524,64,64,0
VP_026,tsst,Math,87.33898305084746,120.33898305084746,-33.0,33.0,38.40804202434287,59,59,0
VP_026,tsst,Pause_5,83.47058823529412,113.6470588235294,-30.176470588235293,30.176470588235293,36.45627915366828,17,17,0
VP_026,ftsst,Prep,86.12698412698413,98.85714285714286,-12.73015873015873,14.380952380952381,16.923730987818765,63,63,0
VP_026,ftsst,Pause_1,82.7,96.4,-13.7,13.7,16.68140334587162,20,20,0
VP_026,ftsst,Talk,77.65671641791045,99.83582089552239,-22.17910447761194,22.388059701492537,32.095151016970085,67,67,0
VP_026,ftsst,Math,83.390625,111.0,-27.609375,27.609375,34.213640243855345,64,64,0
VP_026,ftsst,Pause_5,92.6875,133.5625,-40.875,40.875,45.13549932025787,16,16,0
VP_027,tsst,Prep,115.38461538461539,144.2051282051282,-28.82051282051282,28.82051282051282,26.480600993831438,39,39,0
VP_027,tsst,Pause_1,88.9090909090909,122.72727272727273,-33.81818181818182,33.81818181818182,41.00087276109024,11,11,0
VP_027,tsst,Talk,108.45454545454545,135.34883720930233,-27.186046511627907,27.6046511627907,32.29675571331353,44,43,1
VP_027,tsst,Math,108.70731707317073,126.36585365853658,-17.658536585365855,17.658536585365855,17.862601870443157,41,41,0
VP_027,tsst,Pause_5,109.27272727272727,129.63636363636363,-20.363636363636363,20.363636363636363,18.716363027146482,11,11,0
VP_027,ftsst,Prep,107.1,128.525,-21.425,21.425,20.495797935329048,40,40,0
VP_027,ftsst,Pause_1,100.91666666666667,122.33333333333333,-21.416666666666668,21.416666666666668,22.278562101137144,12,12,0
VP_027,ftsst,Talk,102.44186046511628,126.19047619047619,-24.333333333333332,24.904761904761905,27.939744840873686,43,42,1
VP_027,ftsst,Math,109.43589743589743,135.92307692307693,-26.487179487179485,26.487179487179485,25.635984606780887,39,39,0
VP_027,ftsst,Pause_5,111.5,130.6,-19.1,19.1,17.220252349979955,10,10,0
VP_028,tsst,Prep,68.86792452830188,89.64150943396227,-20.77358490566038,20.77358490566038,32.03247667716719,53,53,0
VP_028,tsst,Pause_1,53.73684210526316,69.21052631578948,-15.473684210526315,26.63157894736842,57.1034810284866,19,19,0
VP_028,tsst,Talk,63.28358208955224,86.8688524590164,-22.639344262295083,35.622950819672134,62.61708872566641,67,61,6
VP_028,tsst,Math,89.67605633802818,126.83098591549296,-37.15492957746479,37.15492957746479,49.09685227221626,71,71,0
VP_028,tsst,Pause_5,98.3,128.45,-30.15,30.15,32.023813310596864,20,20,0
VP_028,ftsst,Prep,67.0,85.52083333333333,-18.520833333333332,24.270833333333332,40.85951144272922,48,48,0
VP_028,ftsst,Pause_1,65.95,102.5,-36.55,37.75,81.16340420295315,20,20,0
VP_028,ftsst,Talk,81.81967213114754,103.67857142857143,-20.785714285714285,30.821428571428573,41.335568733087484,61,56,5
VP_028,ftsst,Math,78.50769230769231,106.88888888888889,-28.0,34.38095238095238,49.0858910594482,65,63,2
VP_028,ftsst,Pause_5,97.88888888888889,109.27777777777777,-11.38888888888889,32.72222222222222,40.8888437917318,18,18,0
VP_029,tsst,Prep,86.52631578947368,111.15789473684211,-24.63157894736842,25.63157894736842,32.74788839426984,38,38,0
VP_029,tsst,Pause_1,78.9375,98.46666666666667,-19.466666666666665,24.933333333333334,31.537774625255352,16,15,1
VP_029,tsst,Talk,101.54761904761905,148.38095238095238,-46.833333333333336,46.833333333333336,50.37308383678893,42,42,0
VP_029,tsst,Math,103.39473684210526,153.68421052631578,-50.28947368421053,50.28947368421053,53.682100087427585,38,38,0
VP_029,tsst,Pause_5,98.9090909090909,156.72727272727272,-57.81818181818182,57.81818181818182,60.86861403373469,11,11,0
VP_029,ftsst,Prep,101.22222222222223,136.30555555555554,-35.083333333333336,36.916666666666664,50.119701682377276,36,36,0
VP_029,ftsst,Pause_1,103.84615384615384,130.1818181818182,-29.636363636363637,37.45454545454545,38.529189841492126,13,11,2
VP_029,ftsst,Talk,108.44444444444444,153.05555555555554,-44.611111111111114,44.611111111111114,52.19510577867459,36,36,0
VP_029,ftsst,Math,107.625,153.625,-46.0,46.0,50.045751718815055,40,40,0
VP_029,ftsst,Pause_5,130.0909090909091,166.0,-35.90909090909091,35.90909090909091,29.27434288089953,11,11,0
VP_030,tsst,Prep,55.62903225806452,84.80645161290323,-29.177419354838708,29.177419354838708,52.86281627072691,62,62,0
VP_030,tsst,Pause_1,57.130434782608695,89.43478260869566,-32.30434782608695,32.30434782608695,56.972191398834546,23,23,0
VP_030,tsst,Talk,63.10294117647059,95.52941176470588,-32.4264705882353,33.39705882352941,53.27776276204461,68,68,0
VP_030,tsst,Math,64.78333333333333,101.76666666666667,-36.983333333333334,36.983333333333334,57.713166840457234,60,60,0
VP_030,tsst,Pause_5,65.42105263157895,95.17647058823529,-30.11764705882353,38.0,58.339832626010605,19,17,2
VP_030,ftsst,Prep,66.76923076923077,107.33333333333333,-40.56410256410256,40.56410256410256,64.86200316677444,39,39,0
VP_030,ftsst,Pause_1,65.4375,113.3125,-47.875,47.875,73.28095327144113,16,16,0
VP_030,ftsst,Talk,84.82608695652173,125.35555555555555,-40.22222222222222,44.17777777777778,56.13657247742557,46,45,1
VP_030,ftsst,Math,86.17647058823529,124.90196078431373,-38.72549019607843,38.72549019607843,49.33190314069903,51,51,0
