participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,23.782608695652176,49.69565217391305,49.69565217391305,68.16446280754435,52,46,6
VP_001,tsst,Pause_1,72.75,42.09090909090909,30.727272727272727,34.0,43.7035222613097,12,11,1
VP_001,tsst,Talk,85.74468085106383,44.023809523809526,43.595238095238095,46.45238095238095,53.122199723116076,47,42,5
VP_001,tsst,Math,69.52727272727273,29.54,40.78,41.9,59.71995134278063,55,50,5
VP_001,tsst,Pause_5,70.15384615384616,28.615384615384617,41.53846153846154,41.53846153846154,57.95876914647018,13,13,0
VP_001,ftsst,Prep,75.32,34.52,40.8,42.16,53.68455237994381,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,54.2,5.466666666666667,10.8,18.08033432592537,15,15,0
VP_001,ftsst,Talk,91.6590909090909,51.79545454545455,39.86363636363637,44.09090909090909,46.96741272928427,44,44,0
VP_001,ftsst,Math,88.95121951219512,53.8780487804878,35.073170731707314,42.390243902439025,46.256474478768816,41,41,0
VP_001,ftsst,Pause_5,105.38461538461539,66.0,39.38461538461539,40.46153846153846,36.61264407336416,13,13,0
VP_002,tsst,Prep,79.53571428571429,45.5,34.035714285714285,34.035714285714285,41.956690768714644,56,56,0
VP_002,tsst,Pause_1,78.05,36.35,41.7,43.2,54.41831724651691,20,20,0
VP_002,tsst,Talk,71.22727272727273,31.4,39.87692307692308,40.276923076923076,56.63565371810331,66,65,1
VP_002,tsst,Math,79.18181818181819,42.63636363636363,36.54545454545455,37.09090909090909,46.52631421856054,66,66,0
VP_002,tsst,Pause_5,112.38888888888889,61.0,51.388888888888886,51.388888888888886,46.35935864390843,18,18,0
VP_002,ftsst,Prep,95.02380952380952,32.57142857142857,62.45238095238095,62.45238095238095,65.73384312394234,42,42,0
VP_002,ftsst,Pause_1,61.95,20.63157894736842,41.526315789473685,41.526315789473685,66.85114714092617,20,19,1
VP_002,ftsst,Talk,85.0,59.78431372549019,25.215686274509803,29.88235294117647,33.546646383355444,51,51,0
VP_002,ftsst,Math,67.6734693877551,28.069767441860463,39.18604651162791,42.674418604651166,62.83900302778732,49,43,6
VP_002,ftsst,Pause_5,116.58823529411765,81.94117647058823,34.64705882352941,34.64705882352941,29.63037924735577,17,17,0
VP_003,tsst,Prep,67.275,57.325,9.95,11.5,16.758200988891783,40,40,0
VP_003,tsst,Pause_1,66.3,56.7,9.6,18.2,26.71573687750158,10,10,0
VP_003,tsst,Talk,66.30434782608695,35.41860465116279,30.930232558139537,31.069767441860463,46.691556570413965,46,43,3
VP_003,tsst,Math,69.67441860465117,39.26829268292683,30.48780487804878,31.170731707317074,43.64248316993814,43,41,2
VP_003,tsst,Pause_5,96.54545454545455,75.27272727272727,21.272727272727273,22.181818181818183,21.9768782501593,11,11,0
VP_003,ftsst,Prep,112.11764705882354,71.02941176470588,41.088235294117645,41.088235294117645,36.54612992637036,34,34,0
VP_003,ftsst,Pause_1,97.91666666666667,60.833333333333336,37.083333333333336,37.75,37.140978836263926,12,12,0
VP_003,ftsst,Talk,98.55,57.8,40.75,48.45,48.82656836727041,40,40,0
VP_003,ftsst,Math,102.67567567567568,56.888888888888886,45.5,48.94444444444444,46.94266686285519,37,36,1
VP_003,ftsst,Pause_5,118.0,75.2,42.8,42.8,36.92527260340467,10,10,0
VP_004,tsst,Prep,116.1470588235294,66.23529411764706,49.911764705882355,50.205882352941174,42.303073454127066,34,34,0
VP_004,tsst,Pause_1,133.6,74.1,59.5,59.5,44.54293298853542,10,10,0
