participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,58.53846153846154,15.038461538461538,16.307692307692307,22.011660175996116,0.5068116637502129,52,52,0
VP_001,tsst,Pause_1,72.75,96.66666666666667,-23.916666666666668,34.916666666666664,57.84962893291378,-0.41353854152799563,12,12,0
VP_001,tsst,Talk,85.74468085106383,88.08510638297872,-2.3404255319148937,22.170212765957448,28.907501366877476,0.04453502532147764,47,47,0
VP_001,tsst,Math,69.52727272727273,69.54545454545455,-0.01818181818181818,20.89090909090909,31.288079653938674,-0.08714885142035807,55,55,0
VP_001,tsst,Pause_5,70.15384615384616,54.84615384615385,15.307692307692308,22.692307692307693,33.551912154693305,0.2863130619221008,13,13,0
VP_001,ftsst,Prep,75.32,62.96,12.36,17.16,23.911463530677008,0.44654075111976244,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,46.06666666666667,13.6,13.6,21.32590336248872,0.20263389480452262,15,15,0
VP_001,ftsst,Talk,91.6590909090909,92.68181818181819,-1.0227272727272727,18.931818181818183,24.993587464113975,0.533503806842125,44,44,0
VP_001,ftsst,Math,88.95121951219512,93.07317073170732,-4.121951219512195,20.658536585365855,28.8772467504223,0.2979003018257878,41,41,0
VP_001,ftsst,Pause_5,105.38461538461539,100.92307692307692,4.461538461538462,12.76923076923077,13.812896554032934,0.6760889141965291,13,13,0
VP_002,tsst,Prep,79.53571428571429,77.53571428571429,2.0,8.5,10.552405294555582,0.3481288489792005,56,56,0
VP_002,tsst,Pause_1,78.05,74.35,3.7,10.0,14.894429410801726,0.1456488261649365,20,20,0
VP_002,tsst,Talk,71.22727272727273,57.72727272727273,13.5,14.196969696969697,19.7451499408978,0.42892521863680433,66,66,0
VP_002,tsst,Math,79.18181818181819,75.96969696969697,3.212121212121212,5.454545454545454,7.010680070820003,0.7635519828398303,66,66,0
VP_002,tsst,Pause_5,112.38888888888889,113.5,-1.1111111111111112,8.0,8.002634708314108,0.48710932514126826,18,18,0
VP_002,ftsst,Prep,95.02380952380952,92.83333333333333,2.1904761904761907,10.285714285714286,11.969151244541365,0.513587704439837,42,42,0
VP_002,ftsst,Pause_1,61.95,56.9,5.05,5.25,8.551011836206108,0.7679360274878672,20,20,0
VP_002,ftsst,Talk,85.0,94.25490196078431,-9.254901960784315,20.0,27.09248319693199,0.3618234175024073,51,51,0
VP_002,ftsst,Math,67.6734693877551,60.36734693877551,7.3061224489795915,19.183673469387756,29.892562910524656,0.1502929369907649,49,49,0
VP_002,ftsst,Pause_5,116.58823529411765,113.76470588235294,2.823529411764706,2.9411764705882355,2.4818805303640707,0.614609466661187,17,17,0
VP_003,tsst,Prep,67.275,61.275,6.0,6.65,9.845396012855675,0.27386870540286407,40,40,0
VP_003,tsst,Pause_1,66.3,67.3,-1.0,23.6,35.684600734233086,-0.0031126375802871635,10,10,0
VP_003,tsst,Talk,66.30434782608695,54.08695652173913,12.217391304347826,12.478260869565217,18.61699666332393,0.3198644981473724,46,46,0
VP_003,tsst,Math,69.67441860465117,57.72093023255814,11.953488372093023,12.604651162790697,17.58630573190469,0.41299001243110883,43,43,0
VP_003,tsst,Pause_5,96.54545454545455,97.0,-0.45454545454545453,7.363636363636363,8.22392893451162,0.6894036176243549,11,11,0
VP_003,ftsst,Prep,112.11764705882354,107.44117647058823,4.676470588235294,11.5,10.6886585769718,0.026564429825450056,34,34,0
VP_003,ftsst,Pause_1,97.91666666666667,71.25,26.666666666666668,26.666666666666668,28.224368078888137,0.76775424185965,12,12,0
