participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,87.78846153846153,-14.211538461538462,14.403846153846153,21.38208301018744,0.8113968521805355,52,52,0
VP_001,tsst,Pause_1,72.75,85.91666666666667,-13.166666666666666,15.833333333333334,26.786492071477046,0.19835209703803505,12,12,0
VP_001,tsst,Talk,85.74468085106383,86.17021276595744,-0.425531914893617,14.425531914893616,16.89912637723348,0.26759186332568885,47,47,0
VP_001,tsst,Math,69.52727272727273,82.54545454545455,-13.018181818181818,13.381818181818181,19.99216226292954,0.43020624446413597,55,55,0
VP_001,tsst,Pause_5,70.15384615384616,83.3076923076923,-13.153846153846153,13.307692307692308,21.161461397119727,0.6912165275885074,13,13,0
VP_001,ftsst,Prep,75.32,95.84,-20.52,21.0,33.68545485996235,0.6574720724614738,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,83.33333333333333,-23.666666666666668,23.666666666666668,43.53768159055592,-0.21774268471797545,15,15,0
VP_001,ftsst,Talk,91.6590909090909,105.02272727272727,-13.363636363636363,18.818181818181817,24.77586521959282,0.5899564301086032,44,44,0
VP_001,ftsst,Math,88.95121951219512,100.58536585365853,-11.634146341463415,16.121951219512194,25.086260168902566,0.6187209685168089,41,41,0
VP_001,ftsst,Pause_5,105.38461538461539,116.84615384615384,-11.461538461538462,11.461538461538462,14.413969887023917,0.507124983565822,13,13,0
VP_002,tsst,Prep,79.53571428571429,96.39285714285714,-16.857142857142858,17.035714285714285,22.269216611356562,0.43673763230088913,56,56,0
VP_002,tsst,Pause_1,78.05,103.2,-25.15,25.15,36.50667470458165,0.2952819096442173,20,20,0
VP_002,tsst,Talk,71.22727272727273,90.4090909090909,-19.181818181818183,19.181818181818183,29.481793956816574,0.10773344511704479,66,66,0
VP_002,tsst,Math,79.18181818181819,98.57575757575758,-19.393939393939394,19.636363636363637,25.51192133632595,0.5384714615006887,66,66,0
VP_002,tsst,Pause_5,112.38888888888889,127.61111111111111,-15.222222222222221,15.222222222222221,15.189836302588864,0.43695115899485076,18,18,0
VP_002,ftsst,Prep,95.02380952380952,105.85714285714286,-10.833333333333334,11.166666666666666,14.03020320946164,0.6666877032078765,42,42,0
VP_002,ftsst,Pause_1,61.95,75.0,-13.05,13.05,21.08340499687144,0.8165306004095869,20,20,0
VP_002,ftsst,Talk,85.0,99.84313725490196,-14.843137254901961,18.529411764705884,25.054973879428868,0.5414385437470327,51,51,0
VP_002,ftsst,Math,67.6734693877551,83.6734693877551,-16.0,16.612244897959183,27.3479817741536,0.13649976352956592,49,49,0
VP_002,ftsst,Pause_5,116.58823529411765,126.94117647058823,-10.352941176470589,10.352941176470589,8.910509642826172,0.745393984654545,17,17,0
VP_003,tsst,Prep,67.275,91.75,-24.475,24.475,36.66188458398967,0.09245798140745891,40,40,0
VP_003,tsst,Pause_1,66.3,102.6,-36.3,36.3,54.9203045728781,0.2223409835501381,10,10,0
VP_003,tsst,Talk,66.30434782608695,82.84782608695652,-16.543478260869566,16.543478260869566,25.708092501444327,0.5233611583961308,46,46,0
VP_003,tsst,Math,69.67441860465117,87.93023255813954,-18.25581395348837,18.25581395348837,27.836342792114273,0.762156308497042,43,43,0
VP_003,tsst,Pause_5,96.54545454545455,111.0909090909091,-14.545454545454545,14.545454545454545,16.776850436396458,0.5651177794455112,11,11,0
VP_003,ftsst,Prep,112.11764705882354,119.41176470588235,-7.294117647058823,8.235294117647058,8.548700902400961,0.09347262112107034,34,34,0
