participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,59.73076923076923,13.846153846153847,14.923076923076923,20.118982964328794,0.5279105553534968,52,52,0
VP_001,tsst,Pause_1,72.75,52.583333333333336,20.166666666666668,41.166666666666664,59.61993418592707,-0.1534868358556901,12,12,0
VP_001,tsst,Talk,85.74468085106383,61.29545454545455,24.136363636363637,35.22727272727273,40.5070454009397,0.10025487120745721,47,44,3
VP_001,tsst,Math,69.52727272727273,53.75471698113208,15.622641509433961,24.0,33.89551189544007,-0.17333991410742786,55,53,2
VP_001,tsst,Pause_5,70.15384615384616,21.666666666666668,49.333333333333336,49.333333333333336,66.76467896498248,-0.40952563902564254,13,12,1
VP_001,ftsst,Prep,75.32,59.8,15.52,18.72,23.874458216530954,0.33345581186212214,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,34.53333333333333,25.133333333333333,25.4,40.82381481116549,-0.13344083917162164,15,15,0
VP_001,ftsst,Talk,91.6590909090909,76.56818181818181,15.090909090909092,23.09090909090909,25.708172749053393,0.5990541174760611,44,44,0
VP_001,ftsst,Math,88.95121951219512,52.425,37.5,38.85,41.13615282920424,0.22156631670497068,41,40,1
VP_001,ftsst,Pause_5,105.38461538461539,33.38461538461539,72.0,72.0,68.8421667623493,0.2995542972403563,13,13,0
VP_002,tsst,Prep,79.53571428571429,22.436363636363637,57.07272727272727,57.43636363636364,71.4802690823843,-0.19413838195035363,56,55,1
VP_002,tsst,Pause_1,78.05,51.583333333333336,30.25,31.75,39.21615965972461,0.4322179945770814,20,12,8
VP_002,tsst,Talk,71.22727272727273,31.28,40.4,41.2,56.29653937224322,-0.023782978642430293,66,25,41
VP_002,tsst,Math,79.18181818181819,27.115384615384617,52.11538461538461,52.57692307692308,66.34366368492697,0.016062184329762516,66,26,40
VP_002,tsst,Pause_5,112.38888888888889,62.75,49.625,51.625,44.010234905009,-0.6851831603537408,18,8,10
VP_002,ftsst,Prep,95.02380952380952,52.25,42.25,42.25,42.02525492733819,-0.3325110822318416,42,24,18
VP_002,ftsst,Pause_1,61.95,59.77777777777778,3.4444444444444446,7.0,11.316953065994744,0.5276683937010287,20,9,11
VP_002,ftsst,Talk,85.0,63.80487804878049,20.536585365853657,24.536585365853657,28.228530484528147,0.1521325034157336,51,41,10
VP_002,ftsst,Math,67.6734693877551,51.63636363636363,15.454545454545455,16.90909090909091,25.434774214287827,0.21535638891452044,49,44,5
VP_002,ftsst,Pause_5,116.58823529411765,69.66666666666667,46.44444444444444,46.44444444444444,40.6310517087876,0.8623389924644177,17,9,8
VP_003,tsst,Prep,67.275,44.525,22.75,22.75,33.89223856996266,0.2365436563250744,40,40,0
VP_003,tsst,Pause_1,66.3,63.4,2.9,4.3,6.463986789354436,0.3879790288505451,10,10,0
VP_003,tsst,Talk,66.30434782608695,59.23913043478261,7.065217391304348,10.23913043478261,15.510317790893827,0.42554449896203334,46,46,0
VP_003,tsst,Math,69.67441860465117,60.97674418604651,8.69767441860465,11.581395348837209,16.71606377031643,0.4910355705764356,43,43,0
VP_003,tsst,Pause_5,96.54545454545455,70.54545454545455,26.0,26.727272727272727,26.42512291859508,-0.3820593345679699,11,11,0
VP_003,ftsst,Prep,112.11764705882354,75.82352941176471,36.294117647058826,36.294117647058826,31.4242078838125,-0.27814083029147435,34,34,0
VP_003,ftsst,Pause_1,97.91666666666667,71.66666666666667,26.25,26.25,25.186570468970388,0.36326348863366525,12,12,0
VP_003,ftsst,Talk,98.55,76.625,21.925,33.025,31.17228743377562,0.05702601935630994,40,40,0
VP_003,ftsst,Math,102.67567567567568,76.08333333333333,26.305555555555557,29.416666666666668,27.87813529144119,-0.08433097850625598,37,36,1
VP_003,ftsst,Pause_5,118.0,81.0,37.0,37.0,30.60872431073654,-0.4061173513757141,10,10,0
VP_004,tsst,Prep,116.1470588235294,81.5,34.64705882352941,35.294117647058826,28.41385271498669,-0.46390041939807214,34,34,0
VP_004,tsst,Pause_1,133.6,84.1,49.5,49.5,37.0395817571299,0.30096413714165704,10,10,0
VP_004,tsst,Talk,125.52272727272727,99.65853658536585,25.878048780487806,42.02439024390244,32.70964089088485,0.3838528583091586,44,41,3
VP_004,tsst,Math,119.16216216216216,80.8108108108108,38.351351351351354,38.351351351351354,30.29260573146514,0.004120014767070568,37,37,0
VP_004,tsst,Pause_5,134.6,89.0,45.6,45.6,33.25964922738954,0.059405215204371004,10,10,0
VP_004,ftsst,Prep,102.08333333333333,81.55555555555556,20.52777777777778,21.083333333333332,19.678693523219902,0.3133271663037446,36,36,0
VP_004,ftsst,Pause_1,103.0,65.75,37.25,37.25,35.920860017564756,0.573674305131102,12,12,0
VP_004,ftsst,Talk,123.29411764705883,103.52941176470588,19.764705882352942,23.529411764705884,19.13401312809493,0.4168757015983382,34,34,0
VP_004,ftsst,Math,123.42857142857143,93.62857142857143,29.8,31.8,24.705519723948914,0.3656376855030019,35,35,0
VP_004,ftsst,Pause_5,136.1,88.7,47.4,47.4,34.51003113536988,-0.3667346919569463,10,10,0
VP_005,tsst,Prep,65.25490196078431,31.3,33.96,34.24,51.29447394039332,0.08667135101323989,51,50,1
VP_005,tsst,Pause_1,54.705882352941174,24.733333333333334,29.733333333333334,30.133333333333333,55.394207850229854,0.3848306454578407,17,15,2
VP_005,tsst,Talk,69.94117647058823,48.68627450980392,21.254901960784313,24.58823529411765,33.59335611413449,0.6589866015609945,51,51,0
VP_005,tsst,Math,64.71428571428571,38.23255813953488,27.186046511627907,29.511627906976745,42.555874571038174,0.18768889257547416,56,43,13
VP_005,tsst,Pause_5,101.06666666666666,57.666666666666664,43.4,43.666666666666664,42.78434254588738,-0.20439523172113438,15,15,0
VP_005,ftsst,Prep,65.22727272727273,41.80952380952381,23.69047619047619,24.88095238095238,36.84760550549437,0.3920101388696522,44,42,2
VP_005,ftsst,Pause_1,74.33333333333333,42.470588235294116,31.41176470588235,33.76470588235294,44.88911927566433,-0.2590659485041944,18,17,1
VP_005,ftsst,Talk,83.15094339622641,60.92307692307692,22.442307692307693,25.557692307692307,29.282382496321706,0.3443022704170347,53,52,1
VP_005,ftsst,Math,111.10204081632654,95.46938775510205,15.63265306122449,21.551020408163264,20.830208023448705,0.5220743142336273,49,49,0
VP_005,ftsst,Pause_5,133.07142857142858,125.85714285714286,7.214285714285714,7.214285714285714,5.42794908654848,0.42290624579087716,14,14,0
VP_020,tsst,Prep,78.46938775510205,35.375,42.5625,42.5625,51.54092572290083,0.27256389975998246,49,48,1
VP_020,tsst,Pause_1,82.78571428571429,30.2,42.3,49.9,69.19781598220882,-0.7129016727629389,14,10,4
VP_020,tsst,Talk,73.53061224489795,55.958333333333336,17.479166666666668,23.645833333333332,32.620839976731794,0.6729270002561643,49,48,1
VP_020,tsst,Math,94.43478260869566,57.422222222222224,36.46666666666667,41.84444444444444,43.12025558238182,0.17429644775524833,46,45,1
VP_020,tsst,Pause_5,112.83333333333333,33.833333333333336,79.0,79.0,69.95309069767445,-0.32201213126056893,12,12,0
VP_020,ftsst,Prep,66.0,43.06976744186046,22.930232558139537,28.6046511627907,41.56255070391379,0.2665570291954697,43,43,0
VP_020,ftsst,Pause_1,63.0,43.44444444444444,17.22222222222222,18.555555555555557,28.90387768731283,0.35121201386571044,16,9,7
VP_020,ftsst,Talk,82.95121951219512,44.46153846153846,38.05128205128205,39.69230769230769,45.968787307519385,0.16792810221779836,41,39,2
VP_020,ftsst,Math,76.86046511627907,47.44186046511628,29.41860465116279,39.18604651162791,48.176126795666804,0.16272453197560627,43,43,0
VP_020,ftsst,Pause_5,113.0,37.5,75.5,75.5,66.52950821209318,0.05606826057772342,12,12,0
VP_022,tsst,Prep,104.70588235294117,47.40625,57.6875,57.6875,53.273742681313486,-0.0550654801233057,34,32,2
VP_022,tsst,Pause_1,92.25,47.0,45.09090909090909,45.81818181818182,47.7760004039629,-0.34937459740218185,12,11,1
VP_022,tsst,Talk,113.87179487179488,114.12820512820512,-0.2564102564102564,13.897435897435898,13.122021672095329,0.5774338241305141,39,39,0
VP_022,tsst,Math,112.0,53.03030303030303,60.484848484848484,60.90909090909091,53.159228020372964,0.007876278412053274,36,33,3
VP_022,tsst,Pause_5,105.18181818181819,52.63636363636363,52.54545454545455,53.27272727272727,48.780098540816425,-0.331009960994407,11,11,0
VP_022,ftsst,Prep,104.68571428571428,55.94285714285714,48.74285714285714,48.8,45.909978618430124,0.11303433271338127,35,35,0
VP_022,ftsst,Pause_1,86.0909090909091,47.4,38.7,38.7,44.933464109197175,0.47405753835522324,11,10,1
VP_022,ftsst,Talk,100.62857142857143,47.31428571428572,53.31428571428572,53.31428571428572,51.15435380211226,-0.18647400816970428,35,35,0
VP_022,ftsst,Math,108.8,52.285714285714285,56.51428571428571,56.51428571428571,49.37983027198519,-0.4498265205837734,35,35,0
VP_022,ftsst,Pause_5,103.36363636363636,60.90909090909091,42.45454545454545,42.63636363636363,43.946378349190745,0.622095555706464,11,11,0
VP_023,tsst,Prep,86.93548387096774,76.09677419354838,10.838709677419354,10.838709677419354,12.435044084837754,0.6779117152709521,31,31,0
VP_023,tsst,Pause_1,86.55555555555556,69.11111111111111,17.444444444444443,17.444444444444443,20.31904005411154,0.4737792264557835,9,9,0
VP_023,tsst,Talk,93.9090909090909,88.75,5.159090909090909,15.659090909090908,14.835161788967822,0.3175551537372426,44,44,0
VP_023,tsst,Math,84.19565217391305,77.8913043478261,6.304347826086956,8.391304347826088,10.003364884984041,0.49500401811551636,46,46,0
VP_023,tsst,Pause_5,92.7,88.2,4.5,9.5,11.100801213757,0.5931163036928844,10,10,0
VP_023,ftsst,Prep,80.0,40.25,39.72222222222222,39.72222222222222,50.98892883870533,0.48400408572783005,37,36,1
VP_023,ftsst,Pause_1,83.4,75.8,7.6,10.2,12.117544491085221,-0.3619179889068558,10,10,0
VP_023,ftsst,Talk,91.9,90.05128205128206,2.1794871794871793,16.641025641025642,19.14594147378219,0.6013791645782952,40,39,1
VP_023,ftsst,Math,85.58333333333333,83.8,1.2857142857142858,13.114285714285714,16.934030172914657,0.1755584349682843,36,35,1
VP_023,ftsst,Pause_5,93.9,85.6,8.3,8.9,9.45729592774481,0.7377204816517359,10,10,0
VP_026,tsst,Prep,87.03508771929825,84.52631578947368,2.508771929824561,3.7719298245614037,4.363276250942674,0.6814959406817757,57,57,0
VP_026,tsst,Pause_1,82.10526315789474,78.3157894736842,3.789473684210526,4.421052631578948,5.309392920373713,0.16098149892243085,19,19,0
VP_026,tsst,Talk,80.8125,79.1875,1.625,9.03125,11.652141353759536,0.4980299641233742,64,64,0
VP_026,tsst,Math,87.33898305084746,81.30508474576271,6.033898305084746,9.084745762711865,10.842030160556709,0.5076012266908997,59,59,0
VP_026,tsst,Pause_5,83.47058823529412,75.05882352941177,8.411764705882353,8.529411764705882,10.566634862658843,0.704427163268673,17,17,0
VP_026,ftsst,Prep,86.12698412698413,89.12698412698413,-3.0,8.333333333333334,9.712358283834218,-0.058193167205760225,63,63,0
VP_026,ftsst,Pause_1,82.7,82.0,0.7,2.1,2.5360227357706364,0.323181219051695,20,20,0
VP_026,ftsst,Talk,77.65671641791045,84.50746268656717,-6.850746268656716,8.880597014925373,12.730075624382518,0.21701013658641177,67,67,0
VP_026,ftsst,Math,83.390625,89.140625,-5.75,8.65625,10.925058936526021,0.46155557594422375,64,64,0
VP_026,ftsst,Pause_5,92.6875,84.25,8.4375,8.6875,8.581429396449893,-0.08353105186972296,16,16,0
VP_027,tsst,Prep,115.38461538461539,119.53846153846153,-4.153846153846154,16.615384615384617,15.037801876274393,0.2808273145344037,39,39,0
VP_027,tsst,Pause_1,88.9090909090909,71.63636363636364,17.272727272727273,17.272727272727273,19.114509257956374,0.5284226952907749,11,11,0
VP_027,tsst,Talk,108.45454545454545,116.16279069767442,-8.0,18.186046511627907,22.535967500742444,0.06711937024177056,44,43,1
VP_027,tsst,Math,108.70731707317073,103.5609756097561,5.146341463414634,10.463414634146341,10.698082369255136,0.15170702381770287,41,41,0
VP_027,tsst,Pause_5,109.27272727272727,103.9090909090909,5.363636363636363,5.363636363636363,4.877719733056582,0.32804009151924574,11,11,0
VP_027,ftsst,Prep,107.1,84.925,22.175,22.175,20.58707987118556,0.2599794728737283,40,40,0
VP_027,ftsst,Pause_1,100.91666666666667,65.33333333333333,35.583333333333336,35.583333333333336,34.53015000039648,-0.16569462599797846,12,12,0
VP_027,ftsst,Talk,102.44186046511628,102.04761904761905,-0.19047619047619047,18.333333333333332,19.727518536970223,0.23855827324789042,43,42,1
VP_027,ftsst,Math,109.43589743589743,104.8974358974359,4.538461538461538,15.205128205128204,14.663636437871165,0.33071652923122913,39,39,0
VP_027,ftsst,Pause_5,111.5,89.8,21.7,21.7,19.79550774383834,0.6266136818925866,10,10,0
VP_028,tsst,Prep,68.86792452830188,50.375,19.625,38.541666666666664,56.3674685915067,0.2710751160647294,53,24,29
VP_028,tsst,Pause_1,53.73684210526316,13.0,53.714285714285715,54.57142857142857,75.9014654332642,-0.31099232778912544,19,7,12
VP_028,tsst,Talk,63.28358208955224,42.904761904761905,22.19047619047619,26.761904761904763,39.9338878679191,0.1789265154574424,67,42,25
VP_028,tsst,Math,89.67605633802818,53.42857142857143,39.775510204081634,47.53061224489796,51.69883944760474,0.34004081345941695,71,49,22
VP_028,tsst,Pause_5,98.3,86.0909090909091,14.181818181818182,24.0,24.517223847992614,0.22732325356330524,20,11,9
VP_028,ftsst,Prep,67.0,31.853658536585368,34.8780487804878,38.48780487804878,55.98224173431798,0.21033335486107155,48,41,7
VP_028,ftsst,Pause_1,65.95,32.1,34.1,35.5,59.81723132351635,0.808494849921542,20,10,10
VP_028,ftsst,Talk,81.81967213114754,84.25925925925925,-0.5925925925925926,23.62962962962963,32.78635304237301,0.4402725504390406,61,54,7
VP_028,ftsst,Math,78.50769230769231,68.77083333333333,9.604166666666666,21.770833333333332,27.946280830835608,0.493220836418228,65,48,17
VP_028,ftsst,Pause_5,97.88888888888889,55.09090909090909,40.90909090909091,57.81818181818182,73.68070466045202,-0.26557076380461553,18,11,7
VP_029,tsst,Prep,86.52631578947368,2.3333333333333335,84.0,84.0,97.51543209876543,0.8423018984429828,38,3,35
VP_029,tsst,Pause_1,78.9375,33.81818181818182,45.27272727272727,45.81818181818182,57.402988192892714,-0.12341415821691681,16,11,5
VP_029,tsst,Talk,101.54761904761905,63.970588235294116,38.970588235294116,42.14705882352941,42.434044365775335,0.5125984897046625,42,34,8
VP_029,tsst,Math,103.39473684210526,69.16666666666667,33.46666666666667,33.46666666666667,33.00059018221414,0.43359274308295453,38,30,8
VP_029,tsst,Pause_5,98.9090909090909,22.4,77.4,77.4,77.50553001609768,0.0651243899579144,11,10,1
VP_029,ftsst,Prep,101.22222222222223,52.25,40.25,41.0,42.30460056851294,0.47692796972211593,36,8,28
VP_029,ftsst,Pause_1,103.84615384615384,46.6,51.7,51.7,51.403464865057174,-0.11913476082819534,13,10,3
VP_029,ftsst,Talk,108.44444444444444,34.13333333333333,75.8,75.86666666666666,68.91395242403846,0.2050235749394798,36,30,6
VP_029,ftsst,Math,107.625,63.775,43.85,44.65,42.69053873158127,0.45938365377199236,40,40,0
VP_029,ftsst,Pause_5,130.0909090909091,81.63636363636364,48.45454545454545,48.45454545454545,36.28470755670195,-0.02863856020868778,11,11,0
VP_030,tsst,Prep,55.62903225806452,65.03225806451613,-9.403225806451612,9.46774193548387,17.23660926704495,0.5098858840786424,62,62,0
VP_030,tsst,Pause_1,57.130434782608695,68.08695652173913,-10.956521739130435,10.956521739130435,19.34176497272642,0.6946442344767803,23,23,0
VP_030,tsst,Talk,63.10294117647059,68.64615384615385,-5.246153846153846,13.523076923076923,21.802690174696966,0.544332640741756,68,65,3
VP_030,tsst,Math,64.78333333333333,77.16949152542372,-12.271186440677965,12.40677966101695,19.002683868488877,0.5965538109967349,60,59,1
VP_030,tsst,Pause_5,65.42105263157895,76.1875,-11.375,11.375,17.564555193867786,0.7443999290357761,19,16,3
VP_030,ftsst,Prep,66.76923076923077,52.611111111111114,13.277777777777779,15.055555555555555,22.906413029739703,0.34693959227444754,39,18,21
VP_030,ftsst,Pause_1,65.4375,72.5625,-7.125,7.125,10.934047234120468,0.4685591852805971,16,16,0
VP_030,ftsst,Talk,84.82608695652173,76.22222222222223,8.911111111111111,25.22222222222222,28.94688299182307,0.2946987670711483,46,45,1
VP_030,ftsst,Math,86.17647058823529,69.54,16.5,25.1,28.97502753339125,0.5133774435727549,51,50,1
VP_030,ftsst,Pause_5,88.73333333333333,88.71428571428571,-1.0,11.571428571428571,13.121332822246012,0.42538103760223467,15,14,1
VP_031,tsst,Prep,77.5,67.27777777777777,10.222222222222221,11.814814814814815,15.661568352296674,0.65392038274168,54,54,0
VP_031,tsst,Pause_1,80.75,74.36842105263158,6.631578947368421,8.526315789473685,10.720978500887929,0.4060972831036,20,19,1
VP_031,tsst,Talk,84.55,78.83333333333333,5.716666666666667,7.45,8.827508641248976,0.6049918938978424,60,60,0
VP_031,tsst,Math,72.73134328358209,78.06060606060606,-5.242424242424242,7.787878787878788,10.914339609328156,-0.016806870285436384,67,66,1
VP_031,tsst,Pause_5,91.875,85.9375,5.9375,5.9375,6.440376959057523,0.7667679408365111,16,16,0
VP_031,ftsst,Prep,89.38888888888889,59.333333333333336,28.047619047619047,28.047619047619047,34.0085683920654,0.5717591231790694,36,21,15
VP_031,ftsst,Pause_1,77.15384615384616,5.8,78.2,78.2,92.98551345831316,0.14798133744168188,13,5,8
VP_031,ftsst,Talk,92.1842105263158,23.03030303030303,68.87878787878788,68.87878787878788,74.43080014704628,0.018037907252539693,38,33,5
VP_031,ftsst,Math,79.22727272727273,44.3235294117647,35.64705882352941,35.64705882352941,45.98195702839248,0.4895013514601028,44,34,10
VP_031,ftsst,Pause_5,94.9090909090909,30.0,64.77777777777777,64.77777777777777,66.53495538551701,-0.49141448711262325,11,9,2
VP_032,tsst,Prep,103.42424242424242,49.21212121212121,54.21212121212121,65.42424242424242,61.291712852128306,-0.1184195313936576,33,33,0
VP_032,tsst,Pause_1,85.77777777777777,74.22222222222223,11.555555555555555,11.555555555555555,13.487088166313221,0.7780860769267245,9,9,0
VP_032,tsst,Talk,126.38636363636364,96.1590909090909,30.227272727272727,31.09090909090909,23.48699321854881,0.1908403821903861,44,44,0
VP_032,tsst,Math,89.37209302325581,77.11627906976744,12.255813953488373,12.534883720930232,13.315532173414946,0.2478235852696108,43,43,0
VP_032,tsst,Pause_5,150.36363636363637,113.45454545454545,36.90909090909091,36.90909090909091,24.69180766712647,0.3842064280304388,11,11,0
VP_032,ftsst,Prep,134.71428571428572,73.61538461538461,62.26923076923077,62.26923076923077,44.825422281740764,0.04484002374238995,28,26,2
VP_032,ftsst,Pause_1,92.0909090909091,66.63636363636364,25.454545454545453,25.454545454545453,28.192804627716768,0.5307089553152927,11,11,0
VP_032,ftsst,Talk,140.57142857142858,122.97142857142858,17.6,23.428571428571427,17.127961789074316,0.29490262370108955,35,35,0
VP_032,ftsst,Math,139.275,136.125,3.15,13.85,10.965136119444585,0.3579972813454372,40,40,0
VP_032,ftsst,Pause_5,152.5,147.75,4.75,6.583333333333333,4.2943249026879595,0.3589683361335953,12,12,0
