participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,61.73076923076923,11.846153846153847,13.384615384615385,18.029742708287202,52,52,0
VP_001,tsst,Pause_1,72.75,54.583333333333336,18.166666666666668,39.833333333333336,57.772515061606775,12,12,0
VP_001,tsst,Talk,85.74468085106383,63.29545454545455,22.136363636363637,33.77272727272727,38.686231754049274,47,44,3
VP_001,tsst,Math,69.52727272727273,55.75471698113208,13.622641509433961,22.528301886792452,31.80210205112066,55,53,2
VP_001,tsst,Pause_5,70.15384615384616,21.923076923076923,48.23076923076923,48.23076923076923,66.51518021841254,13,13,0
VP_001,ftsst,Prep,75.32,61.8,13.52,18.08,23.269522517851193,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,36.53333333333333,23.133333333333333,23.933333333333334,38.43520829908146,15,15,0
VP_001,ftsst,Talk,91.6590909090909,78.56818181818181,13.090909090909092,21.954545454545453,24.46418607708136,44,44,0
VP_001,ftsst,Math,88.95121951219512,54.425,35.5,37.4,39.524535298530076,41,40,1
VP_001,ftsst,Pause_5,105.38461538461539,35.38461538461539,70.0,70.0,66.87846880284825,13,13,0
VP_002,tsst,Prep,79.53571428571429,24.436363636363637,55.07272727272727,55.654545454545456,69.24075857575147,56,55,1
VP_002,tsst,Pause_1,78.05,53.583333333333336,28.25,30.416666666666668,37.55705360378315,20,12,8
VP_002,tsst,Talk,71.22727272727273,29.75,42.57142857142857,43.714285714285715,59.00727549424412,66,28,38
VP_002,tsst,Math,79.18181818181819,24.516129032258064,55.38709677419355,56.16129032258065,70.02826552682785,66,31,35
VP_002,tsst,Pause_5,112.38888888888889,64.75,47.625,50.125,42.73562918501088,18,8,10
VP_002,ftsst,Prep,95.02380952380952,54.25,40.25,40.25,39.84863797034068,42,24,18
VP_002,ftsst,Pause_1,61.95,61.77777777777778,1.4444444444444444,8.11111111111111,13.032676075250093,20,9,11
VP_002,ftsst,Talk,85.0,65.8048780487805,18.536585365853657,23.658536585365855,27.114236705191015,51,41,10
VP_002,ftsst,Math,67.6734693877551,53.63636363636363,13.454545454545455,15.772727272727273,23.807792271710717,49,44,5
VP_002,ftsst,Pause_5,116.58823529411765,71.66666666666667,44.44444444444444,44.666666666666664,39.09093352903839,17,9,8
