,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,565,567,669,634,590.0,104,67,104.0,67,,,-37.0,37.0,55.223880597014926
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1155,1156,1238,1206,581.0,83,50,83.0,50,,,-33.0,33.0,66.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1736,1735,1834,1811,557.0,98,76,98.0,76,,,-22.0,22.0,28.947368421052634
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2293,2291,2394,2382,546.0,101,91,101.0,91,,,-10.0,10.0,10.989010989010989
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2839,2846,2943,2926,541.0,104,80,104.0,80,,,-24.0,24.0,30.0
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3380,3378,3481,3456,543.0,101,78,101.0,78,,,-23.0,23.0,29.48717948717949
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3923,3923,4021,3996,546.0,98,73,98.0,73,,,-25.0,25.0,34.24657534246575
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4469,4469,4565,4542,550.0,96,73,96.0,73,,,-23.0,23.0,31.506849315068493
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5019,5022,5120,5102,537.0,101,80,101.0,80,,,-21.0,21.0,26.25
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5556,5553,5661,5637,540.0,105,84,105.0,84,,,-21.0,21.0,25.0
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6096,6094,6201,6183,541.0,105,89,105.0,89,,,-16.0,16.0,17.97752808988764
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6637,6636,6742,6709,552.0,105,73,105.0,73,,,-32.0,32.0,43.83561643835616
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7189,7190,7288,7256,569.0,99,66,99.0,66,,,-33.0,33.0,50.0
VP_001,tsst,Prep,13,13,13,7595,7595,8171,8171,7758,7757,7856,7826,580.0,98,69,98.0,69,,,-29.0,29.0,42.028985507246375
VP_001,tsst,Prep,14,14,14,8171,8171,8738,8738,8338,8351,8437,8406,560.0,99,55,99.0,55,,,-44.0,44.0,80.0
VP_001,tsst,Prep,15,15,15,8738,8738,9295,9295,8898,8897,9005,8975,556.0,107,78,107.0,78,,,-29.0,29.0,37.17948717948718
VP_001,tsst,Prep,16,16,16,9295,9295,9854,9854,9454,9453,9559,9537,560.0,105,84,105.0,84,,,-21.0,21.0,25.0
VP_001,tsst,Prep,17,17,17,9854,9854,10417,10417,10014,10013,10116,10096,565.0,102,83,102.0,83,,,-19.0,19.0,22.89156626506024
VP_001,tsst,Prep,18,18,18,10417,10417,10988,10988,10579,10590,10676,10651,574.0,97,61,97.0,61,,,-36.0,36.0,59.01639344262295
VP_001,tsst,Prep,19,19,19,10988,10988,11567,11567,11153,11160,11246,11228,582.0,93,68,93.0,68,,,-25.0,25.0,36.76470588235294
VP_001,tsst,Prep,20,20,20,11567,11567,12135,12135,11735,11742,11834,11808,560.0,99,66,99.0,66,,,-33.0,33.0,50.0
VP_001,tsst,Prep,21,21,21,12135,12135,12689,12689,12295,12296,12401,12387,551.0,106,91,106.0,91,,,-15.0,15.0,16.483516483516482
VP_001,tsst,Prep,22,22,22,12689,12689,13239,13239,12846,12858,12953,12935,549.0,107,77,107.0,77,,,-30.0,30.0,38.961038961038966
VP_001,tsst,Prep,23,23,23,13239,13239,13788,13789,13395,13393,13496,13469,550.0,101,76,101.0,76,,,-25.0,25.0,32.89473684210527
VP_001,tsst,Prep,24,24,24,13788,13789,14338,14339,13945,13945,14042,14015,550.0,97,70,97.0,70,,,-27.0,27.0,38.57142857142858
