,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,563,567,559,634,590.0,590.0,101.69491525423729,101.69491525423729,,67,,67.0,negative_pep,,,,
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1153,1156,1149,1206,581.0,581.0,103.27022375215147,103.27022375215147,,50,,50.0,negative_pep,,,,
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1734,1735,1777,1811,557.0,557.0,107.71992818671453,107.71992818671453,43,76,43.0,76.0,,,33.0,33.0,43.42105263157895
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2291,2291,2332,2382,546.0,546.0,109.89010989010988,109.89010989010988,41,91,41.0,91.0,,,50.0,50.0,54.94505494505495
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2837,2846,2886,2926,541.0,541.0,110.90573012939001,110.90573012939001,49,80,49.0,80.0,,,31.0,31.0,38.75
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3378,3378,3391,3456,543.0,543.0,110.49723756906077,110.49723756906077,13,78,13.0,78.0,,,65.0,65.0,83.33333333333334
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3921,3923,3939,3996,546.0,546.0,109.89010989010988,109.89010989010988,18,73,18.0,73.0,,,55.0,55.0,75.34246575342466
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4467,4469,4485,4542,550.0,550.0,109.09090909090908,109.09090909090908,18,73,18.0,73.0,,,55.0,55.0,75.34246575342466
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5017,5022,5066,5102,537.0,537.0,111.73184357541899,111.73184357541899,49,80,49.0,80.0,,,31.0,31.0,38.75
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5554,5553,5578,5637,540.0,540.0,111.1111111111111,111.1111111111111,24,84,24.0,84.0,,,60.0,60.0,71.42857142857143
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6094,6094,6096,6183,541.0,541.0,110.90573012939001,110.90573012939001,2,89,2.0,89.0,,,87.0,87.0,97.75280898876404
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6635,6636,6651,6709,552.0,552.0,108.69565217391303,108.69565217391303,16,73,16.0,73.0,,,57.0,57.0,78.08219178082192
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7187,7190,7205,7256,569.0,569.0,105.4481546572935,105.4481546572935,18,66,18.0,66.0,,,48.0,48.0,72.72727272727273
VP_001,tsst,Prep,13,13,13,7595,7595,8171,8171,7756,7757,7777,7826,580.0,580.0,103.44827586206897,103.44827586206897,21,69,21.0,69.0,,,48.0,48.0,69.56521739130434
