participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,63.94230769230769,9.634615384615385,12.096153846153847,15.960489576457963,52,52,0
VP_001,tsst,Pause_1,72.75,45.0,27.75,28.083333333333332,37.967821656228956,12,12,0
VP_001,tsst,Talk,85.74468085106383,59.97826086956522,25.5,27.065217391304348,29.54803255259022,47,46,1
VP_001,tsst,Math,69.52727272727273,64.83636363636364,4.6909090909090905,11.236363636363636,15.67045181213666,55,55,0
VP_001,tsst,Pause_5,70.15384615384616,46.90909090909091,19.181818181818183,19.181818181818183,28.420631799182004,13,11,2
VP_001,ftsst,Prep,75.32,69.78,5.54,14.06,18.83978672781838,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,45.6,14.066666666666666,15.933333333333334,26.06460661294134,15,15,0
VP_001,ftsst,Talk,91.6590909090909,76.6046511627907,14.720930232558139,22.069767441860463,24.392540105170607,44,43,1
VP_001,ftsst,Math,88.95121951219512,74.2439024390244,14.707317073170731,31.4390243902439,37.07424726033766,41,41,0
VP_001,ftsst,Pause_5,105.38461538461539,78.0,27.384615384615383,41.23076923076923,37.98938372282374,13,13,0
VP_002,tsst,Prep,79.53571428571429,38.03703703703704,41.370370370370374,42.74074074074074,53.350162204025864,56,54,2
VP_002,tsst,Pause_1,78.05,55.95,22.1,25.6,31.781444026807094,20,20,0
VP_002,tsst,Talk,71.22727272727273,47.44615384615385,23.70769230769231,25.246153846153845,34.42999251547693,66,65,1
VP_002,tsst,Math,79.18181818181819,56.81818181818182,22.363636363636363,23.272727272727273,28.96169833230623,66,66,0
VP_002,tsst,Pause_5,112.38888888888889,65.5,46.888888888888886,48.44444444444444,41.86825877714539,18,18,0
VP_002,ftsst,Prep,95.02380952380952,57.214285714285715,37.80952380952381,39.61904761904762,40.884885855377306,42,42,0
VP_002,ftsst,Pause_1,61.95,44.85,17.1,23.4,38.213829259518974,20,20,0
VP_002,ftsst,Talk,85.0,67.26,17.2,24.72,26.85418937026636,51,50,1
VP_002,ftsst,Math,67.6734693877551,54.57142857142857,13.10204081632653,16.122448979591837,23.014073726797616,49,49,0
VP_002,ftsst,Pause_5,116.58823529411765,72.0,44.588235294117645,46.0,39.65343332593996,17,17,0
VP_003,tsst,Prep,67.275,66.825,0.45,6.05,8.991298324230916,40,40,0
VP_003,tsst,Pause_1,66.3,69.0,-2.7,10.3,15.279302192905131,10,10,0
VP_003,tsst,Talk,66.30434782608695,63.06521739130435,3.239130434782609,11.326086956521738,17.304463612491126,46,46,0
VP_003,tsst,Math,69.67441860465117,69.62790697674419,0.046511627906976744,10.046511627906977,15.064782697431898,43,43,0
VP_003,tsst,Pause_5,96.54545454545455,109.36363636363636,-12.818181818181818,13.727272727272727,13.58808095233426,11,11,0
VP_003,ftsst,Prep,112.11764705882354,96.0,16.09090909090909,16.21212121212121,13.892041838795555,34,33,1
VP_003,ftsst,Pause_1,97.91666666666667,87.25,10.666666666666666,12.166666666666666,11.751998698429253,12,12,0
VP_003,ftsst,Talk,98.55,87.025,11.525,22.725,21.081810504331006,40,40,0
VP_003,ftsst,Math,102.67567567567568,99.27027027027027,3.4054054054054053,25.135135135135137,22.64309751774763,37,37,0
VP_003,ftsst,Pause_5,118.0,109.9,8.1,10.7,9.120935694806914,10,10,0
VP_004,tsst,Prep,116.1470588235294,87.97058823529412,28.176470588235293,30.11764705882353,24.79952693465501,34,34,0
VP_004,tsst,Pause_1,133.6,123.2,10.4,13.4,9.983058662086739,10,10,0
VP_004,tsst,Talk,125.52272727272727,102.02325581395348,23.441860465116278,45.76744186046512,35.13170219441897,44,43,1
VP_004,tsst,Math,119.16216216216216,90.72222222222223,28.333333333333332,28.333333333333332,22.221906229739353,37,36,1
VP_004,tsst,Pause_5,134.6,119.0,15.6,25.6,19.391800214792518,10,10,0
VP_004,ftsst,Prep,102.08333333333333,89.05555555555556,13.027777777777779,15.86111111111111,14.969063338404444,36,36,0
VP_004,ftsst,Pause_1,103.0,82.0,21.0,33.333333333333336,32.07235182495125,12,12,0
VP_004,ftsst,Talk,123.29411764705883,119.55882352941177,3.735294117647059,12.029411764705882,10.170954326864402,34,34,0
VP_004,ftsst,Math,123.42857142857143,107.22857142857143,16.2,22.885714285714286,18.4147840961197,35,35,0
VP_004,ftsst,Pause_5,136.1,119.3,16.8,18.0,12.989158294856257,10,10,0
VP_005,tsst,Prep,65.25490196078431,46.411764705882355,18.84313725490196,20.529411764705884,31.435182770389986,51,51,0
VP_005,tsst,Pause_1,54.705882352941174,36.0,18.705882352941178,21.176470588235293,39.824997888185436,17,17,0
VP_005,tsst,Talk,69.94117647058823,56.333333333333336,13.607843137254902,24.313725490196077,32.89488411365429,51,51,0
VP_005,tsst,Math,64.71428571428571,47.357142857142854,17.357142857142858,24.035714285714285,35.48435504610923,56,56,0
VP_005,tsst,Pause_5,101.06666666666666,54.6,46.46666666666667,47.53333333333333,47.020584367187666,15,15,0
VP_005,ftsst,Prep,65.22727272727273,48.72727272727273,16.5,17.363636363636363,24.40780636087641,44,44,0
VP_005,ftsst,Pause_1,74.33333333333333,66.27777777777777,8.055555555555555,13.722222222222221,18.244226578346062,18,18,0
VP_005,ftsst,Talk,83.15094339622641,71.28846153846153,11.73076923076923,20.03846153846154,22.708080692175308,53,52,1
VP_005,ftsst,Math,111.10204081632654,105.46938775510205,5.63265306122449,16.408163265306122,15.982573492704647,49,49,0
VP_005,ftsst,Pause_5,133.07142857142858,128.92857142857142,4.142857142857143,6.714285714285714,5.069216531000692,14,14,0
VP_020,tsst,Prep,78.46938775510205,50.775510204081634,27.693877551020407,37.326530612244895,48.1940900274107,49,49,0
VP_020,tsst,Pause_1,82.78571428571429,43.5,29.0,29.0,38.61164440035246,14,10,4
VP_020,tsst,Talk,73.53061224489795,58.770833333333336,14.666666666666666,18.041666666666668,23.084090593728835,49,48,1
VP_020,tsst,Math,94.43478260869566,67.65217391304348,26.782608695652176,37.608695652173914,38.645850616366005,46,46,0
VP_020,tsst,Pause_5,112.83333333333333,65.25,47.583333333333336,51.75,45.766928727171546,12,12,0
VP_020,ftsst,Prep,66.0,53.11904761904762,12.738095238095237,17.88095238095238,24.029079676978103,43,42,1
VP_020,ftsst,Pause_1,63.0,45.111111111111114,15.555555555555555,15.555555555555555,23.546300610640046,16,9,7
VP_020,ftsst,Talk,82.95121951219512,55.666666666666664,26.846153846153847,29.666666666666668,33.22242836868179,41,39,2
VP_020,ftsst,Math,76.86046511627907,52.883720930232556,23.976744186046513,30.53488372093023,35.25898644140585,43,43,0
VP_020,ftsst,Pause_5,113.0,70.08333333333333,42.916666666666664,42.916666666666664,38.03107009854513,12,12,0
VP_022,tsst,Prep,104.70588235294117,82.55882352941177,22.147058823529413,25.735294117647058,23.605511188562748,34,34,0
VP_022,tsst,Pause_1,92.25,77.83333333333333,14.416666666666666,16.75,17.044081948729083,12,12,0
VP_022,tsst,Talk,113.87179487179488,109.66666666666667,4.205128205128205,14.35897435897436,12.29502644168023,39,39,0
VP_022,tsst,Math,112.0,91.22222222222223,20.77777777777778,39.55555555555556,35.74119986650945,36,36,0
VP_022,tsst,Pause_5,105.18181818181819,95.72727272727273,9.454545454545455,36.36363636363637,36.5280074298038,11,11,0
VP_022,ftsst,Prep,104.68571428571428,82.2,22.485714285714284,26.771428571428572,25.422186764188098,35,35,0
VP_022,ftsst,Pause_1,86.0909090909091,84.27272727272727,1.8181818181818181,22.0,28.27893114259184,11,11,0
VP_022,ftsst,Talk,100.62857142857143,86.02857142857142,14.6,23.8,22.725161490030196,35,35,0
VP_022,ftsst,Math,108.8,84.14285714285714,24.65714285714286,25.4,22.034124346730703,35,35,0
VP_022,ftsst,Pause_5,103.36363636363636,83.81818181818181,19.545454545454547,20.818181818181817,20.446741334680695,11,11,0
VP_023,tsst,Prep,86.93548387096774,82.38709677419355,4.548387096774194,5.064516129032258,5.82703599632075,31,31,0
VP_023,tsst,Pause_1,86.55555555555556,76.0,10.555555555555555,10.555555555555555,12.290273992256573,9,9,0
VP_023,tsst,Talk,93.9090909090909,94.6590909090909,-0.75,14.068181818181818,13.190105793663218,44,44,0
VP_023,tsst,Math,84.19565217391305,82.6086956521739,1.5869565217391304,4.891304347826087,6.111698909540103,46,46,0
VP_023,tsst,Pause_5,92.7,88.88888888888889,3.2222222222222223,5.0,6.1334532515620355,10,9,1
VP_023,ftsst,Prep,80.0,57.21621621621622,22.783783783783782,23.37837837837838,29.907570548926305,37,37,0
VP_023,ftsst,Pause_1,83.4,75.8,7.6,10.2,12.76129058161395,10,10,0
VP_023,ftsst,Talk,91.9,91.7948717948718,0.4358974358974359,13.717948717948717,14.732248285655551,40,39,1
VP_023,ftsst,Math,85.58333333333333,99.69444444444444,-14.11111111111111,20.444444444444443,26.376833456453312,36,36,0
VP_023,ftsst,Pause_5,93.9,86.7,7.2,9.2,10.153063038814254,10,10,0
VP_026,tsst,Prep,87.03508771929825,90.2280701754386,-3.192982456140351,4.807017543859649,5.595615549666794,57,57,0
VP_026,tsst,Pause_1,82.10526315789474,87.10526315789474,-5.0,6.157894736842105,7.502022145666012,19,19,0
VP_026,tsst,Talk,80.8125,89.21875,-8.40625,11.875,14.707232948284698,64,64,0
VP_026,tsst,Math,87.33898305084746,91.56896551724138,-4.068965517241379,6.344827586206897,7.322776602085137,59,58,1
VP_026,tsst,Pause_5,83.47058823529412,84.58823529411765,-1.1176470588235294,3.3529411764705883,4.035680665376017,17,17,0
VP_026,ftsst,Prep,86.12698412698413,89.54838709677419,-3.338709677419355,6.306451612903226,7.19294164536578,63,62,1
VP_026,ftsst,Pause_1,82.7,87.75,-5.05,5.05,6.185667301683473,20,20,0
VP_026,ftsst,Talk,77.65671641791045,89.02985074626865,-11.373134328358208,11.64179104477612,16.290242329350086,67,67,0
VP_026,ftsst,Math,83.390625,95.0625,-11.671875,13.234375,16.542746027140183,64,64,0
VP_026,ftsst,Pause_5,92.6875,98.5625,-5.875,10.375,11.42774413210677,16,16,0
VP_027,tsst,Prep,115.38461538461539,124.07692307692308,-8.692307692307692,16.333333333333332,14.70065486018594,39,39,0
VP_027,tsst,Pause_1,88.9090909090909,91.9090909090909,-3.0,7.0,8.016139450479487,11,11,0
VP_027,tsst,Talk,108.45454545454545,112.97674418604652,-4.813953488372093,18.069767441860463,21.90304246373295,44,43,1
VP_027,tsst,Math,108.70731707317073,110.41463414634147,-1.7073170731707317,6.926829268292683,7.701438198125112,41,41,0
VP_027,tsst,Pause_5,109.27272727272727,108.0909090909091,1.1818181818181819,6.454545454545454,5.974737665249015,11,11,0
VP_027,ftsst,Prep,107.1,100.7,6.4,8.4,7.9229393073185035,40,40,0
VP_027,ftsst,Pause_1,100.91666666666667,95.16666666666667,5.75,5.75,5.547204920278754,12,12,0
VP_027,ftsst,Talk,102.44186046511628,103.02325581395348,-0.5813953488372093,21.930232558139537,21.40707672598112,43,43,0
VP_027,ftsst,Math,109.43589743589743,110.51282051282051,-1.0769230769230769,6.512820512820513,6.2324126957904,39,39,0
VP_027,ftsst,Pause_5,111.5,99.6,11.9,13.9,12.447446062149544,10,10,0
VP_028,tsst,Prep,68.86792452830188,21.477272727272727,47.43181818181818,51.61363636363637,73.63722734781082,53,44,9
VP_028,tsst,Pause_1,53.73684210526316,30.692307692307693,23.384615384615383,27.384615384615383,54.51123961024011,19,13,6
VP_028,tsst,Talk,63.28358208955224,43.96825396825397,19.761904761904763,26.365079365079364,39.91208844566901,67,63,4
VP_028,tsst,Math,89.67605633802818,53.056338028169016,36.61971830985915,43.267605633802816,48.5594032547642,71,71,0
VP_028,tsst,Pause_5,98.3,66.5,31.8,41.8,43.32802298093132,20,20,0
VP_028,ftsst,Prep,67.0,37.8936170212766,29.638297872340427,29.893617021276597,41.191133587102705,48,47,1
VP_028,ftsst,Pause_1,65.95,17.235294117647058,42.05882352941177,42.05882352941177,67.91037798509691,20,17,3
VP_028,ftsst,Talk,81.81967213114754,58.61818181818182,25.254545454545454,38.30909090909091,46.27945260984003,61,55,6
VP_028,ftsst,Math,78.50769230769231,59.24561403508772,18.87719298245614,32.94736842105263,40.76261995413268,65,57,8
VP_028,ftsst,Pause_5,97.88888888888889,52.05555555555556,45.833333333333336,48.94444444444444,48.758199491784175,18,18,0
VP_029,tsst,Prep,86.52631578947368,34.9375,51.59375,57.03125,64.81999316177912,38,32,6
VP_029,tsst,Pause_1,78.9375,49.357142857142854,29.357142857142858,31.785714285714285,39.65365894166563,16,14,2
VP_029,tsst,Talk,101.54761904761905,83.39024390243902,18.5609756097561,29.195121951219512,27.29234112456566,42,41,1
VP_029,tsst,Math,103.39473684210526,97.23684210526316,6.157894736842105,20.526315789473685,18.283378159516218,38,38,0
VP_029,tsst,Pause_5,98.9090909090909,72.54545454545455,26.363636363636363,27.09090909090909,26.852113508752442,11,11,0
VP_029,ftsst,Prep,101.22222222222223,45.06666666666667,52.13333333333333,54.4,50.88179242069038,36,30,6
VP_029,ftsst,Pause_1,103.84615384615384,79.54545454545455,21.0,25.90909090909091,23.86930952601392,13,11,2
VP_029,ftsst,Talk,108.44444444444444,74.11111111111111,34.333333333333336,38.666666666666664,33.84329462435404,36,36,0
VP_029,ftsst,Math,107.625,92.66666666666667,15.58974358974359,23.692307692307693,22.007852237966155,40,39,1
VP_029,ftsst,Pause_5,130.0909090909091,117.72727272727273,12.363636363636363,21.818181818181817,17.3337534023476,11,11,0
VP_030,tsst,Prep,55.62903225806452,71.5,-15.870967741935484,15.870967741935484,28.857340321442305,62,62,0
VP_030,tsst,Pause_1,57.130434782608695,73.65217391304348,-16.52173913043478,16.52173913043478,29.108975570903187,23,23,0
VP_030,tsst,Talk,63.10294117647059,72.21212121212122,-8.984848484848484,16.348484848484848,25.938111418065105,68,66,2
VP_030,tsst,Math,64.78333333333333,81.21666666666667,-16.433333333333334,17.766666666666666,27.532345554671995,60,60,0
VP_030,tsst,Pause_5,65.42105263157895,82.3125,-17.5,17.5,27.029323699294526,19,16,3
VP_030,ftsst,Prep,66.76923076923077,44.30769230769231,22.46153846153846,25.53846153846154,37.3352134932436,39,39,0
VP_030,ftsst,Pause_1,65.4375,79.1875,-13.75,13.75,21.068557289062085,16,16,0
VP_030,ftsst,Talk,84.82608695652173,85.5111111111111,-0.37777777777777777,16.91111111111111,20.074095816063622,46,45,1
VP_030,ftsst,Math,86.17647058823529,78.76470588235294,7.411764705882353,17.49019607843137,19.96664287498595,51,51,0
VP_030,ftsst,Pause_5,88.73333333333333,92.2,-3.466666666666667,16.0,18.255345502392654,15,15,0
VP_031,tsst,Prep,77.5,67.53703703703704,9.962962962962964,10.962962962962964,14.31214241833201,54,54,0
VP_031,tsst,Pause_1,80.75,79.15,1.6,6.5,8.323014157483504,20,20,0
VP_031,tsst,Talk,84.55,86.41666666666667,-1.8666666666666667,7.166666666666667,8.980879272603971,60,60,0
VP_031,tsst,Math,72.73134328358209,82.02985074626865,-9.298507462686567,9.776119402985074,13.756338598840985,67,67,0
VP_031,tsst,Pause_5,91.875,89.9375,1.9375,3.3125,3.5826666685877444,16,16,0
VP_031,ftsst,Prep,89.38888888888889,53.666666666666664,35.121212121212125,35.36363636363637,39.04354142141551,36,33,3
VP_031,ftsst,Pause_1,77.15384615384616,46.53846153846154,30.615384615384617,31.692307692307693,40.653575409056515,13,13,0
VP_031,ftsst,Talk,92.1842105263158,56.10526315789474,36.078947368421055,36.23684210526316,37.49672799977484,38,38,0
VP_031,ftsst,Math,79.22727272727273,64.0909090909091,15.136363636363637,18.181818181818183,23.218153443152676,44,44,0
VP_031,ftsst,Pause_5,94.9090909090909,72.18181818181819,22.727272727272727,22.727272727272727,22.411876818909516,11,11,0
VP_032,tsst,Prep,103.42424242424242,59.18181818181818,44.24242424242424,46.60606060606061,41.87267000720473,33,33,0
VP_032,tsst,Pause_1,85.77777777777777,79.66666666666667,6.111111111111111,6.111111111111111,7.006924393562509,9,9,0
VP_032,tsst,Talk,126.38636363636364,105.5,20.886363636363637,22.477272727272727,16.758038329120918,44,44,0
VP_032,tsst,Math,89.37209302325581,83.02325581395348,6.348837209302325,7.744186046511628,8.005477747005843,43,43,0
VP_032,tsst,Pause_5,150.36363636363637,143.45454545454547,6.909090909090909,8.363636363636363,5.422394471569199,11,11,0
VP_032,ftsst,Prep,134.71428571428572,97.07142857142857,37.642857142857146,37.642857142857146,27.204579597924482,28,28,0
VP_032,ftsst,Pause_1,92.0909090909091,102.9090909090909,-10.818181818181818,21.90909090909091,24.30361314747428,11,11,0
VP_032,ftsst,Talk,140.57142857142858,126.88571428571429,13.685714285714285,18.314285714285713,13.26165160954415,35,35,0
VP_032,ftsst,Math,139.275,142.5,-3.225,9.725,8.319947000114697,40,40,0
VP_032,ftsst,Pause_5,152.5,149.5,3.0,3.3333333333333335,2.2084871089462075,12,12,0
