participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,102.96153846153847,-29.384615384615383,29.384615384615383,42.9991066017955,0.6258930901798939,52,52,0
VP_001,tsst,Pause_1,72.75,106.25,-33.5,33.5,55.45541249991178,-0.2351436453699882,12,12,0
VP_001,tsst,Talk,85.74468085106383,114.17021276595744,-28.425531914893618,28.595744680851062,38.26280105154476,0.2182563449854066,47,47,0
VP_001,tsst,Math,69.52727272727273,103.94545454545455,-34.41818181818182,34.41818181818182,51.567435395741036,0.029879411697599362,55,55,0
VP_001,tsst,Pause_5,70.15384615384616,103.0,-32.84615384615385,32.84615384615385,50.93380027544467,0.622554911728716,13,13,0
VP_001,ftsst,Prep,75.32,110.64,-35.32,35.32,54.780889060422425,0.3718566196233663,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,110.86666666666666,-51.2,51.2,90.28134412802319,0.2563009057424954,15,15,0
VP_001,ftsst,Talk,91.6590909090909,117.36363636363636,-25.704545454545453,26.022727272727273,37.1089981401644,0.4957154698955785,44,44,0
VP_001,ftsst,Math,88.95121951219512,115.73170731707317,-26.78048780487805,28.0,43.85267114356602,0.1003047791307391,41,41,0
VP_001,ftsst,Pause_5,105.38461538461539,119.0,-13.615384615384615,13.615384615384615,16.528191970001078,0.43805975513970996,13,13,0
VP_002,tsst,Prep,79.53571428571429,113.89285714285714,-34.357142857142854,34.357142857142854,44.72031416903015,-0.01720623992984592,56,56,0
VP_002,tsst,Pause_1,78.05,112.35,-34.3,34.3,48.976529804243754,0.11871929853882869,20,20,0
VP_002,tsst,Talk,71.22727272727273,108.98484848484848,-37.75757575757576,37.75757575757576,56.1547936890863,0.03461180062402009,66,66,0
VP_002,tsst,Math,79.18181818181819,112.86363636363636,-33.68181818181818,33.68181818181818,43.93329955768196,0.32521983040603847,66,66,0
VP_002,tsst,Pause_5,112.38888888888889,119.0,-6.611111111111111,9.166666666666666,9.570180297787328,0.3192140448153977,18,18,0
VP_002,ftsst,Prep,95.02380952380952,113.66666666666667,-18.642857142857142,18.642857142857142,22.34816485811382,0.5449563109902616,42,42,0
VP_002,ftsst,Pause_1,61.95,99.7,-37.75,37.75,61.273942664840796,0.2133479461202108,20,20,0
VP_002,ftsst,Talk,85.0,118.62745098039215,-33.627450980392155,33.627450980392155,46.45656560531706,0.22000993425048745,51,51,0
VP_002,ftsst,Math,67.6734693877551,109.0,-41.326530612244895,41.326530612244895,65.8622172086374,-0.24537631843617366,49,49,0
VP_002,ftsst,Pause_5,116.58823529411765,119.94117647058823,-3.3529411764705883,3.7058823529411766,3.229365031467378,0.5113524462427436,17,17,0
