,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,563,567,665,634,590.0,590.0,101.69491525423729,101.69491525423729,102,67,102.0,67.0,,,-35.0,35.0,52.23880597014925
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1153,1156,1247,1206,581.0,581.0,103.27022375215147,103.27022375215147,94,50,94.0,50.0,,,-44.0,44.0,88.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1734,1735,1836,1811,557.0,557.0,107.71992818671453,107.71992818671453,102,76,102.0,76.0,,,-26.0,26.0,34.21052631578947
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2291,2291,2396,2382,546.0,546.0,109.89010989010988,109.89010989010988,105,91,105.0,91.0,,,-14.0,14.0,15.384615384615385
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2837,2846,2941,2926,541.0,541.0,110.90573012939001,110.90573012939001,104,80,104.0,80.0,,,-24.0,24.0,30.0
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3378,3378,3481,3456,543.0,543.0,110.49723756906077,110.49723756906077,103,78,103.0,78.0,,,-25.0,25.0,32.05128205128205
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3921,3923,4023,3996,546.0,546.0,109.89010989010988,109.89010989010988,102,73,102.0,73.0,,,-29.0,29.0,39.726027397260275
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4467,4469,4568,4542,550.0,550.0,109.09090909090908,109.09090909090908,101,73,101.0,73.0,,,-28.0,28.0,38.35616438356164
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5017,5022,5121,5102,537.0,537.0,111.73184357541899,111.73184357541899,104,80,104.0,80.0,,,-24.0,24.0,30.0
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5554,5553,5660,5637,540.0,540.0,111.1111111111111,111.1111111111111,106,84,106.0,84.0,,,-22.0,22.0,26.190476190476193
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6094,6094,6199,6183,541.0,541.0,110.90573012939001,110.90573012939001,105,89,105.0,89.0,,,-16.0,16.0,17.97752808988764
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6635,6636,6739,6709,552.0,552.0,108.69565217391303,108.69565217391303,104,73,104.0,73.0,,,-31.0,31.0,42.465753424657535
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7187,7190,7290,7256,569.0,569.0,105.4481546572935,105.4481546572935,103,66,103.0,66.0,,,-37.0,37.0,56.060606060606055
