,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,561,567,616,634,590.0,590.0,101.69491525423729,101.69491525423729,55,67,55.0,67.0,,,12.0,12.0,17.91044776119403
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1151,1156,1197,1206,581.0,581.0,103.27022375215147,103.27022375215147,46,50,46.0,50.0,,,4.0,4.0,8.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1732,1735,1780,1811,557.0,557.0,107.71992818671453,107.71992818671453,48,76,48.0,76.0,,,28.0,28.0,36.84210526315789
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2289,2291,2339,2382,546.0,546.0,109.89010989010988,109.89010989010988,50,91,50.0,91.0,,,41.0,41.0,45.05494505494506
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2835,2846,2924,2926,541.0,541.0,110.90573012939001,110.90573012939001,89,80,89.0,80.0,,,-9.0,9.0,11.25
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3376,3378,3441,3456,543.0,543.0,110.49723756906077,110.49723756906077,65,78,65.0,78.0,,,13.0,13.0,16.666666666666664
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3919,3923,3968,3996,546.0,546.0,109.89010989010988,109.89010989010988,49,73,49.0,73.0,,,24.0,24.0,32.87671232876712
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4465,4469,4510,4542,550.0,550.0,109.09090909090908,109.09090909090908,45,73,45.0,73.0,,,28.0,28.0,38.35616438356164
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5015,5022,5070,5102,537.0,537.0,111.73184357541899,111.73184357541899,55,80,55.0,80.0,,,25.0,25.0,31.25
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5552,5553,5641,5637,540.0,540.0,111.1111111111111,111.1111111111111,89,84,89.0,84.0,,,-5.0,5.0,5.952380952380952
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6092,6094,6182,6183,541.0,541.0,110.90573012939001,110.90573012939001,90,89,90.0,89.0,,,-1.0,1.0,1.1235955056179776
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6633,6636,6702,6709,552.0,552.0,108.69565217391303,108.69565217391303,69,73,69.0,73.0,,,4.0,4.0,5.47945205479452
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7185,7190,7249,7256,569.0,569.0,105.4481546572935,105.4481546572935,64,66,64.0,66.0,,,2.0,2.0,3.0303030303030303
