participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,112.46153846153847,-38.88461538461539,38.88461538461539,56.25414706220624,52,52,0
VP_001,tsst,Pause_1,72.75,113.41666666666667,-40.666666666666664,40.666666666666664,65.97256133174265,12,12,0
VP_001,tsst,Talk,85.74468085106383,113.0,-27.25531914893617,31.72340425531915,40.92326167617694,47,47,0
VP_001,tsst,Math,69.52727272727273,109.2,-39.67272727272727,39.67272727272727,59.192543888268965,55,55,0
VP_001,tsst,Pause_5,70.15384615384616,109.53846153846153,-39.38461538461539,39.38461538461539,59.54939452415002,13,13,0
VP_001,ftsst,Prep,75.32,118.22,-42.9,42.9,65.42519442132841,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,115.2,-55.53333333333333,55.53333333333333,98.06662872029352,15,15,0
VP_001,ftsst,Talk,91.6590909090909,110.61363636363636,-18.954545454545453,28.545454545454547,37.125212734884244,44,44,0
VP_001,ftsst,Math,88.95121951219512,123.07317073170732,-34.1219512195122,34.41463414634146,51.449760306533626,41,41,0
VP_001,ftsst,Pause_5,105.38461538461539,134.6153846153846,-29.23076923076923,29.23076923076923,32.178614349266304,13,13,0
VP_002,tsst,Prep,79.53571428571429,116.78571428571429,-37.25,37.25,48.20597699552109,56,56,0
VP_002,tsst,Pause_1,78.05,126.3,-48.25,48.25,67.70181974720033,20,20,0
VP_002,tsst,Talk,71.22727272727273,109.2,-38.083333333333336,39.45,58.93154455165942,66,60,6
VP_002,tsst,Math,79.18181818181819,127.140625,-47.875,49.09375,63.48293592160243,66,64,2
VP_002,tsst,Pause_5,112.38888888888889,146.0,-33.611111111111114,33.611111111111114,31.891907190679735,18,18,0
VP_002,ftsst,Prep,95.02380952380952,123.28571428571429,-28.261904761904763,28.261904761904763,32.71899912472549,42,42,0
VP_002,ftsst,Pause_1,61.95,89.85,-27.9,27.9,45.08855888851372,20,20,0
VP_002,ftsst,Talk,85.0,129.86274509803923,-44.86274509803921,44.86274509803921,60.02591434606432,51,51,0
VP_002,ftsst,Math,67.6734693877551,101.38775510204081,-33.714285714285715,33.714285714285715,52.63086724678444,49,49,0
VP_002,ftsst,Pause_5,116.58823529411765,142.52941176470588,-25.941176470588236,25.941176470588236,22.304030537618868,17,17,0
VP_003,tsst,Prep,67.275,124.2,-56.925,56.925,85.15286305163995,40,40,0
VP_003,tsst,Pause_1,66.3,130.1,-63.8,63.8,96.50369238604534,10,10,0
VP_003,tsst,Talk,66.30434782608695,108.43478260869566,-42.130434782608695,42.130434782608695,64.99375714426085,46,46,0
VP_003,tsst,Math,69.67441860465117,113.34883720930233,-43.674418604651166,43.674418604651166,65.81972199674641,43,43,0
