participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,111.5576923076923,-37.98076923076923,38.05769230769231,54.60030090836009,0.32399292529054446,52,52,0
VP_001,tsst,Pause_1,72.75,111.0,-38.25,38.25,61.41281290406969,0.454912624397793,12,12,0
VP_001,tsst,Talk,85.74468085106383,112.21951219512195,-24.146341463414632,27.463414634146343,34.087886048293285,0.30523941590470804,47,41,6
VP_001,tsst,Math,69.52727272727273,105.30909090909091,-35.78181818181818,35.78181818181818,53.42756236492297,0.44089425014216554,55,55,0
VP_001,tsst,Pause_5,70.15384615384616,109.53846153846153,-39.38461538461539,39.38461538461539,59.54939452415002,0.5276062953733731,13,13,0
VP_001,ftsst,Prep,75.32,117.04,-41.72,41.72,64.09844042406078,0.1977543044943664,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,115.2,-55.53333333333333,55.53333333333333,98.06662872029352,-0.43192978152333006,15,15,0
VP_001,ftsst,Talk,91.6590909090909,101.45714285714286,-8.2,41.628571428571426,49.661054051111094,-0.25384127427643693,44,35,9
VP_001,ftsst,Math,88.95121951219512,114.84210526315789,-25.55263157894737,37.81578947368421,53.737648824947804,0.025955544708521325,41,38,3
VP_001,ftsst,Pause_5,105.38461538461539,134.15384615384616,-28.76923076923077,28.76923076923077,31.78073636518142,-0.13330501991435936,13,13,0
VP_002,tsst,Prep,79.53571428571429,109.58181818181818,-30.254545454545454,36.472727272727276,47.14227237872247,0.2054999921486281,56,55,1
VP_002,tsst,Pause_1,78.05,126.3,-48.25,48.25,67.70181974720033,-0.0366841016609518,20,20,0
VP_002,tsst,Talk,71.22727272727273,109.48148148148148,-38.129629629629626,38.129629629629626,56.95536163406145,-0.1686063721482521,66,54,12
VP_002,tsst,Math,79.18181818181819,123.91379310344827,-44.5,44.5,57.49513826340801,0.2733750797389902,66,58,8
