participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,107.4423076923077,-33.86538461538461,33.86538461538461,48.796985448295565,52,52,0
VP_001,tsst,Pause_1,72.75,106.16666666666667,-33.416666666666664,33.416666666666664,54.009084848214826,12,12,0
VP_001,tsst,Talk,85.74468085106383,115.34042553191489,-29.595744680851062,30.574468085106382,39.88301282888276,47,47,0
VP_001,tsst,Math,69.52727272727273,105.21818181818182,-35.69090909090909,35.69090909090909,53.38019436618368,55,55,0
VP_001,tsst,Pause_5,70.15384615384616,99.0,-28.846153846153847,30.384615384615383,46.991308854313765,13,13,0
VP_001,ftsst,Prep,75.32,116.44,-41.12,41.12,62.28760922674887,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,105.93333333333334,-46.266666666666666,46.266666666666666,82.29297451438579,15,15,0
VP_001,ftsst,Talk,91.6590909090909,111.95454545454545,-20.295454545454547,27.568181818181817,36.75057471165412,44,44,0
VP_001,ftsst,Math,88.95121951219512,112.65853658536585,-23.70731707317073,32.58536585365854,47.2024778739006,41,41,0
VP_001,ftsst,Pause_5,105.38461538461539,124.92307692307692,-19.53846153846154,19.53846153846154,21.71145280939779,13,13,0
VP_002,tsst,Prep,79.53571428571429,99.625,-20.089285714285715,20.553571428571427,26.822814436829624,56,56,0
VP_002,tsst,Pause_1,78.05,116.9,-38.85,38.85,54.0044524965532,20,20,0
VP_002,tsst,Talk,71.22727272727273,105.84848484848484,-34.621212121212125,34.621212121212125,51.33598841549898,66,66,0
VP_002,tsst,Math,79.18181818181819,109.81818181818181,-30.636363636363637,30.87878787878788,40.08740724913755,66,66,0
VP_002,tsst,Pause_5,112.38888888888889,132.0,-19.61111111111111,24.833333333333332,23.78410592433857,18,18,0
VP_002,ftsst,Prep,95.02380952380952,114.45238095238095,-19.428571428571427,20.571428571428573,23.85616767068894,42,42,0
VP_002,ftsst,Pause_1,61.95,94.5,-32.55,32.55,52.66207655012388,20,20,0
VP_002,ftsst,Talk,85.0,114.90196078431373,-29.901960784313726,35.94117647058823,48.44951649555878,51,51,0
VP_002,ftsst,Math,67.6734693877551,99.61224489795919,-31.93877551020408,33.775510204081634,53.5153243818141,49,49,0
VP_002,ftsst,Pause_5,116.58823529411765,118.47058823529412,-1.8823529411764706,14.823529411764707,12.747941656960078,17,17,0
VP_003,tsst,Prep,67.275,113.9,-46.625,46.625,69.64833780846237,40,40,0
VP_003,tsst,Pause_1,66.3,116.1,-49.8,49.8,75.41615349519762,10,10,0
VP_003,tsst,Talk,66.30434782608695,109.45652173913044,-43.15217391304348,43.15217391304348,66.46955182913726,46,46,0
VP_003,tsst,Math,69.67441860465117,111.97674418604652,-42.30232558139535,42.30232558139535,63.39532125286981,43,43,0
VP_003,tsst,Pause_5,96.54545454545455,130.0909090909091,-33.54545454545455,33.54545454545455,37.30356410663685,11,11,0
VP_003,ftsst,Prep,112.11764705882354,135.76470588235293,-23.647058823529413,23.647058823529413,22.441754621664057,34,34,0
VP_003,ftsst,Pause_1,97.91666666666667,130.16666666666666,-32.25,32.25,36.24277329071745,12,12,0
VP_003,ftsst,Talk,98.55,131.525,-32.975,32.975,35.50565247473848,40,40,0
VP_003,ftsst,Math,102.67567567567568,136.33333333333334,-33.94444444444444,34.22222222222222,39.24014469067694,37,36,1
VP_003,ftsst,Pause_5,118.0,141.9,-23.9,23.9,21.140137225940382,10,10,0
VP_004,tsst,Prep,116.1470588235294,135.58823529411765,-19.441176470588236,21.147058823529413,21.050893988280876,34,34,0
VP_004,tsst,Pause_1,133.6,144.6,-11.0,11.0,8.250530132559778,10,10,0
VP_004,tsst,Talk,125.52272727272727,132.58536585365854,-7.048780487804878,22.51219512195122,18.774465857335635,44,41,3
VP_004,tsst,Math,119.16216216216216,132.8918918918919,-13.72972972972973,19.56756756756757,18.81062598019563,37,37,0
VP_004,tsst,Pause_5,134.6,143.5,-8.9,8.9,7.015870002720201,10,10,0
VP_004,ftsst,Prep,102.08333333333333,132.80555555555554,-30.72222222222222,31.88888888888889,33.36923376814548,36,36,0
VP_004,ftsst,Pause_1,103.0,130.33333333333334,-27.333333333333332,30.833333333333332,34.759033671776315,12,12,0
VP_004,ftsst,Talk,123.29411764705883,151.91176470588235,-28.61764705882353,28.61764705882353,23.643923522919522,34,34,0
VP_004,ftsst,Math,123.42857142857143,141.57142857142858,-18.142857142857142,19.514285714285716,19.13115762642417,35,35,0
VP_004,ftsst,Pause_5,136.1,145.7,-9.6,16.4,12.375583704704372,10,10,0
VP_005,tsst,Prep,65.25490196078431,92.50980392156863,-27.254901960784313,27.254901960784313,46.243367055025864,51,51,0
VP_005,tsst,Pause_1,54.705882352941174,85.58823529411765,-30.88235294117647,30.88235294117647,62.147528648003984,17,17,0
VP_005,tsst,Talk,69.94117647058823,96.6470588235294,-26.705882352941178,31.92156862745098,57.266940034238075,51,51,0
VP_005,tsst,Math,64.71428571428571,95.94642857142857,-31.232142857142858,34.482142857142854,64.18671937865115,56,56,0
VP_005,tsst,Pause_5,101.06666666666666,103.0,-1.9333333333333333,15.8,15.667761654709185,15,15,0
VP_005,ftsst,Prep,65.22727272727273,103.43181818181819,-38.20454545454545,41.11363636363637,69.56573135673074,44,44,0
VP_005,ftsst,Pause_1,74.33333333333333,99.27777777777777,-24.944444444444443,24.944444444444443,34.71691081422875,18,18,0
VP_005,ftsst,Talk,83.15094339622641,112.09433962264151,-28.943396226415093,33.58490566037736,48.849567577557686,53,53,0
VP_005,ftsst,Math,111.10204081632654,130.0204081632653,-18.918367346938776,23.408163265306122,23.96070807944702,49,49,0
VP_005,ftsst,Pause_5,133.07142857142858,144.78571428571428,-11.714285714285714,11.714285714285714,8.85324268794657,14,14,0
VP_020,tsst,Prep,78.46938775510205,94.33333333333333,-16.395833333333332,24.479166666666668,39.018717759335445,49,48,1
VP_020,tsst,Pause_1,82.78571428571429,100.5,-28.0,29.2,46.75653733488819,14,10,4
VP_020,tsst,Talk,73.53061224489795,104.39583333333333,-30.958333333333332,39.0,68.60086165044446,49,48,1
VP_020,tsst,Math,94.43478260869566,115.55555555555556,-21.666666666666668,24.11111111111111,34.63532354086598,46,45,1
VP_020,tsst,Pause_5,112.83333333333333,127.41666666666667,-14.583333333333334,14.583333333333334,12.999118237249972,12,12,0
VP_020,ftsst,Prep,66.0,99.62790697674419,-33.627906976744185,38.883720930232556,73.5143122481831,43,43,0
VP_020,ftsst,Pause_1,63.0,99.77777777777777,-39.111111111111114,39.111111111111114,72.13624483070974,16,9,7
VP_020,ftsst,Talk,82.95121951219512,111.33333333333333,-28.82051282051282,31.641025641025642,49.114165310553894,41,39,2
VP_020,ftsst,Math,76.86046511627907,116.65116279069767,-39.7906976744186,40.395348837209305,69.81825105082373,43,43,0
VP_020,ftsst,Pause_5,113.0,135.83333333333334,-22.833333333333332,22.833333333333332,21.334934225808663,12,12,0
VP_022,tsst,Prep,104.70588235294117,135.76470588235293,-31.058823529411764,31.058823529411764,33.058383283609274,34,34,0
VP_022,tsst,Pause_1,92.25,122.58333333333333,-30.333333333333332,36.833333333333336,41.866629294850235,12,12,0
VP_022,tsst,Talk,113.87179487179488,136.94871794871796,-23.076923076923077,35.743589743589745,34.77561162677513,39,39,0
VP_022,tsst,Math,112.0,134.54285714285714,-22.085714285714285,23.114285714285714,22.054365878952794,36,35,1
VP_022,tsst,Pause_5,105.18181818181819,138.27272727272728,-33.09090909090909,33.09090909090909,33.16183500892191,11,11,0
VP_022,ftsst,Prep,104.68571428571428,138.54285714285714,-33.857142857142854,33.857142857142854,34.84647479686174,35,35,0
VP_022,ftsst,Pause_1,86.0909090909091,124.27272727272727,-38.18181818181818,39.27272727272727,54.44709200022458,11,11,0
VP_022,ftsst,Talk,100.62857142857143,129.5142857142857,-28.885714285714286,29.4,32.533777971408085,35,35,0
VP_022,ftsst,Math,108.8,136.34285714285716,-27.542857142857144,27.542857142857144,27.144549475162673,35,35,0
VP_022,ftsst,Pause_5,103.36363636363636,132.0,-28.636363636363637,28.636363636363637,30.00142101218256,11,11,0
VP_023,tsst,Prep,86.93548387096774,121.2258064516129,-34.29032258064516,34.29032258064516,39.72054290960692,31,31,0
VP_023,tsst,Pause_1,86.55555555555556,117.0,-30.444444444444443,30.444444444444443,35.27988743100341,9,9,0
VP_023,tsst,Talk,93.9090909090909,124.52272727272727,-30.613636363636363,37.25,40.70514839437188,44,44,0
VP_023,tsst,Math,84.19565217391305,111.41304347826087,-27.217391304347824,27.217391304347824,33.125656015529565,46,46,0
VP_023,tsst,Pause_5,92.7,128.3,-35.6,35.6,41.079253196568025,10,10,0
VP_023,ftsst,Prep,80.0,110.43243243243244,-30.43243243243243,30.43243243243243,39.289755067683515,37,37,0
VP_023,ftsst,Pause_1,83.4,113.9,-30.5,30.5,37.243905238484146,10,10,0
VP_023,ftsst,Talk,91.9,119.725,-27.825,31.375,37.08763230370227,40,40,0
