,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,544,567,665,634,590.0,590.0,101.69491525423729,101.69491525423729,121,67,121.0,67.0,,,-54.0,54.0,80.59701492537313
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1133,1156,1247,1206,581.0,581.0,103.27022375215147,103.27022375215147,114,50,114.0,50.0,,,-64.0,64.0,128.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1735,1735,1836,1811,557.0,557.0,107.71992818671453,107.71992818671453,101,76,101.0,76.0,,,-25.0,25.0,32.89473684210527
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2272,2291,2396,2382,546.0,546.0,109.89010989010988,109.89010989010988,124,91,124.0,91.0,,,-33.0,33.0,36.26373626373626
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2844,2846,2941,2926,541.0,541.0,110.90573012939001,110.90573012939001,97,80,97.0,80.0,,,-17.0,17.0,21.25
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3378,3378,3481,3456,543.0,543.0,110.49723756906077,110.49723756906077,103,78,103.0,78.0,,,-25.0,25.0,32.05128205128205
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3901,3923,4023,3996,546.0,546.0,109.89010989010988,109.89010989010988,122,73,122.0,73.0,,,-49.0,49.0,67.12328767123287
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4447,4469,4568,4542,550.0,550.0,109.09090909090908,109.09090909090908,121,73,121.0,73.0,,,-48.0,48.0,65.75342465753424
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,4996,5022,5121,5102,537.0,537.0,111.73184357541899,111.73184357541899,125,80,125.0,80.0,,,-45.0,45.0,56.25
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5535,5553,5660,5637,540.0,540.0,111.1111111111111,111.1111111111111,125,84,125.0,84.0,,,-41.0,41.0,48.80952380952381
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6075,6094,6199,6183,541.0,541.0,110.90573012939001,110.90573012939001,124,89,124.0,89.0,,,-35.0,35.0,39.325842696629216
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6617,6636,6739,6709,552.0,552.0,108.69565217391303,108.69565217391303,122,73,122.0,73.0,,,-49.0,49.0,67.12328767123287
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7168,7190,7290,7256,569.0,569.0,105.4481546572935,105.4481546572935,122,66,122.0,66.0,,,-56.0,56.0,84.84848484848484
