,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,569,567,619,634,590.0,590.0,101.69491525423729,101.69491525423729,50,67,50.0,67.0,,,17.0,17.0,25.37313432835821
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1159,1156,1198,1206,581.0,581.0,103.27022375215147,103.27022375215147,39,50,39.0,50.0,,,11.0,11.0,22.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1740,1735,1777,1811,557.0,557.0,107.71992818671453,107.71992818671453,37,76,37.0,76.0,,,39.0,39.0,51.31578947368421
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2297,2291,2331,2382,546.0,546.0,109.89010989010988,109.89010989010988,34,91,34.0,91.0,,,57.0,57.0,62.637362637362635
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2843,2846,2924,2926,541.0,541.0,110.90573012939001,110.90573012939001,81,80,81.0,80.0,,,-1.0,1.0,1.25
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3384,3378,3441,3456,543.0,543.0,110.49723756906077,110.49723756906077,57,78,57.0,78.0,,,21.0,21.0,26.923076923076923
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3927,3923,3971,3996,546.0,546.0,109.89010989010988,109.89010989010988,44,73,44.0,73.0,,,29.0,29.0,39.726027397260275
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4473,4469,4508,4542,550.0,550.0,109.09090909090908,109.09090909090908,35,73,35.0,73.0,,,38.0,38.0,52.054794520547944
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5023,5022,5081,5102,537.0,537.0,111.73184357541899,111.73184357541899,58,80,58.0,80.0,,,22.0,22.0,27.500000000000004
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5560,5553,5641,5637,540.0,540.0,111.1111111111111,111.1111111111111,81,84,81.0,84.0,,,3.0,3.0,3.571428571428571
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6100,6094,6182,6183,541.0,541.0,110.90573012939001,110.90573012939001,82,89,82.0,89.0,,,7.0,7.0,7.865168539325842
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6641,6636,6702,6709,552.0,552.0,108.69565217391303,108.69565217391303,61,73,61.0,73.0,,,12.0,12.0,16.43835616438356
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7193,7190,7249,7256,569.0,569.0,105.4481546572935,105.4481546572935,56,66,56.0,66.0,,,10.0,10.0,15.151515151515152
