,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,569,567,666,634,590.0,590.0,101.69491525423729,101.69491525423729,97,67,97.0,67.0,,,-30.0,30.0,44.776119402985074
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1159,1156,1239,1206,581.0,581.0,103.27022375215147,103.27022375215147,80,50,80.0,50.0,,,-30.0,30.0,60.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1740,1735,1813,1811,557.0,557.0,107.71992818671453,107.71992818671453,73,76,73.0,76.0,,,3.0,3.0,3.9473684210526314
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2297,2291,2388,2382,546.0,546.0,109.89010989010988,109.89010989010988,91,91,91.0,91.0,,,0.0,0.0,0.0
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2843,2846,2930,2926,541.0,541.0,110.90573012939001,110.90573012939001,87,80,87.0,80.0,,,-7.0,7.0,8.75
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3384,3378,3458,3456,543.0,543.0,110.49723756906077,110.49723756906077,74,78,74.0,78.0,,,4.0,4.0,5.128205128205128
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3927,3923,3994,3996,546.0,546.0,109.89010989010988,109.89010989010988,67,73,67.0,73.0,,,6.0,6.0,8.21917808219178
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4473,4469,4537,4542,550.0,550.0,109.09090909090908,109.09090909090908,64,73,64.0,73.0,,,9.0,9.0,12.32876712328767
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5023,5022,5122,5102,537.0,537.0,111.73184357541899,111.73184357541899,99,80,99.0,80.0,,,-19.0,19.0,23.75
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5560,5553,5650,5637,540.0,540.0,111.1111111111111,111.1111111111111,90,84,90.0,84.0,,,-6.0,6.0,7.142857142857142
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6100,6094,6185,6183,541.0,541.0,110.90573012939001,110.90573012939001,85,89,85.0,89.0,,,4.0,4.0,4.49438202247191
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6641,6636,6722,6709,552.0,552.0,108.69565217391303,108.69565217391303,81,73,81.0,73.0,,,-8.0,8.0,10.95890410958904
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7193,7190,7270,7256,569.0,569.0,105.4481546572935,105.4481546572935,77,66,77.0,66.0,,,-11.0,11.0,16.666666666666664
