participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,59.23076923076923,14.346153846153847,16.0,21.14303126719549,0.2915116908817727,52,52,0
VP_001,tsst,Pause_1,72.75,41.25,31.5,31.5,41.889351290468895,0.15018896801466758,12,12,0
VP_001,tsst,Talk,85.74468085106383,59.28888888888889,26.4,27.466666666666665,29.830346986922724,0.14422495740906452,47,45,2
VP_001,tsst,Math,69.52727272727273,53.29090909090909,16.236363636363638,17.0,23.615263284296386,0.07701420005384169,55,55,0
VP_001,tsst,Pause_5,70.15384615384616,37.27272727272727,28.818181818181817,28.818181818181817,42.33637174823016,-0.15332897180971614,13,11,2
VP_001,ftsst,Prep,75.32,63.18,12.14,18.02,23.675459567724698,0.3899637519255699,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,42.266666666666666,17.4,18.733333333333334,30.83416550597775,0.2239452274682298,15,15,0
VP_001,ftsst,Talk,91.6590909090909,75.23809523809524,15.928571428571429,22.11904761904762,24.67648772415856,0.6929365361133377,44,42,2
VP_001,ftsst,Math,88.95121951219512,66.3170731707317,22.634146341463413,27.51219512195122,28.946677862948114,0.21926274780037563,41,41,0
VP_001,ftsst,Pause_5,105.38461538461539,76.0,29.384615384615383,42.92307692307692,39.68782969293487,0.279878882317753,13,13,0
VP_002,tsst,Prep,79.53571428571429,36.735849056603776,42.81132075471698,43.83018867924528,54.51371230085183,-0.0675280052043962,56,53,3
VP_002,tsst,Pause_1,78.05,52.25,25.8,28.4,35.1434538512997,0.07375555953343559,20,20,0
VP_002,tsst,Talk,71.22727272727273,43.87692307692308,27.276923076923076,28.323076923076922,38.65735396966729,0.03098370948455569,66,65,1
VP_002,tsst,Math,79.18181818181819,49.03030303030303,30.151515151515152,30.757575757575758,38.54618340603344,0.15056429249408407,66,66,0
VP_002,tsst,Pause_5,112.38888888888889,63.5,48.888888888888886,50.22222222222222,43.43897445049862,-0.2622806323453335,18,18,0
VP_002,ftsst,Prep,95.02380952380952,50.94871794871795,43.69230769230769,45.12820512820513,47.2342656627417,0.08214504066165494,42,39,3
VP_002,ftsst,Pause_1,61.95,42.85,19.1,23.8,38.92697797664066,0.4920720296596684,20,20,0
VP_002,ftsst,Talk,85.0,59.16,25.3,28.5,31.550330515323186,0.02370379682862128,51,50,1
VP_002,ftsst,Math,67.6734693877551,48.916666666666664,18.5,20.333333333333332,29.038329135985148,0.0445888147373646,49,48,1
VP_002,ftsst,Pause_5,116.58823529411765,70.0,46.588235294117645,47.294117647058826,40.772940198664685,0.41477309597718864,17,17,0
VP_003,tsst,Prep,67.275,61.35,5.925,8.325,12.35541867398465,0.10468843647166198,40,40,0
VP_003,tsst,Pause_1,66.3,64.9,1.4,11.4,16.88566111176405,-0.12551293853228448,10,10,0
VP_003,tsst,Talk,66.30434782608695,60.17391304347826,6.130434782608695,12.391304347826088,18.94724120960043,0.4203330202475386,46,46,0
VP_003,tsst,Math,69.67441860465117,66.73809523809524,3.142857142857143,9.380952380952381,13.422586628503021,0.5851512329143628,43,42,1
VP_003,tsst,Pause_5,96.54545454545455,100.9090909090909,-4.363636363636363,10.181818181818182,10.28501140916842,0.6891577582567614,11,11,0
VP_003,ftsst,Prep,112.11764705882354,94.0,18.09090909090909,18.09090909090909,15.587568566563046,0.23567795836649622,34,33,1
VP_003,ftsst,Pause_1,97.91666666666667,78.66666666666667,19.25,19.25,18.696655872700966,0.4803498870025246,12,12,0
VP_003,ftsst,Talk,98.55,83.84615384615384,14.307692307692308,24.82051282051282,23.282582806626824,0.20882632148515917,40,39,1
VP_003,ftsst,Math,102.67567567567568,86.91891891891892,15.756756756756756,17.64864864864865,16.40592140169083,0.5100899134248842,37,37,0
VP_003,ftsst,Pause_5,118.0,107.9,10.1,12.3,10.406685947426901,0.3913416552739539,10,10,0
VP_004,tsst,Prep,116.1470588235294,83.67647058823529,32.470588235294116,33.05882352941177,26.9459223354858,0.038682332069402976,34,34,0
VP_004,tsst,Pause_1,133.6,114.4,19.2,21.8,16.276081936874593,-0.36347954347135153,10,10,0
VP_004,tsst,Talk,125.52272727272727,93.97560975609755,31.21951219512195,42.048780487804876,32.80966811485072,0.23963091224164823,44,41,3
VP_004,tsst,Math,119.16216216216216,84.63888888888889,34.416666666666664,34.416666666666664,26.854677005892377,-0.02077014569989751,37,36,1
VP_004,tsst,Pause_5,134.6,110.2,24.4,33.0,24.85070846666422,-0.7476792425566472,10,10,0
VP_004,ftsst,Prep,102.08333333333333,84.75,17.333333333333332,19.0,18.261202246330175,0.414115620587235,36,36,0
VP_004,ftsst,Pause_1,103.0,77.25,25.75,36.583333333333336,35.0707521963326,0.35315644776668004,12,12,0
VP_004,ftsst,Talk,123.29411764705883,116.3529411764706,6.9411764705882355,13.647058823529411,11.490112035154024,0.2191178844661682,34,34,0
VP_004,ftsst,Math,123.42857142857143,104.14285714285714,19.285714285714285,25.285714285714285,20.12116570134424,0.35740088473641113,35,35,0
VP_004,ftsst,Pause_5,136.1,117.3,18.8,19.6,14.150303450095938,-0.13935974206231125,10,10,0
VP_005,tsst,Prep,65.25490196078431,45.12244897959184,20.346938775510203,21.857142857142858,33.068856152039956,0.1339780657109558,51,49,2
VP_005,tsst,Pause_1,54.705882352941174,34.0,20.705882352941178,22.470588235294116,41.88344171960422,0.35347664791430544,17,17,0
VP_005,tsst,Talk,69.94117647058823,52.1764705882353,17.764705882352942,24.235294117647058,32.161751997827736,0.598978821111352,51,51,0
VP_005,tsst,Math,64.71428571428571,43.236363636363635,21.563636363636363,25.490909090909092,36.639455759136055,0.1732479061431235,56,55,1
VP_005,tsst,Pause_5,101.06666666666666,52.6,48.46666666666667,49.266666666666666,48.7478512548393,0.13790135264381942,15,15,0
VP_005,ftsst,Prep,65.22727272727273,44.81818181818182,20.40909090909091,20.818181818181817,29.886223045683995,0.28268229971829434,44,44,0
VP_005,ftsst,Pause_1,74.33333333333333,59.333333333333336,15.0,18.555555555555557,25.164271899549096,0.09815348147657298,18,18,0
VP_005,ftsst,Talk,83.15094339622641,66.47058823529412,15.980392156862745,22.49019607843137,25.670974141814394,0.4042847775086712,53,51,2
VP_005,ftsst,Math,111.10204081632654,94.0204081632653,17.081632653061224,22.428571428571427,20.57428334850113,0.4796184800936157,49,49,0
VP_005,ftsst,Pause_5,133.07142857142858,126.92857142857143,6.142857142857143,7.0,5.278735853485658,0.2507586563929465,14,14,0
VP_020,tsst,Prep,78.46938775510205,41.97959183673469,36.48979591836735,36.57142857142857,42.67787073234446,0.14690849876960793,49,49,0
VP_020,tsst,Pause_1,82.78571428571429,36.6,35.9,35.9,48.18371787355096,0.06600101594614541,14,10,4
VP_020,tsst,Talk,73.53061224489795,54.37777777777778,15.355555555555556,17.711111111111112,23.648811843961255,0.7113982927582617,49,45,4
VP_020,tsst,Math,94.43478260869566,58.43478260869565,36.0,36.95652173913044,37.435724493022796,0.37319571153628156,46,46,0
VP_020,tsst,Pause_5,112.83333333333333,59.5,53.333333333333336,57.166666666666664,50.55377327869143,-0.23022286175000822,12,12,0
VP_020,ftsst,Prep,66.0,47.357142857142854,18.5,19.595238095238095,26.700303760998562,0.5186038035739647,43,42,1
VP_020,ftsst,Pause_1,63.0,43.111111111111114,17.555555555555557,17.555555555555557,27.00869491470381,0.45055860526327096,16,9,7
VP_020,ftsst,Talk,82.95121951219512,53.666666666666664,28.846153846153847,31.358974358974358,35.35074612773055,0.09496578627111582,41,39,2
VP_020,ftsst,Math,76.86046511627907,48.23809523809524,28.0,30.285714285714285,35.752751344093575,0.3345792673999448,43,42,1
VP_020,ftsst,Pause_5,113.0,68.08333333333333,44.916666666666664,44.916666666666664,39.81878370766867,0.2282855879697427,12,12,0
VP_022,tsst,Prep,104.70588235294117,74.48484848484848,29.848484848484848,32.515151515151516,29.749433139401734,-0.022097553370935902,34,33,1
VP_022,tsst,Pause_1,92.25,75.83333333333333,16.416666666666668,17.75,18.095265010836616,-0.07254156477089185,12,12,0
VP_022,tsst,Talk,113.87179487179488,106.25641025641026,7.615384615384615,15.35897435897436,13.0951184188135,0.6392891998708207,39,39,0
VP_022,tsst,Math,112.0,80.97222222222223,31.02777777777778,36.69444444444444,32.84170341026274,0.045855237165646254,36,36,0
VP_022,tsst,Pause_5,105.18181818181819,89.9090909090909,15.272727272727273,33.45454545454545,32.79147263718081,-0.7150968621054807,11,11,0
VP_022,ftsst,Prep,104.68571428571428,80.2,24.485714285714284,27.914285714285715,26.48241696342215,0.15677170047775318,35,35,0
VP_022,ftsst,Pause_1,86.0909090909091,82.27272727272727,3.8181818181818183,22.90909090909091,29.12195441145983,0.15850197712466582,11,11,0
VP_022,ftsst,Talk,100.62857142857143,81.85714285714286,18.771428571428572,25.685714285714287,24.610870903239892,-0.3405622955983534,35,35,0
VP_022,ftsst,Math,108.8,81.8529411764706,27.852941176470587,28.029411764705884,24.395001772699533,-0.12956254001392967,35,34,1
VP_022,ftsst,Pause_5,103.36363636363636,81.81818181818181,21.545454545454547,22.09090909090909,21.859135292271745,0.669002734534393,11,11,0
VP_023,tsst,Prep,86.93548387096774,80.0,6.935483870967742,7.0,8.070121534200354,0.7699468082173181,31,31,0
VP_023,tsst,Pause_1,86.55555555555556,72.77777777777777,13.777777777777779,13.777777777777779,15.93318311306161,0.2606422883057867,9,9,0
VP_023,tsst,Talk,93.9090909090909,87.30232558139535,6.883720930232558,11.488372093023257,9.973821059880066,0.4908293779838004,44,43,1
VP_023,tsst,Math,84.19565217391305,76.73913043478261,7.456521739130435,9.58695652173913,11.445719450826093,0.2189390405658561,46,46,0
VP_023,tsst,Pause_5,92.7,80.66666666666667,11.444444444444445,11.444444444444445,13.156034532028759,0.7073278004797336,10,9,1
VP_023,ftsst,Prep,80.0,54.108108108108105,25.89189189189189,26.27027027027027,33.470099213325874,0.4239892130904544,37,37,0
VP_023,ftsst,Pause_1,83.4,73.8,9.6,11.8,14.620732088875878,0.4033517484327154,10,10,0
VP_023,ftsst,Talk,91.9,78.33333333333333,11.222222222222221,17.666666666666668,16.92173847258862,0.007754525033857331,40,36,4
VP_023,ftsst,Math,85.58333333333333,81.38888888888889,4.194444444444445,9.86111111111111,12.369836640375638,0.6244305342144614,36,36,0
VP_023,ftsst,Pause_5,93.9,84.7,9.2,10.8,11.81498987480698,0.38980595448882344,10,10,0
VP_026,tsst,Prep,87.03508771929825,88.2280701754386,-1.1929824561403508,3.824561403508772,4.468658598845949,0.6763412604331991,57,57,0
VP_026,tsst,Pause_1,82.10526315789474,83.15789473684211,-1.0526315789473684,4.7368421052631575,5.771970106324221,0.39092766856694744,19,19,0
VP_026,tsst,Talk,80.8125,80.625,0.1875,13.65625,17.45513895175488,0.41444146669292536,64,64,0
VP_026,tsst,Math,87.33898305084746,84.10344827586206,3.396551724137931,8.5,9.994892387036375,0.5363274250607009,59,58,1
VP_026,tsst,Pause_5,83.47058823529412,81.82352941176471,1.6470588235294117,3.0588235294117645,3.677032715510278,0.701137726273123,17,17,0
VP_026,ftsst,Prep,86.12698412698413,87.36065573770492,-1.1639344262295082,4.672131147540983,5.22930315560082,0.30437898817769893,63,61,2
VP_026,ftsst,Pause_1,82.7,85.75,-3.05,3.15,3.8825360749358753,0.46330081743348206,20,20,0
VP_026,ftsst,Talk,77.65671641791045,84.01492537313433,-6.358208955223881,7.701492537313433,10.490837813055704,0.7794613121755901,67,67,0
VP_026,ftsst,Math,83.390625,85.734375,-2.34375,12.5,15.442820540841632,0.45834395086740365,64,64,0
VP_026,ftsst,Pause_5,92.6875,91.6875,1.0,7.5,7.948896166666862,0.3163991417428178,16,16,0
VP_027,tsst,Prep,115.38461538461539,109.19444444444444,4.027777777777778,18.305555555555557,16.40486102386266,0.23022518476987852,39,36,3
VP_027,tsst,Pause_1,88.9090909090909,89.9090909090909,-1.0,8.090909090909092,9.296338697115342,0.8076670032830954,11,11,0
VP_027,tsst,Talk,108.45454545454545,96.83783783783784,12.18918918918919,14.08108108108108,13.339704966516214,0.6311269916168577,44,37,7
VP_027,tsst,Math,108.70731707317073,100.29268292682927,8.414634146341463,9.878048780487806,9.392630392545177,0.44149722266100316,41,41,0
VP_027,tsst,Pause_5,109.27272727272727,102.36363636363636,6.909090909090909,10.909090909090908,9.975135215696659,0.01829708239113499,11,11,0
VP_027,ftsst,Prep,107.1,97.85,9.25,10.65,9.988555112376948,0.22972442034948048,40,40,0
VP_027,ftsst,Pause_1,100.91666666666667,83.08333333333333,17.833333333333332,17.833333333333332,17.30271675406333,0.1434002633874767,12,12,0
VP_027,ftsst,Talk,102.44186046511628,89.25,12.975,21.675,20.660658950288045,0.23088687680156258,43,40,3
VP_027,ftsst,Math,109.43589743589743,103.1842105263158,7.342105263157895,8.342105263157896,7.589940780625181,0.4951443442409491,39,38,1
VP_027,ftsst,Pause_5,111.5,94.8,16.7,16.7,14.992577322646389,0.2147047836443793,10,10,0
VP_028,tsst,Prep,68.86792452830188,17.870967741935484,51.12903225806452,54.74193548387097,76.7967344571204,-0.23729530029837906,53,31,22
VP_028,tsst,Pause_1,53.73684210526316,24.384615384615383,29.692307692307693,30.923076923076923,58.7418337188745,0.479201124387243,19,13,6
VP_028,tsst,Talk,63.28358208955224,40.5,22.806451612903224,28.35483870967742,42.85924271969566,0.16612735354879765,67,62,5
VP_028,tsst,Math,89.67605633802818,45.53623188405797,43.68115942028985,48.7536231884058,54.10942850196154,0.310339454022645,71,69,2
VP_028,tsst,Pause_5,98.3,54.05,44.25,50.35,51.528198785674945,0.22659003027256283,20,20,0
VP_028,ftsst,Prep,67.0,36.13636363636363,29.931818181818183,30.113636363636363,43.04345639713197,0.11832271425709022,48,44,4
VP_028,ftsst,Pause_1,65.95,15.235294117647058,44.05882352941177,44.05882352941177,71.72393363337517,0.07847833117417767,20,17,3
VP_028,ftsst,Talk,81.81967213114754,53.285714285714285,28.714285714285715,39.57142857142857,46.972333942323836,0.09420423214486082,61,49,12
VP_028,ftsst,Math,78.50769230769231,55.51851851851852,22.11111111111111,32.74074074074074,40.75504947520818,0.172479207574397,65,54,11
VP_028,ftsst,Pause_5,97.88888888888889,50.05555555555556,47.833333333333336,50.166666666666664,49.95967875874414,0.26322293543213315,18,18,0
VP_029,tsst,Prep,86.52631578947368,34.51724137931034,49.41379310344828,55.275862068965516,65.27358371544182,-0.0887024549418017,38,29,9
VP_029,tsst,Pause_1,78.9375,46.53846153846154,32.53846153846154,34.23076923076923,42.61318558551204,-0.2017293671952681,16,13,3
VP_029,tsst,Talk,101.54761904761905,77.51219512195122,24.4390243902439,30.634146341463413,28.4973382283359,0.27409942274887705,42,41,1
VP_029,tsst,Math,103.39473684210526,79.76315789473684,23.63157894736842,29.473684210526315,27.892197731486565,0.4986693271935372,38,38,0
VP_029,tsst,Pause_5,98.9090909090909,70.54545454545455,28.363636363636363,28.727272727272727,28.52262227828204,0.33481062608925494,11,11,0
VP_029,ftsst,Prep,101.22222222222223,40.758620689655174,55.89655172413793,57.689655172413794,53.95715414404715,-0.15731328412099155,36,29,7
VP_029,ftsst,Pause_1,103.84615384615384,79.0,18.666666666666668,23.333333333333332,22.30828705105949,-0.36674337918733796,13,9,4
VP_029,ftsst,Talk,108.44444444444444,69.72727272727273,37.75757575757576,40.121212121212125,35.139365706524444,0.3315614069606659,36,33,3
VP_029,ftsst,Math,107.625,85.78947368421052,22.0,26.57894736842105,23.97591098865523,0.42929943576307744,40,38,2
VP_029,ftsst,Pause_5,130.0909090909091,103.72727272727273,26.363636363636363,35.09090909090909,27.1232652813969,-0.1890563039052687,11,11,0
VP_030,tsst,Prep,55.62903225806452,67.93442622950819,-12.163934426229508,13.60655737704918,24.330829540672674,-0.25155285407691946,62,61,1
VP_030,tsst,Pause_1,57.130434782608695,63.095238095238095,-5.666666666666667,18.142857142857142,32.25325239777137,0.5637245852299924,23,21,2
VP_030,tsst,Talk,63.10294117647059,67.0,-3.828125,16.734375,26.914741430686014,0.609073097756566,68,64,4
VP_030,tsst,Math,64.78333333333333,77.77966101694915,-12.830508474576272,14.728813559322035,22.788087203163318,0.6652668261063238,60,59,1
