,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,561,567,666,634,590.0,590.0,101.69491525423729,101.69491525423729,105,67,105.0,67.0,,,-38.0,38.0,56.71641791044776
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1151,1156,1239,1206,581.0,581.0,103.27022375215147,103.27022375215147,88,50,88.0,50.0,,,-38.0,38.0,76.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1732,1735,1835,1811,557.0,557.0,107.71992818671453,107.71992818671453,103,76,103.0,76.0,,,-27.0,27.0,35.526315789473685
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2289,2291,2396,2382,546.0,546.0,109.89010989010988,109.89010989010988,107,91,107.0,91.0,,,-16.0,16.0,17.582417582417584
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2835,2846,2943,2926,541.0,541.0,110.90573012939001,110.90573012939001,108,80,108.0,80.0,,,-28.0,28.0,35.0
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3376,3378,3479,3456,543.0,543.0,110.49723756906077,110.49723756906077,103,78,103.0,78.0,,,-25.0,25.0,32.05128205128205
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3919,3923,4022,3996,546.0,546.0,109.89010989010988,109.89010989010988,103,73,103.0,73.0,,,-30.0,30.0,41.0958904109589
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4465,4469,4563,4542,550.0,550.0,109.09090909090908,109.09090909090908,98,73,98.0,73.0,,,-25.0,25.0,34.24657534246575
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5015,5022,5122,5102,537.0,537.0,111.73184357541899,111.73184357541899,107,80,107.0,80.0,,,-27.0,27.0,33.75
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5552,5553,5661,5637,540.0,540.0,111.1111111111111,111.1111111111111,109,84,109.0,84.0,,,-25.0,25.0,29.761904761904763
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6092,6094,6200,6183,541.0,541.0,110.90573012939001,110.90573012939001,108,89,108.0,89.0,,,-19.0,19.0,21.34831460674157
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6633,6636,6742,6709,552.0,552.0,108.69565217391303,108.69565217391303,109,73,109.0,73.0,,,-36.0,36.0,49.31506849315068
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7185,7190,7289,7256,569.0,569.0,105.4481546572935,105.4481546572935,104,66,104.0,66.0,,,-38.0,38.0,57.57575757575758
