,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,559,567,670,634,590.0,590.0,101.69491525423729,101.69491525423729,111,67,111.0,67.0,,,-44.0,44.0,65.67164179104478
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1149,1156,1243,1206,581.0,581.0,103.27022375215147,103.27022375215147,94,50,94.0,50.0,,,-44.0,44.0,88.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1730,1735,1840,1811,557.0,557.0,107.71992818671453,107.71992818671453,110,76,110.0,76.0,,,-34.0,34.0,44.73684210526316
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2287,2291,2402,2382,546.0,546.0,109.89010989010988,109.89010989010988,115,91,115.0,91.0,,,-24.0,24.0,26.373626373626376
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2833,2846,2945,2926,541.0,541.0,110.90573012939001,110.90573012939001,112,80,112.0,80.0,,,-32.0,32.0,40.0
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3374,3378,3487,3456,543.0,543.0,110.49723756906077,110.49723756906077,113,78,113.0,78.0,,,-35.0,35.0,44.871794871794876
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3917,3923,4029,3996,546.0,546.0,109.89010989010988,109.89010989010988,112,73,112.0,73.0,,,-39.0,39.0,53.42465753424658
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4463,4469,4575,4542,550.0,550.0,109.09090909090908,109.09090909090908,112,73,112.0,73.0,,,-39.0,39.0,53.42465753424658
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5013,5022,5127,5102,537.0,537.0,111.73184357541899,111.73184357541899,114,80,114.0,80.0,,,-34.0,34.0,42.5
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5550,5553,5665,5637,540.0,540.0,111.1111111111111,111.1111111111111,115,84,115.0,84.0,,,-31.0,31.0,36.904761904761905
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6090,6094,6202,6183,541.0,541.0,110.90573012939001,110.90573012939001,112,89,112.0,89.0,,,-23.0,23.0,25.842696629213485
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6631,6636,6746,6709,552.0,552.0,108.69565217391303,108.69565217391303,115,73,115.0,73.0,,,-42.0,42.0,57.534246575342465
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7183,7190,7296,7256,569.0,569.0,105.4481546572935,105.4481546572935,113,66,113.0,66.0,,,-47.0,47.0,71.21212121212122
