participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,72.90384615384616,47.38461538461539,25.51923076923077,26.865384615384617,36.68213567579046,0.4641825025797619,52,52,0
VP_001,tsst,Pause_1,53.0,93.8,-40.8,49.733333333333334,140.07414671594583,-0.3242332505237495,15,15,0
VP_001,tsst,Talk,78.82978723404256,77.31914893617021,1.5106382978723405,29.51063829787234,46.14738239121369,-0.14973466180732142,47,47,0
VP_001,tsst,Math,69.41818181818182,59.2,10.218181818181819,26.90909090909091,38.787707405309924,-0.09378461880886839,55,55,0
VP_001,tsst,Pause_5,62.5,46.857142857142854,15.642857142857142,25.214285714285715,46.612237327059795,0.2563288330796636,14,14,0
VP_001,ftsst,Prep,76.06122448979592,49.97959183673469,26.081632653061224,29.551020408163264,40.20972635677519,0.4687258958103628,49,49,0
VP_001,ftsst,Pause_1,55.666666666666664,33.733333333333334,21.933333333333334,21.933333333333334,38.838972295585194,-0.12181775043670819,15,15,0
VP_001,ftsst,Talk,83.79069767441861,80.55813953488372,3.2325581395348837,27.41860465116279,39.19495104137319,0.3422614049805872,43,43,0
VP_001,ftsst,Math,74.57142857142857,81.63414634146342,-6.0,28.048780487804876,44.22967125220006,-0.10121677864680367,42,41,1
VP_001,ftsst,Pause_5,95.23076923076923,89.23076923076923,6.0,18.0,20.031391127272784,0.7426212570952697,13,13,0
VP_002,tsst,Prep,70.73214285714286,63.839285714285715,6.892857142857143,22.071428571428573,45.74766163778622,-0.298150651489214,56,56,0
VP_002,tsst,Pause_1,70.45,58.55,11.9,18.8,28.154659899625393,0.2644372625498791,20,20,0
VP_002,tsst,Talk,61.803030303030305,41.60606060606061,20.196969696969695,23.348484848484848,39.97112113304398,0.4640286404694967,66,66,0
VP_002,tsst,Math,69.33333333333333,60.09090909090909,9.242424242424242,17.12121212121212,25.49686961656495,-0.08331040211536,66,66,0
