,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,394,984,984,581,568,683,649,590.0,590.0,101.69491525423729,101.69491525423729,102,81,102.0,81.0,,,-21.0,21.0,25.925925925925924
VP_001,tsst,Prep,1,1,1,984,984,1569,1569,1170,1156,1258,1207,581.0,581.0,103.27022375215147,103.27022375215147,88,51,88.0,51.0,,,-37.0,37.0,72.54901960784314
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1751,1736,1854,1815,557.0,557.0,107.71992818671453,107.71992818671453,103,79,103.0,79.0,,,-24.0,24.0,30.37974683544304
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2308,2292,2416,2386,546.0,546.0,109.89010989010988,109.89010989010988,108,94,108.0,94.0,,,-14.0,14.0,14.893617021276595
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2854,2844,2960,2927,541.0,541.0,110.90573012939001,110.90573012939001,106,83,106.0,83.0,,,-23.0,23.0,27.710843373493976
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3395,3380,3499,3463,543.0,543.0,110.49723756906077,110.49723756906077,104,83,104.0,83.0,,,-21.0,21.0,25.301204819277107
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3939,3922,4040,4001,546.0,546.0,109.89010989010988,109.89010989010988,101,79,101.0,79.0,,,-22.0,22.0,27.848101265822784
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4862,4485,4474,4585,4545,550.0,550.0,109.09090909090908,109.09090909090908,100,71,100.0,71.0,,,-29.0,29.0,40.845070422535215
VP_001,tsst,Prep,8,8,8,4862,4862,5404,5404,5035,5023,5140,5096,537.0,537.0,111.73184357541899,111.73184357541899,105,73,105.0,73.0,,,-32.0,32.0,43.83561643835616
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5942,5571,5556,5680,5647,540.0,540.0,111.1111111111111,111.1111111111111,109,91,109.0,91.0,,,-18.0,18.0,19.78021978021978
VP_001,tsst,Prep,10,10,10,5943,5942,6484,6483,6110,6098,6219,6187,541.0,541.0,110.90573012939001,110.90573012939001,109,89,109.0,89.0,,,-20.0,20.0,22.47191011235955
VP_001,tsst,Prep,11,11,11,6484,6483,7032,7032,6652,6638,6759,6712,552.0,552.0,108.69565217391303,108.69565217391303,107,74,107.0,74.0,,,-33.0,33.0,44.5945945945946
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7205,7193,7308,7252,569.0,569.0,105.4481546572935,105.4481546572935,103,59,103.0,59.0,,,-44.0,44.0,74.57627118644068
