,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,394,984,984,544,568,664,649,590.0,590.0,101.69491525423729,101.69491525423729,120,81,120.0,81.0,,,-39.0,39.0,48.148148148148145
VP_001,tsst,Prep,1,1,1,984,984,1569,1569,1133,1156,1247,1207,581.0,581.0,103.27022375215147,103.27022375215147,114,51,114.0,51.0,,,-63.0,63.0,123.52941176470588
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1735,1736,1836,1815,557.0,557.0,107.71992818671453,107.71992818671453,101,79,101.0,79.0,,,-22.0,22.0,27.848101265822784
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2272,2292,2396,2386,546.0,546.0,109.89010989010988,109.89010989010988,124,94,124.0,94.0,,,-30.0,30.0,31.914893617021278
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2844,2844,2941,2927,541.0,541.0,110.90573012939001,110.90573012939001,97,83,97.0,83.0,,,-14.0,14.0,16.867469879518072
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3378,3380,3480,3463,543.0,543.0,110.49723756906077,110.49723756906077,102,83,102.0,83.0,,,-19.0,19.0,22.89156626506024
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3901,3922,4022,4001,546.0,546.0,109.89010989010988,109.89010989010988,121,79,121.0,79.0,,,-42.0,42.0,53.16455696202531
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4862,4447,4474,4568,4545,550.0,550.0,109.09090909090908,109.09090909090908,121,71,121.0,71.0,,,-50.0,50.0,70.4225352112676
VP_001,tsst,Prep,8,8,8,4862,4862,5404,5404,4996,5023,5121,5096,537.0,537.0,111.73184357541899,111.73184357541899,125,73,125.0,73.0,,,-52.0,52.0,71.23287671232876
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5942,5535,5556,5660,5647,540.0,540.0,111.1111111111111,111.1111111111111,125,91,125.0,91.0,,,-34.0,34.0,37.362637362637365
VP_001,tsst,Prep,10,10,10,5943,5942,6484,6483,6075,6098,6199,6187,541.0,541.0,110.90573012939001,110.90573012939001,124,89,124.0,89.0,,,-35.0,35.0,39.325842696629216
VP_001,tsst,Prep,11,11,11,6484,6483,7032,7032,6617,6638,6739,6712,552.0,552.0,108.69565217391303,108.69565217391303,122,74,122.0,74.0,,,-48.0,48.0,64.86486486486487
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7168,7193,7289,7252,569.0,569.0,105.4481546572935,105.4481546572935,121,59,121.0,59.0,,,-62.0,62.0,105.08474576271188
