participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,72.90384615384616,117.63461538461539,-44.73076923076923,44.73076923076923,68.11796625302178,0.6280602421715121,52,52,0
VP_001,tsst,Pause_1,53.0,111.73333333333333,-58.733333333333334,58.86666666666667,155.11289655254174,-0.005140069536911647,15,15,0
VP_001,tsst,Talk,78.82978723404256,126.59574468085107,-47.765957446808514,47.765957446808514,77.52002715759723,0.12580278856366334,47,47,0
VP_001,tsst,Math,69.41818181818182,115.0,-45.58181818181818,45.58181818181818,70.33731901278864,0.12424448333297229,55,55,0
VP_001,tsst,Pause_5,62.5,114.64285714285714,-52.142857142857146,52.142857142857146,99.40462657836368,0.8383665747934388,14,14,0
VP_001,ftsst,Prep,76.06122448979592,126.51020408163265,-50.44897959183673,50.44897959183673,78.85106627538565,0.6931513426575531,49,49,0
VP_001,ftsst,Pause_1,55.666666666666664,121.2,-65.53333333333333,65.53333333333333,119.30302523680545,0.213055556503622,15,15,0
VP_001,ftsst,Talk,83.79069767441861,125.79069767441861,-42.0,42.651162790697676,65.52007377194539,0.4786950852605888,43,43,0
VP_001,ftsst,Math,74.57142857142857,130.70731707317074,-55.073170731707314,55.073170731707314,89.98784995555508,0.0929858558059334,42,41,1
VP_001,ftsst,Pause_5,95.23076923076923,143.84615384615384,-48.61538461538461,48.61538461538461,59.82735253939783,0.703532847899392,13,13,0
VP_002,tsst,Prep,70.73214285714286,17.5,60.75,60.75,77.73753281687458,0.39632230328444,56,4,52
VP_002,tsst,Pause_1,70.45,129.57142857142858,-52.857142857142854,52.857142857142854,70.2777349919493,0.631214350587008,20,14,6
VP_002,tsst,Talk,61.803030303030305,114.21052631578948,-49.21052631578947,55.10526315789474,92.35306330366343,0.3141355513725694,66,38,28
