participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,72.90384615384616,27.19148936170213,45.702127659574465,46.12765957446808,63.07453047461575,0.26510839622388166,52,47,5
VP_001,tsst,Pause_1,53.0,50.333333333333336,2.6666666666666665,22.0,50.77116886056221,-0.19285526719379828,15,15,0
VP_001,tsst,Talk,78.82978723404256,47.59574468085106,31.23404255319149,39.319148936170215,51.08860109340557,0.00518756679861681,47,47,0
VP_001,tsst,Math,69.41818181818182,34.72727272727273,34.69090909090909,36.25454545454546,51.283803196061214,0.056639634653037126,55,55,0
VP_001,tsst,Pause_5,62.5,39.785714285714285,22.714285714285715,25.285714285714285,38.075067701151205,0.11196516567641435,14,14,0
VP_001,ftsst,Prep,76.06122448979592,38.44897959183673,37.61224489795919,40.91836734693877,52.76432324291234,-0.32624013516438155,49,49,0
VP_001,ftsst,Pause_1,55.666666666666664,62.0,-6.333333333333333,7.0,13.618802287565323,-0.5329980830375839,15,15,0
VP_001,ftsst,Talk,83.79069767441861,56.06976744186046,27.72093023255814,36.883720930232556,43.73677287395939,0.22580067431406137,43,43,0
VP_001,ftsst,Math,74.57142857142857,67.7560975609756,7.878048780487805,24.609756097560975,34.36098914035116,-0.14333400380886982,42,41,1
VP_001,ftsst,Pause_5,95.23076923076923,75.23076923076923,20.0,26.76923076923077,27.901165991640045,0.2585876977552586,13,13,0
VP_002,tsst,Prep,70.73214285714286,49.857142857142854,20.875,28.553571428571427,47.793790772452766,-0.32461543231915485,56,56,0
VP_002,tsst,Pause_1,70.45,40.35,30.1,36.7,51.077221678167156,-0.343114843408317,20,20,0
VP_002,tsst,Talk,61.803030303030305,34.89393939393939,26.90909090909091,32.75757575757576,52.937624033126895,-0.2021394046034292,66,66,0
VP_002,tsst,Math,69.33333333333333,46.63636363636363,22.696969696969695,30.727272727272727,43.48681962474,-0.48575014749361917,66,66,0
VP_002,tsst,Pause_5,106.27777777777777,65.0,41.27777777777778,41.27777777777778,40.129174123255105,0.7387816379416468,18,18,0
VP_002,ftsst,Prep,89.53658536585365,35.75609756097561,53.78048780487805,55.09756097560975,60.07927838068335,-0.11547527678314136,41,41,0
VP_002,ftsst,Pause_1,60.3,27.15,33.15,33.15,55.167038737613225,0.45621108613459166,20,20,0
VP_002,ftsst,Talk,79.61224489795919,64.85714285714286,14.755102040816327,23.571428571428573,27.7029411715167,-0.019774947843213046,49,49,0
VP_002,ftsst,Math,64.58695652173913,29.488888888888887,34.86666666666667,38.06666666666667,58.163392654386655,-0.11547837034225204,46,45,1
VP_002,ftsst,Pause_5,118.88235294117646,88.76470588235294,30.11764705882353,30.11764705882353,25.32904328494928,0.7099466682167177,17,17,0
VP_003,tsst,Prep,63.75,65.925,-2.175,8.125,14.927048662994547,-0.12977280881653694,40,40,0
VP_003,tsst,Pause_1,63.3,66.7,-3.4,20.6,32.123247029966976,-0.4913034940075091,10,10,0
VP_003,tsst,Talk,60.5,36.95652173913044,23.543478260869566,27.847826086956523,44.16933216628148,-0.25109471820308527,46,46,0
VP_003,tsst,Math,69.95348837209302,53.81395348837209,16.13953488372093,17.023255813953487,23.407600191713108,0.08190816040637909,43,43,0
VP_003,tsst,Pause_5,72.54545454545455,79.27272727272727,-6.7272727272727275,6.7272727272727275,9.61016337266334,0.6634822732915555,11,11,0
VP_003,ftsst,Prep,86.5,83.02941176470588,3.4705882352941178,8.588235294117647,8.893303582000314,0.017290972368849564,34,34,0
VP_003,ftsst,Pause_1,87.75,69.0,18.75,24.583333333333332,27.51911824465816,0.1816234769984668,12,12,0
VP_003,ftsst,Talk,85.72972972972973,68.62162162162163,17.10810810810811,18.783783783783782,20.414049524333468,0.25803578685124556,37,37,0
VP_003,ftsst,Math,102.97297297297297,60.888888888888886,41.77777777777778,46.166666666666664,44.299742323452385,-0.08918426899414328,37,36,1
VP_003,ftsst,Pause_5,101.5,80.3,21.2,22.4,20.815375221187153,0.06619855022702256,10,10,0
VP_004,tsst,Prep,89.0,73.05882352941177,15.941176470588236,19.58823529411765,21.310495118457165,0.21392917030618788,34,34,0
VP_004,tsst,Pause_1,105.6,83.2,22.4,24.2,21.940032178692288,-0.19422605990950365,10,10,0
VP_004,tsst,Talk,80.52631578947368,61.82857142857143,20.542857142857144,35.114285714285714,45.27581399248084,0.2710132845407108,38,35,3
VP_004,tsst,Math,83.07894736842105,59.23684210526316,23.842105263157894,33.36842105263158,38.93683783871436,-0.1470234750208801,38,38,0
VP_004,tsst,Pause_5,115.0,89.3,25.7,25.7,22.857851728776552,0.8679073688903085,10,10,0
VP_004,ftsst,Prep,87.5,83.36111111111111,4.138888888888889,9.916666666666666,11.128360324525817,0.2576102400572372,36,36,0
VP_004,ftsst,Pause_1,77.58333333333333,75.91666666666667,1.6666666666666667,34.5,54.8829082922322,-0.058163855117103036,12,12,0
VP_004,ftsst,Talk,118.02941176470588,100.02941176470588,18.0,20.88235294117647,17.798321877122824,0.5033177246503718,34,34,0
VP_004,ftsst,Math,102.97222222222223,92.66666666666667,10.305555555555555,23.805555555555557,24.407964359343527,0.22157751730335412,36,36,0
VP_004,ftsst,Pause_5,115.5,103.4,12.1,21.1,18.953901423350352,0.35321006268287525,10,10,0
VP_005,tsst,Prep,58.5,39.6,18.9,20.3,33.31318700358494,0.16638878290143588,50,50,0
VP_005,tsst,Pause_1,46.421052631578945,23.63157894736842,22.789473684210527,22.789473684210527,49.05840173394955,0.37037471386836995,19,19,0
VP_005,tsst,Talk,58.333333333333336,46.04347826086956,12.065217391304348,22.847826086956523,41.848860187627814,0.6309301314072959,48,46,2
VP_005,tsst,Math,48.870370370370374,53.611111111111114,-4.7407407407407405,20.333333333333332,60.22997440275172,0.06080175216542798,54,54,0
VP_005,tsst,Pause_5,98.66666666666667,71.33333333333333,27.333333333333332,31.6,33.88221162277569,-0.08644140098973656,15,15,0
VP_005,ftsst,Prep,51.275,64.175,-12.9,16.9,38.12723072082859,0.011267133461798815,40,40,0
VP_005,ftsst,Pause_1,62.64705882352941,47.76470588235294,14.882352941176471,19.705882352941178,32.42845185663138,-0.372909663188084,17,17,0
VP_005,ftsst,Talk,79.94,60.7,19.24,26.16,32.25215788476089,0.07232265365409211,50,50,0
VP_005,ftsst,Math,110.53191489361703,76.27659574468085,34.255319148936174,36.851063829787236,33.02648785287298,0.15740294948093292,47,47,0
VP_005,ftsst,Pause_5,130.85714285714286,91.71428571428571,39.142857142857146,39.142857142857146,30.053954587930203,0.8156092960906354,14,14,0
VP_020,tsst,Prep,37.93617021276596,65.97826086956522,-27.82608695652174,29.08695652173913,90.69674433685769,-0.07996674834398677,47,46,1
VP_020,tsst,Pause_1,35.333333333333336,64.3,-33.7,33.7,117.45767263510295,0.39213386658268345,12,10,2
VP_020,tsst,Talk,55.55555555555556,69.02272727272727,-14.090909090909092,26.636363636363637,60.04766888475533,0.3767071414145651,45,44,1
VP_020,tsst,Math,63.47727272727273,80.20454545454545,-16.727272727272727,31.454545454545453,72.92909444620933,0.1424880524456403,44,44,0
VP_020,tsst,Pause_5,109.08333333333333,79.0,30.083333333333332,30.083333333333332,27.348463061951872,-0.4094448240802834,12,12,0
VP_020,ftsst,Prep,48.35,67.3,-18.95,30.35,75.11524542665174,-0.15437398986938555,40,40,0
VP_020,ftsst,Pause_1,41.35294117647059,63.4,-22.8,24.6,70.41773154353372,0.16117437789857536,17,10,7
VP_020,ftsst,Talk,65.6,71.13953488372093,-6.348837209302325,35.13953488372093,78.93869249397409,-0.5601227104877227,45,43,2
VP_020,ftsst,Math,70.6842105263158,69.60526315789474,1.0789473684210527,25.5,44.79856884849844,0.1267319811187237,38,38,0
VP_020,ftsst,Pause_5,106.33333333333333,88.33333333333333,18.0,24.5,25.578602196515803,-0.02515254360822673,12,12,0
VP_022,tsst,Prep,102.41176470588235,62.205882352941174,40.205882352941174,40.911764705882355,39.42123198374484,0.21291127300146254,34,34,0
VP_022,tsst,Pause_1,94.25,52.833333333333336,41.416666666666664,41.416666666666664,43.62805831501777,0.5115430222333693,12,12,0
VP_022,tsst,Talk,108.0909090909091,77.63636363636364,30.454545454545453,38.72727272727273,36.39155541346017,0.16057963987195684,22,22,0
VP_022,tsst,Math,104.77777777777777,64.71428571428571,40.371428571428574,41.114285714285714,38.833390185249,0.2832766475713867,36,35,1
VP_022,tsst,Pause_5,103.63636363636364,58.0,45.63636363636363,45.63636363636363,43.92246885603073,0.31543123904518,11,11,0
VP_022,ftsst,Prep,104.85714285714286,61.4,43.457142857142856,46.371428571428574,43.17813854876643,-0.44051732660350246,35,35,0
VP_022,ftsst,Pause_1,97.36363636363636,63.81818181818182,33.54545454545455,41.0,44.75132533977052,-0.1526839963284668,11,11,0
VP_022,ftsst,Talk,106.54545454545455,62.42424242424242,44.121212121212125,44.121212121212125,41.934922894292754,0.7166475218875029,33,33,0
VP_022,ftsst,Math,106.88235294117646,62.94117647058823,43.94117647058823,43.94117647058823,41.59574767819811,0.6321765381776691,34,34,0
VP_022,ftsst,Pause_5,110.72727272727273,62.63636363636363,48.09090909090909,48.09090909090909,43.62212525114979,0.6282880362747363,11,11,0
VP_023,tsst,Prep,87.12903225806451,44.483870967741936,42.645161290322584,42.645161290322584,48.82752689654686,-0.07789447257310265,31,31,0
VP_023,tsst,Pause_1,86.22222222222223,49.111111111111114,37.111111111111114,37.111111111111114,42.9649445568289,-0.06680613444146627,9,9,0
VP_023,tsst,Talk,92.97222222222223,40.63636363636363,52.666666666666664,55.696969696969695,58.35413294422603,0.0967702359842362,36,33,3
VP_023,tsst,Math,86.02173913043478,42.21739130434783,43.80434782608695,43.80434782608695,50.743582627552314,-0.07045167411771604,46,46,0
VP_023,tsst,Pause_5,98.4,46.3,52.1,52.1,53.336998501468976,0.7399043646204875,10,10,0
VP_023,ftsst,Prep,82.45945945945945,40.4054054054054,42.054054054054056,42.648648648648646,51.17176978105488,-0.20131467845744402,37,37,0
VP_023,ftsst,Pause_1,85.7,43.3,42.4,42.4,49.3610608898226,0.10218456241048293,10,10,0
VP_023,ftsst,Talk,92.3125,54.125,38.1875,42.9375,48.142037172132405,0.27385978103486536,32,32,0
VP_023,ftsst,Math,88.94444444444444,49.48571428571429,39.02857142857143,42.51428571428571,47.94009835165226,-0.02679624751815224,36,35,1
VP_023,ftsst,Pause_5,95.2,56.2,39.0,39.0,41.217776346643255,0.35007766725844097,10,10,0
VP_026,tsst,Prep,86.91228070175438,46.49122807017544,40.421052631578945,40.421052631578945,46.27907876872841,-0.2245624951346446,57,57,0
VP_026,tsst,Pause_1,80.21052631578948,44.68421052631579,35.526315789473685,35.526315789473685,44.24567700291083,0.17496105216125588,19,19,0
VP_026,tsst,Talk,80.41269841269842,46.0,34.41269841269841,34.698412698412696,42.588415108005435,-0.01305831576203522,63,63,0
VP_026,tsst,Math,87.08474576271186,50.559322033898304,36.52542372881356,36.52542372881356,41.56574059888938,0.06284376739043532,59,59,0
VP_026,tsst,Pause_5,83.82352941176471,48.05882352941177,35.76470588235294,35.76470588235294,42.60768607720652,-0.3498070304421145,17,17,0
VP_026,ftsst,Prep,85.72131147540983,44.032786885245905,41.68852459016394,41.68852459016394,48.56627033319636,0.20581450724686942,61,61,0
VP_026,ftsst,Pause_1,81.2,43.6,37.6,37.6,46.201685592743026,-0.44176275446367247,20,20,0
VP_026,ftsst,Talk,76.63636363636364,44.36363636363637,32.27272727272727,33.484848484848484,44.14212864067553,0.23815180607999564,66,66,0
