,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,394,984,984,565,568,632,649,590.0,590.0,101.69491525423729,101.69491525423729,67,81,67.0,81.0,no_local_minimum,,14.0,14.0,17.28395061728395
VP_001,tsst,Prep,1,1,1,984,984,1569,1569,1155,1156,1208,1207,581.0,581.0,103.27022375215147,103.27022375215147,53,51,53.0,51.0,no_local_minimum,,-2.0,2.0,3.9215686274509802
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1736,1736,1804,1815,557.0,557.0,107.71992818671453,107.71992818671453,68,79,68.0,79.0,,,11.0,11.0,13.924050632911392
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2293,2292,2376,2386,546.0,546.0,109.89010989010988,109.89010989010988,83,94,83.0,94.0,,,11.0,11.0,11.702127659574469
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2839,2844,2919,2927,541.0,541.0,110.90573012939001,110.90573012939001,80,83,80.0,83.0,,,3.0,3.0,3.614457831325301
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3380,3380,3448,3463,543.0,543.0,110.49723756906077,110.49723756906077,68,83,68.0,83.0,,,15.0,15.0,18.072289156626507
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3923,3922,3984,4001,546.0,546.0,109.89010989010988,109.89010989010988,61,79,61.0,79.0,,,18.0,18.0,22.78481012658228
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4862,4469,4474,4528,4545,550.0,550.0,109.09090909090908,109.09090909090908,59,71,59.0,71.0,,,12.0,12.0,16.901408450704224
VP_001,tsst,Prep,8,8,8,4862,4862,5404,5404,5019,5023,5086,5096,537.0,537.0,111.73184357541899,111.73184357541899,67,73,67.0,73.0,no_local_minimum,,6.0,6.0,8.21917808219178
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5942,5556,5556,5634,5647,540.0,540.0,111.1111111111111,111.1111111111111,78,91,78.0,91.0,,,13.0,13.0,14.285714285714285
VP_001,tsst,Prep,10,10,10,5943,5942,6484,6483,6096,6098,6175,6187,541.0,541.0,110.90573012939001,110.90573012939001,79,89,79.0,89.0,,,10.0,10.0,11.235955056179774
VP_001,tsst,Prep,11,11,11,6484,6483,7032,7032,6637,6638,6690,6712,552.0,552.0,108.69565217391303,108.69565217391303,53,74,53.0,74.0,,,21.0,21.0,28.37837837837838
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7189,7193,7237,7252,569.0,569.0,105.4481546572935,105.4481546572935,48,59,48.0,59.0,,,11.0,11.0,18.64406779661017
