participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,72.90384615384616,61.94230769230769,10.961538461538462,11.692307692307692,14.944672573632925,0.5543393295507567,52,52,0
VP_001,tsst,Pause_1,53.0,44.86666666666667,8.133333333333333,17.466666666666665,42.42511787531157,0.3608656030432763,15,15,0
VP_001,tsst,Talk,78.82978723404256,59.28888888888889,19.77777777777778,20.533333333333335,23.805204485006247,0.41964551879286954,47,45,2
VP_001,tsst,Math,69.41818181818182,62.836363636363636,6.581818181818182,12.654545454545454,17.715745412163123,0.1963935386910716,55,55,0
VP_001,tsst,Pause_5,62.5,43.5,15.166666666666666,15.166666666666666,22.562414801689,0.3588556891698589,14,12,2
VP_001,ftsst,Prep,76.06122448979592,66.83673469387755,9.224489795918368,12.285714285714286,18.641411953078293,0.5666799861894976,49,49,0
VP_001,ftsst,Pause_1,55.666666666666664,43.6,12.066666666666666,12.066666666666666,21.659627849487887,0.30236929959694814,15,15,0
VP_001,ftsst,Talk,83.79069767441861,73.76744186046511,10.023255813953488,16.674418604651162,21.07011155592774,0.7969608525676922,43,43,0
VP_001,ftsst,Math,74.57142857142857,70.1219512195122,4.7073170731707314,23.682926829268293,32.35512631655963,0.33164082147110796,42,41,1
VP_001,ftsst,Pause_5,95.23076923076923,76.0,19.23076923076923,40.46153846153846,41.53052879438712,0.22689609328490593,13,13,0
VP_002,tsst,Prep,70.73214285714286,36.735849056603776,33.679245283018865,38.24528301886792,55.701511454462235,-0.031646069006274036,56,53,3
VP_002,tsst,Pause_1,70.45,53.95,16.5,20.3,27.147075905930308,0.21562774046268124,20,20,0
VP_002,tsst,Talk,61.803030303030305,45.44615384615385,16.646153846153847,17.815384615384616,26.76401766363474,0.2985063093740715,66,65,1
VP_002,tsst,Math,69.33333333333333,54.81818181818182,14.515151515151516,18.454545454545453,26.495650340763692,0.17465811019072494,66,66,0
VP_002,tsst,Pause_5,106.27777777777777,63.5,42.77777777777778,43.666666666666664,39.176360204758296,-0.10988606041308135,18,18,0
VP_002,ftsst,Prep,89.53658536585365,55.90243902439025,33.63414634146341,36.51219512195122,39.49115939640295,0.0018118425191675127,41,41,0
VP_002,ftsst,Pause_1,60.3,42.85,17.45,22.95,38.84032008070877,0.4898052302903941,20,20,0
VP_002,ftsst,Talk,79.61224489795919,65.35416666666667,13.604166666666666,19.479166666666668,22.19406776796947,0.09454836897320144,49,48,1
VP_002,ftsst,Math,64.58695652173913,52.58695652173913,12.0,15.0,22.119023003439768,0.08004060291577655,46,46,0
VP_002,ftsst,Pause_5,118.88235294117646,70.0,48.88235294117647,49.0,41.236506231077904,0.10952031168031583,17,17,0
VP_003,tsst,Prep,63.75,64.825,-1.075,7.575,13.520904268486749,0.10459040798331397,40,40,0
VP_003,tsst,Pause_1,63.3,67.0,-3.7,9.9,15.231240572661136,0.03854022431028877,10,10,0
VP_003,tsst,Talk,60.5,61.06521739130435,-0.5652173913043478,6.782608695652174,11.53801890182832,0.73375689828706,46,46,0
VP_003,tsst,Math,69.95348837209302,67.62790697674419,2.3255813953488373,10.093023255813954,14.564072322589807,0.4909720607988405,43,43,0
VP_003,tsst,Pause_5,72.54545454545455,107.36363636363636,-34.81818181818182,34.81818181818182,49.57712545071754,-0.36758742756706264,11,11,0
VP_003,ftsst,Prep,86.5,94.0,-7.303030303030303,20.09090909090909,23.171983862558463,-0.21685838129954405,34,33,1
VP_003,ftsst,Pause_1,87.75,85.25,2.5,11.0,12.557694069497773,0.6068300459413144,12,12,0
VP_003,ftsst,Talk,85.72972972972973,78.35135135135135,7.378378378378378,11.864864864864865,12.35950268269087,0.044420868492985446,37,37,0
VP_003,ftsst,Math,102.97297297297297,97.27027027027027,5.702702702702703,26.62162162162162,23.87384049345358,0.34863795238508644,37,37,0
VP_003,ftsst,Pause_5,101.5,107.9,-6.4,17.2,18.09229668497215,-0.5201847403651806,10,10,0
VP_004,tsst,Prep,89.0,85.97058823529412,3.0294117647058822,13.794117647058824,14.830111385597675,0.03628338877007951,34,34,0
VP_004,tsst,Pause_1,105.6,121.2,-15.6,15.6,16.49062122377379,-0.1250318582712207,10,10,0
VP_004,tsst,Talk,80.52631578947368,94.21621621621621,-13.324324324324325,34.567567567567565,45.800106070630484,0.040249111236743323,38,37,1
VP_004,tsst,Math,83.07894736842105,89.75675675675676,-6.378378378378378,10.054054054054054,12.490439876820279,0.7740016209247913,38,37,1
VP_004,tsst,Pause_5,115.0,117.0,-2.0,17.4,15.419898774911099,-0.7386421465284042,10,10,0
VP_004,ftsst,Prep,87.5,87.05555555555556,0.4444444444444444,10.722222222222221,11.405554841266333,0.23628385571296107,36,36,0
VP_004,ftsst,Pause_1,77.58333333333333,80.0,-2.4166666666666665,25.25,27.085437987023408,0.426226436260982,12,12,0
VP_004,ftsst,Talk,118.02941176470588,117.55882352941177,0.47058823529411764,12.705882352941176,12.055743393376996,0.3009442262119661,34,34,0
VP_004,ftsst,Math,102.97222222222223,104.33333333333333,-1.3611111111111112,22.47222222222222,26.239894619977267,0.021903108611350516,36,36,0
