,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,394,984,984,565,568,619,649,590.0,590.0,101.69491525423729,101.69491525423729,54,81,54.0,81.0,,,27.0,27.0,33.33333333333333
VP_001,tsst,Prep,1,1,1,984,984,1569,1569,1155,1156,1198,1207,581.0,581.0,103.27022375215147,103.27022375215147,43,51,43.0,51.0,,,8.0,8.0,15.686274509803921
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1736,1736,1777,1815,557.0,557.0,107.71992818671453,107.71992818671453,41,79,41.0,79.0,,,38.0,38.0,48.10126582278481
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2293,2292,2331,2386,546.0,546.0,109.89010989010988,109.89010989010988,38,94,38.0,94.0,,,56.0,56.0,59.57446808510638
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2839,2844,2924,2927,541.0,541.0,110.90573012939001,110.90573012939001,85,83,85.0,83.0,,,-2.0,2.0,2.4096385542168677
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3380,3380,3441,3463,543.0,543.0,110.49723756906077,110.49723756906077,61,83,61.0,83.0,,,22.0,22.0,26.506024096385545
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3923,3922,3939,4001,546.0,546.0,109.89010989010988,109.89010989010988,16,79,16.0,79.0,,,63.0,63.0,79.74683544303798
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4862,4469,4474,4484,4545,550.0,550.0,109.09090909090908,109.09090909090908,15,71,15.0,71.0,,,56.0,56.0,78.87323943661971
VP_001,tsst,Prep,8,8,8,4862,4862,5404,5404,5019,5023,5057,5096,537.0,537.0,111.73184357541899,111.73184357541899,38,73,38.0,73.0,,,35.0,35.0,47.94520547945205
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5942,5556,5556,5641,5647,540.0,540.0,111.1111111111111,111.1111111111111,85,91,85.0,91.0,,,6.0,6.0,6.593406593406594
VP_001,tsst,Prep,10,10,10,5943,5942,6484,6483,6096,6098,6182,6187,541.0,541.0,110.90573012939001,110.90573012939001,86,89,86.0,89.0,,,3.0,3.0,3.3707865168539324
VP_001,tsst,Prep,11,11,11,6484,6483,7032,7032,6637,6638,6702,6712,552.0,552.0,108.69565217391303,108.69565217391303,65,74,65.0,74.0,,,9.0,9.0,12.162162162162163
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7189,7193,7249,7252,569.0,569.0,105.4481546572935,105.4481546572935,60,59,60.0,59.0,,,-1.0,1.0,1.694915254237288
