participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,72.90384615384616,100.6923076923077,-27.78846153846154,27.78846153846154,44.07699192926797,0.6373628120650174,52,52,0
VP_001,tsst,Pause_1,53.0,104.26666666666667,-51.266666666666666,51.266666666666666,139.03273808441327,-0.06564810827317055,15,15,0
VP_001,tsst,Talk,78.82978723404256,112.44680851063829,-33.61702127659574,33.659574468085104,58.50207687077497,0.016067602867996685,47,47,0
VP_001,tsst,Math,69.41818181818182,101.43636363636364,-32.018181818181816,32.018181818181816,50.380702267596256,0.052144179574825006,55,55,0
VP_001,tsst,Pause_5,62.5,100.64285714285714,-38.142857142857146,38.142857142857146,75.72913796173502,0.7903026051822454,14,14,0
VP_001,ftsst,Prep,76.06122448979592,108.65306122448979,-32.59183673469388,32.59183673469388,54.20508321437862,0.3838711701951473,49,49,0
VP_001,ftsst,Pause_1,55.666666666666664,109.86666666666666,-54.2,54.2,99.05899613195841,-0.5504397069323234,15,15,0
VP_001,ftsst,Talk,83.79069767441861,117.32558139534883,-33.53488372093023,33.906976744186046,55.6174891118527,0.5344714953756856,43,43,0
VP_001,ftsst,Math,74.57142857142857,118.51219512195122,-42.8780487804878,43.707317073170735,73.35908613252188,-0.03523711662104664,42,41,1
VP_001,ftsst,Pause_5,95.23076923076923,121.6923076923077,-26.46153846153846,26.46153846153846,34.98562446921955,0.5960939083795163,13,13,0
VP_002,tsst,Prep,70.73214285714286,113.33928571428571,-42.607142857142854,42.607142857142854,87.98451811390274,-0.1778797371708985,56,56,0
VP_002,tsst,Pause_1,70.45,111.6,-41.15,41.15,66.35865107028101,0.09529615682553129,20,20,0
VP_002,tsst,Talk,61.803030303030305,107.4090909090909,-45.60606060606061,45.60606060606061,83.52210838878739,-0.009939297104112978,66,66,0
VP_002,tsst,Math,69.33333333333333,112.57575757575758,-43.24242424242424,43.24242424242424,68.60970813777084,-0.3057335261459392,66,66,0
