participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,72.90384615384616,121.17307692307692,-48.26923076923077,48.26923076923077,73.01581866471767,0.6116031079619487,52,52,0
VP_001,tsst,Pause_1,53.0,115.73333333333333,-62.733333333333334,62.733333333333334,164.07352273716322,-0.005140069536911647,15,15,0
VP_001,tsst,Talk,78.82978723404256,119.06818181818181,-40.97727272727273,51.65909090909091,83.00248852044614,-0.12063374380482338,47,44,3
VP_001,tsst,Math,69.41818181818182,115.52727272727273,-46.10909090909091,46.10909090909091,71.05137825965153,0.5249870816975094,55,55,0
VP_001,tsst,Pause_5,62.5,115.64285714285714,-53.142857142857146,53.142857142857146,96.41787093744348,0.6839448127049769,14,14,0
VP_001,ftsst,Prep,76.06122448979592,130.0625,-52.833333333333336,52.833333333333336,74.87945979640459,0.6118002190100842,49,48,1
VP_001,ftsst,Pause_1,55.666666666666664,125.2,-69.53333333333333,69.53333333333333,126.54374029023343,0.213055556503622,15,15,0
VP_001,ftsst,Talk,83.79069767441861,130.84848484848484,-44.36363636363637,44.96969696969697,68.68174147401054,0.38924370318246265,43,33,10
VP_001,ftsst,Math,74.57142857142857,110.6923076923077,-36.53846153846154,49.0,76.51116981964401,0.2913517573074886,42,39,3
VP_001,ftsst,Pause_5,95.23076923076923,137.30769230769232,-42.07692307692308,57.30769230769231,68.5125157933455,-0.16629652990440325,13,13,0
VP_002,tsst,Prep,70.73214285714286,21.5,56.75,56.75,72.60257863402148,0.39632230328444,56,4,52
VP_002,tsst,Pause_1,70.45,126.5,-48.166666666666664,60.166666666666664,79.9812276573724,0.27200309293145,20,12,8
VP_002,tsst,Talk,61.803030303030305,118.21052631578948,-53.21052631578947,58.526315789473685,97.72221563535157,0.3141355513725694,66,38,28
VP_002,tsst,Math,69.33333333333333,100.86666666666666,-27.7,52.3,71.49231738066916,0.5697360499621221,66,30,36
VP_002,tsst,Pause_5,106.27777777777777,157.42857142857142,-55.57142857142857,55.57142857142857,58.416785541558276,0.9590092677455215,18,7,11
VP_002,ftsst,Prep,89.53658536585365,9.333333333333334,76.33333333333333,76.33333333333333,89.03458623192887,0.38656565863717246,41,6,35
VP_002,ftsst,Pause_1,60.3,108.83333333333333,-48.5,48.5,81.2117176481984,0.7217847493554921,20,18,2
VP_002,ftsst,Talk,79.61224489795919,83.1304347826087,-1.608695652173913,40.56521739130435,53.70125592454847,0.2361902063518678,49,23,26
VP_002,ftsst,Math,64.58695652173913,80.26315789473684,-12.578947368421053,40.68421052631579,60.682226256785405,0.20802273199311383,46,19,27
VP_002,ftsst,Pause_5,118.88235294117646,87.33333333333333,34.666666666666664,36.0,30.48113723346091,0.9998825486929491,17,3,14
VP_003,tsst,Prep,63.75,86.125,-22.375,43.275,66.49387427516146,0.2737240330813828,40,40,0
VP_003,tsst,Pause_1,63.3,109.1,-45.8,66.4,105.94415042559402,0.1161314061790762,10,10,0
VP_003,tsst,Talk,60.5,119.95652173913044,-59.45652173913044,59.45652173913044,104.10796120267091,0.3949612731578823,46,46,0
VP_003,tsst,Math,69.95348837209302,117.5,-47.425,53.675,79.6261651998719,0.1904733586850259,43,40,3
VP_003,tsst,Pause_5,72.54545454545455,141.63636363636363,-69.0909090909091,69.0909090909091,96.85464629260831,-0.3874139932884987,11,11,0
VP_003,ftsst,Prep,86.5,149.03225806451613,-63.225806451612904,68.83870967741936,82.44426895777028,-0.471941599895391,34,31,3
VP_003,ftsst,Pause_1,87.75,146.0,-58.25,58.25,72.04739613285167,0.43535724036001394,12,12,0
VP_003,ftsst,Talk,85.72972972972973,134.25714285714287,-49.34285714285714,53.05714285714286,65.43632958259771,0.026964979726008663,37,35,2
