participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,72.90384615384616,58.84615384615385,14.057692307692308,14.057692307692308,19.910331737236216,0.9672623280292623,52,52,0
VP_001,tsst,Pause_1,53.0,38.733333333333334,14.266666666666667,14.266666666666667,31.68373916608048,0.9749625830449914,15,15,0
VP_001,tsst,Talk,78.82978723404256,64.34042553191489,14.48936170212766,14.48936170212766,20.357721340104526,0.9943118553189239,47,47,0
VP_001,tsst,Math,69.41818181818182,56.61818181818182,12.8,12.8,18.721601176783153,0.9568440020170136,55,55,0
VP_001,tsst,Pause_5,62.5,50.857142857142854,11.642857142857142,11.642857142857142,20.43890002260912,0.9954956902622929,14,14,0
VP_001,ftsst,Prep,76.06122448979592,61.87755102040816,14.183673469387756,14.183673469387756,20.157166311121827,0.9890675870677231,49,49,0
VP_001,ftsst,Pause_1,55.666666666666664,40.4,15.266666666666667,15.266666666666667,27.611250139317004,0.9361162354081302,15,15,0
VP_001,ftsst,Talk,83.79069767441861,67.83720930232558,15.953488372093023,15.953488372093023,21.48563344782895,0.9762339176880752,43,43,0
VP_001,ftsst,Math,74.57142857142857,60.73809523809524,13.833333333333334,13.833333333333334,20.787793949177047,0.9855705445888051,42,42,0
VP_001,ftsst,Pause_5,95.23076923076923,79.0,16.23076923076923,16.23076923076923,17.827096981201617,0.994387514359253,13,13,0
VP_002,tsst,Prep,70.73214285714286,56.81818181818182,14.854545454545455,14.854545454545455,22.343437658276418,0.9712121585521198,56,55,1
VP_002,tsst,Pause_1,70.45,59.7,10.75,10.75,16.13585144978932,0.9960065649286207,20,20,0
VP_002,tsst,Talk,61.803030303030305,52.43939393939394,9.363636363636363,9.363636363636363,16.04774943177696,0.9979944390089194,66,66,0
VP_002,tsst,Math,69.33333333333333,60.56060606060606,8.772727272727273,8.772727272727273,13.17955884726519,0.9966768269532132,66,66,0
VP_002,tsst,Pause_5,106.27777777777777,96.22222222222223,10.055555555555555,10.055555555555555,9.644287511902661,0.9969829670396928,18,18,0
VP_002,ftsst,Prep,89.53658536585365,76.04878048780488,13.487804878048781,13.487804878048781,15.455283192438184,0.9799297160868836,41,41,0
VP_002,ftsst,Pause_1,60.3,50.75,9.55,9.55,15.948922434218222,0.9883834099584148,20,20,0
VP_002,ftsst,Talk,79.61224489795919,70.6734693877551,8.938775510204081,8.938775510204081,11.703915744736422,0.9949706187439075,49,49,0
VP_002,ftsst,Math,64.58695652173913,55.130434782608695,9.456521739130435,9.456521739130435,14.919399403941561,0.9720810346925334,46,46,0
VP_002,ftsst,Pause_5,118.88235294117646,108.88235294117646,10.0,10.0,8.409598694649455,0.9575098722727403,17,17,0
VP_003,tsst,Prep,63.75,55.125,8.625,8.625,14.028129762366746,0.9345763974121457,40,40,0
VP_003,tsst,Pause_1,63.3,57.7,5.6,5.6,8.874070890506381,0.9824454572601475,10,10,0
VP_003,tsst,Talk,60.5,50.869565217391305,9.630434782608695,9.630434782608695,16.449684887346933,0.9487893782514383,46,46,0
VP_003,tsst,Math,69.95348837209302,62.674418604651166,7.27906976744186,7.27906976744186,10.386987185965927,0.9135038220304806,43,43,0
VP_003,tsst,Pause_5,72.54545454545455,60.72727272727273,11.818181818181818,11.818181818181818,16.259960172516156,0.8932484835373905,11,11,0
VP_003,ftsst,Prep,86.5,73.73529411764706,12.764705882352942,12.764705882352942,15.040906987510274,0.993644309315374,34,34,0
VP_003,ftsst,Pause_1,87.75,77.33333333333333,10.416666666666666,10.416666666666666,12.287129492672792,0.9932857038729352,12,12,0
VP_003,ftsst,Talk,85.72972972972973,75.43243243243244,10.297297297297296,10.297297297297296,12.31012128230671,0.9934585694106298,37,37,0
VP_003,ftsst,Math,102.97297297297297,92.62162162162163,10.35135135135135,10.35135135135135,10.507177020028898,0.9924864452025635,37,37,0
VP_003,ftsst,Pause_5,101.5,89.1,12.4,12.4,12.591119811359832,0.995959070239129,10,10,0
VP_004,tsst,Prep,89.0,80.73529411764706,8.264705882352942,15.735294117647058,17.47967358914998,0.5220062655010829,34,34,0
VP_004,tsst,Pause_1,105.6,97.5,8.1,8.1,7.699940367389625,0.979659277910688,10,10,0
VP_004,tsst,Talk,80.52631578947368,72.05263157894737,8.473684210526315,8.473684210526315,10.98549182197044,0.9929166407060147,38,38,0
VP_004,tsst,Math,83.07894736842105,74.26315789473684,8.81578947368421,8.81578947368421,11.037359316678325,0.9897009691819998,38,38,0
VP_004,tsst,Pause_5,115.0,108.6,6.4,6.4,5.567854894237903,0.974805705318114,10,10,0
VP_004,ftsst,Prep,87.5,73.0,14.5,14.5,16.652999479172642,0.9244605693571045,36,36,0
VP_004,ftsst,Pause_1,77.58333333333333,66.91666666666667,10.666666666666666,10.666666666666666,12.34112355055234,0.9524124206991573,12,12,0
VP_004,ftsst,Talk,118.02941176470588,110.94117647058823,7.088235294117647,7.088235294117647,6.045522096866506,0.9951551307766562,34,34,0
VP_004,ftsst,Math,102.97222222222223,93.88888888888889,9.083333333333334,9.083333333333334,8.946649919193371,0.9895655827356049,36,36,0
VP_004,ftsst,Pause_5,115.5,102.8,12.7,12.7,11.459194308651519,0.9841608378135767,10,10,0
VP_005,tsst,Prep,58.5,48.04081632653061,11.10204081632653,11.755102040816327,20.425769057941807,0.8696664440620631,50,49,1
VP_005,tsst,Pause_1,46.421052631578945,38.31578947368421,8.105263157894736,8.105263157894736,17.63668022306698,0.9466379858357594,19,19,0
VP_005,tsst,Talk,58.333333333333336,49.541666666666664,8.791666666666666,8.791666666666666,17.963324906091092,0.9916202665258087,48,48,0
VP_005,tsst,Math,48.870370370370374,39.74074074074074,9.12962962962963,9.12962962962963,23.33229457626433,0.9866709589487314,54,54,0
VP_005,tsst,Pause_5,98.66666666666667,89.53333333333333,9.133333333333333,9.133333333333333,10.142285732160301,0.9899748869325931,15,15,0
VP_005,ftsst,Prep,51.275,40.3,10.975,10.975,22.783702092260476,0.9856609497939436,40,40,0
VP_005,ftsst,Pause_1,62.64705882352941,49.1764705882353,13.470588235294118,13.470588235294118,22.38026413577076,0.9347704503049736,17,17,0
VP_005,ftsst,Talk,79.94,70.26,9.68,9.68,13.300816558973453,0.9796158358633322,50,50,0
VP_005,ftsst,Math,110.53191489361703,98.7872340425532,11.74468085106383,11.74468085106383,10.76483056846346,0.9744436255594058,47,47,0
VP_005,ftsst,Pause_5,130.85714285714286,121.0,9.857142857142858,9.857142857142858,7.543325996532711,0.9720628205048093,14,14,0
VP_020,tsst,Prep,37.93617021276596,26.23404255319149,11.702127659574469,11.702127659574469,33.23619910990038,0.9798277469325187,47,47,0
VP_020,tsst,Pause_1,35.333333333333336,23.916666666666668,11.416666666666666,11.416666666666666,36.1612220740438,0.9720588094021716,12,12,0
VP_020,tsst,Talk,55.55555555555556,45.84444444444444,9.71111111111111,9.71111111111111,21.08234445249282,0.9897305022378546,45,45,0
VP_020,tsst,Math,63.47727272727273,54.11363636363637,9.363636363636363,9.363636363636363,19.222915866107428,0.9902287364881104,44,44,0
VP_020,tsst,Pause_5,109.08333333333333,97.91666666666667,11.166666666666666,11.166666666666666,10.184241712640619,0.44326477502488226,12,12,0
VP_020,ftsst,Prep,48.35,39.925,8.425,8.425,19.625612580093243,0.9916767579206953,40,40,0
VP_020,ftsst,Pause_1,41.35294117647059,29.941176470588236,11.411764705882353,11.411764705882353,29.45460734181888,0.9808327136397844,17,17,0
VP_020,ftsst,Talk,65.6,54.84444444444444,10.755555555555556,10.755555555555556,20.863387315328243,0.9978104952868903,45,45,0
VP_020,ftsst,Math,70.6842105263158,61.26315789473684,9.421052631578947,9.421052631578947,15.882299229090671,0.9967488228967832,38,38,0
VP_020,ftsst,Pause_5,106.33333333333333,94.91666666666667,11.416666666666666,11.416666666666666,11.742525501964886,0.9948183432802802,12,12,0
VP_022,tsst,Prep,102.41176470588235,92.8529411764706,9.558823529411764,9.558823529411764,9.43840289064902,0.9803638741193355,34,34,0
VP_022,tsst,Pause_1,94.25,84.25,10.0,10.0,10.76094071556509,0.9913891192311919,12,12,0
VP_022,tsst,Talk,108.0909090909091,97.57142857142857,9.80952380952381,9.80952380952381,9.676029837819442,0.9925316014075432,22,21,1
VP_022,tsst,Math,104.77777777777777,95.25,9.527777777777779,9.527777777777779,9.272765345275074,0.9871506247224955,36,36,0
VP_022,tsst,Pause_5,103.63636363636364,93.36363636363636,10.272727272727273,10.272727272727273,10.05342002691887,0.9932118201054019,11,11,0
VP_022,ftsst,Prep,104.85714285714286,95.51428571428572,9.342857142857143,9.342857142857143,8.962637606550638,0.9807935502944615,35,35,0
VP_022,ftsst,Pause_1,97.36363636363636,88.36363636363636,9.0,9.0,10.361082441115666,0.9981493196738325,11,11,0
VP_022,ftsst,Talk,106.54545454545455,97.54545454545455,9.0,9.0,8.599595431549274,0.9902824761710057,33,33,0
VP_022,ftsst,Math,106.88235294117646,97.3529411764706,9.529411764705882,9.529411764705882,8.994613459898916,0.994296104820637,34,34,0
VP_022,ftsst,Pause_5,110.72727272727273,101.0,9.727272727272727,9.727272727272727,8.865448262107433,0.9932058098782132,11,11,0
VP_023,tsst,Prep,87.12903225806451,73.7741935483871,13.35483870967742,13.35483870967742,15.334022513647696,0.8475568179648656,31,31,0
VP_023,tsst,Pause_1,86.22222222222223,74.33333333333333,11.88888888888889,11.88888888888889,13.81399663142046,0.9366730995754484,9,9,0
VP_023,tsst,Talk,92.97222222222223,78.5,14.472222222222221,14.472222222222221,16.196013574714755,0.9952219693626979,36,36,0
VP_023,tsst,Math,86.02173913043478,70.71739130434783,15.304347826086957,15.304347826086957,17.808624245612336,0.8145429652317592,46,46,0
VP_023,tsst,Pause_5,98.4,88.0,10.4,10.4,10.649072444448242,0.9908922046571212,10,10,0
VP_023,ftsst,Prep,82.45945945945945,67.27027027027027,15.18918918918919,15.18918918918919,18.495083617918073,0.9184777814051529,37,37,0
VP_023,ftsst,Pause_1,85.7,70.2,15.5,15.5,18.03119829145727,0.7674495629475154,10,10,0
VP_023,ftsst,Talk,92.3125,76.40625,15.90625,15.90625,17.638770749574967,0.9819851543720531,32,32,0
VP_023,ftsst,Math,88.94444444444444,72.25,16.694444444444443,16.694444444444443,19.2390382674163,0.9568330637028852,36,36,0
VP_023,ftsst,Pause_5,95.2,78.1,17.1,17.1,17.984535305697456,0.90921414631678,10,10,0
VP_026,tsst,Prep,86.91228070175438,74.63157894736842,12.280701754385966,12.280701754385966,14.13918820645319,0.9750570652675091,57,57,0
VP_026,tsst,Pause_1,80.21052631578948,68.3157894736842,11.894736842105264,11.894736842105264,14.836433506843028,0.9446499964988445,19,19,0
VP_026,tsst,Talk,80.41269841269842,68.61904761904762,11.793650793650794,11.793650793650794,14.469156957125682,0.7837517561502707,63,63,0
