participant,condition,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
VP_001,tsst,Prep,73.57692307692308,60.21153846153846,13.365384615384615,13.75,19.09115937853923,52,52,0
VP_001,tsst,Pause_1,72.75,72.91666666666667,-0.16666666666666666,37.666666666666664,56.40557248884317,12,12,0
VP_001,tsst,Talk,85.74468085106383,64.97727272727273,20.454545454545453,31.954545454545453,36.57698636919538,47,44,3
VP_001,tsst,Math,69.52727272727273,54.388888888888886,15.018518518518519,22.64814814814815,31.861698501725293,55,54,1
VP_001,tsst,Pause_5,70.15384615384616,24.692307692307693,45.46153846153846,45.46153846153846,62.5340754846262,13,13,0
VP_001,ftsst,Prep,75.32,55.74,19.58,19.78,25.88182557155264,50,50,0
VP_001,ftsst,Pause_1,59.666666666666664,33.733333333333334,25.933333333333334,25.933333333333334,42.49751541666103,15,15,0
VP_001,ftsst,Talk,91.6590909090909,74.06818181818181,17.59090909090909,22.227272727272727,24.25193762719528,44,44,0
VP_001,ftsst,Math,88.95121951219512,54.775,35.15,36.85,40.45322887517295,41,40,1
VP_001,ftsst,Pause_5,105.38461538461539,37.23076923076923,68.15384615384616,68.15384615384616,65.33585464266068,13,13,0
VP_002,tsst,Prep,79.53571428571429,20.428571428571427,59.42857142857143,59.42857142857143,74.29833709142623,56,49,7
VP_002,tsst,Pause_1,78.05,43.81818181818182,38.45454545454545,38.45454545454545,46.791412446761115,20,11,9
VP_002,tsst,Talk,71.22727272727273,32.68421052631579,38.31578947368421,38.31578947368421,53.36164835812825,66,19,47
VP_002,tsst,Math,79.18181818181819,34.53333333333333,45.333333333333336,45.333333333333336,56.46734505060051,66,15,51
VP_002,tsst,Pause_5,112.38888888888889,57.857142857142854,52.57142857142857,52.857142857142854,47.13873024581498,18,7,11
VP_002,ftsst,Prep,95.02380952380952,50.714285714285715,44.57142857142857,44.57142857142857,44.77388354369108,42,28,14
VP_002,ftsst,Pause_1,61.95,54.77777777777778,8.444444444444445,8.444444444444445,13.743285127756216,20,9,11
VP_002,ftsst,Talk,85.0,60.390243902439025,23.951219512195124,25.5609756097561,29.004987206580775,51,41,10
VP_002,ftsst,Math,67.6734693877551,49.27272727272727,17.818181818181817,18.40909090909091,27.795604653754115,49,44,5
VP_002,ftsst,Pause_5,116.58823529411765,67.55555555555556,48.55555555555556,48.55555555555556,42.44654650744435,17,9,8
VP_003,tsst,Prep,67.275,35.95,31.325,31.325,46.67281765193113,40,40,0
VP_003,tsst,Pause_1,66.3,56.6,9.7,9.7,14.59958056649233,10,10,0
VP_003,tsst,Talk,66.30434782608695,52.65217391304348,13.652173913043478,13.652173913043478,21.037260244137556,46,46,0
VP_003,tsst,Math,69.67441860465117,57.16279069767442,12.511627906976743,12.511627906976743,18.12493197070719,43,43,0
VP_003,tsst,Pause_5,96.54545454545455,68.54545454545455,28.0,28.0,27.54677211706768,11,11,0
VP_003,ftsst,Prep,112.11764705882354,78.79411764705883,33.3235294117647,33.3235294117647,28.722599752947602,34,34,0
VP_003,ftsst,Pause_1,97.91666666666667,75.41666666666667,22.5,22.5,21.222980231974834,12,12,0
VP_003,ftsst,Talk,98.55,83.425,15.125,27.725,25.87082292491582,40,40,0
VP_003,ftsst,Math,102.67567567567568,79.61111111111111,22.77777777777778,27.11111111111111,25.97179627925415,37,36,1
VP_003,ftsst,Pause_5,118.0,84.6,33.4,33.4,27.51552181294277,10,10,0
VP_004,tsst,Prep,116.1470588235294,90.23529411764706,25.91176470588235,25.91176470588235,20.305486118295985,34,34,0
VP_004,tsst,Pause_1,133.6,96.7,36.9,36.9,27.613596070666233,10,10,0
VP_004,tsst,Talk,125.52272727272727,106.73170731707317,18.804878048780488,35.8780487804878,27.085583707183915,44,41,3
VP_004,tsst,Math,119.16216216216216,91.0,28.16216216216216,28.16216216216216,21.600767765832174,37,37,0
VP_004,tsst,Pause_5,134.6,99.1,35.5,35.5,25.723749569093307,10,10,0
VP_004,ftsst,Prep,102.08333333333333,91.0,11.083333333333334,12.416666666666666,11.443904095609003,36,36,0
VP_004,ftsst,Pause_1,103.0,65.5,37.5,37.5,36.293862444868324,12,12,0
VP_004,ftsst,Talk,123.29411764705883,97.3529411764706,25.941176470588236,27.235294117647058,22.22044174372622,34,34,0
VP_004,ftsst,Math,123.42857142857143,98.22857142857143,25.2,25.2,19.3752249233627,35,35,0
VP_004,ftsst,Pause_5,136.1,93.9,42.2,42.2,30.942589039694212,10,10,0
VP_005,tsst,Prep,65.25490196078431,31.862745098039216,33.3921568627451,33.3921568627451,50.33408839118183,51,51,0
VP_005,tsst,Pause_1,54.705882352941174,27.272727272727273,26.818181818181817,26.818181818181817,51.040071763015845,17,11,6
VP_005,tsst,Talk,69.94117647058823,42.411764705882355,27.529411764705884,27.568627450980394,37.424953091874784,51,51,0
VP_005,tsst,Math,64.71428571428571,33.90243902439025,32.73170731707317,33.21951219512195,46.370701657309255,56,41,15
VP_005,tsst,Pause_5,101.06666666666666,47.93333333333333,53.13333333333333,53.13333333333333,52.55091719100535,15,15,0
VP_005,ftsst,Prep,65.22727272727273,45.93181818181818,19.295454545454547,21.34090909090909,31.46146978686123,44,44,0
VP_005,ftsst,Pause_1,74.33333333333333,41.64705882352941,32.23529411764706,32.23529411764706,43.65437195057571,18,17,1
VP_005,ftsst,Talk,83.15094339622641,58.35294117647059,24.88235294117647,24.96078431372549,28.455468041852857,53,51,2
VP_005,ftsst,Math,111.10204081632654,93.6734693877551,17.428571428571427,18.612244897959183,18.199875840559823,49,49,0
VP_005,ftsst,Pause_5,133.07142857142858,129.0,4.071428571428571,4.071428571428571,3.072509088287603,14,14,0
VP_020,tsst,Prep,78.46938775510205,40.395833333333336,37.541666666666664,37.541666666666664,44.83931195009874,49,48,1
VP_020,tsst,Pause_1,82.78571428571429,33.5,39.0,42.4,57.35592169918563,14,10,4
VP_020,tsst,Talk,73.53061224489795,59.808510638297875,14.0,21.74468085106383,29.30457099903441,49,47,2
VP_020,tsst,Math,94.43478260869566,54.71111111111111,39.17777777777778,43.71111111111111,45.03271414510061,46,45,1
VP_020,tsst,Pause_5,112.83333333333333,37.333333333333336,75.5,75.5,66.91247552551174,12,12,0
VP_020,ftsst,Prep,66.0,46.04761904761905,20.69047619047619,24.976190476190474,34.70575545605631,43,42,1
VP_020,ftsst,Pause_1,63.0,47.77777777777778,12.88888888888889,14.222222222222221,21.643706068245805,16,9,7
VP_020,ftsst,Talk,82.95121951219512,48.256410256410255,34.256410256410255,35.02564102564103,39.735624247648424,41,39,2
VP_020,ftsst,Math,76.86046511627907,48.25581395348837,28.6046511627907,36.372093023255815,43.66210297925019,43,43,0
VP_020,ftsst,Pause_5,113.0,40.583333333333336,72.41666666666667,72.41666666666667,63.721429893198916,12,12,0
VP_022,tsst,Prep,104.70588235294117,45.4375,59.65625,59.65625,55.433402597650066,34,32,2
VP_022,tsst,Pause_1,92.25,46.36363636363637,45.72727272727273,45.72727272727273,47.63216580265894,12,11,1
VP_022,tsst,Talk,113.87179487179488,109.53846153846153,4.333333333333333,12.282051282051283,11.310563446759856,39,39,0
VP_022,tsst,Math,112.0,52.84848484848485,60.666666666666664,60.666666666666664,52.97434376263221,36,33,3
