participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,150.1290322580645,-17.93548387096774,17.93548387096774,16.038360539831903,62,62,0
GDN0005,Valsalva,143.77777777777777,147.46031746031747,-3.6825396825396823,7.428571428571429,5.446460145961514,63,63,0
GDN0005,HoldingBreath,132.86153846153846,142.8,-9.938461538461539,11.353846153846154,9.185593357279254,65,65,0
GDN0005,TiltUp,165.30666666666667,172.85333333333332,-7.546666666666667,11.44,7.0106168876360835,75,75,0
GDN0005,TiltDown,128.46428571428572,148.07142857142858,-19.607142857142858,19.607142857142858,18.031008857514504,56,56,0
GDN0006,Pause,165.8148148148148,173.22222222222223,-7.407407407407407,7.407407407407407,4.66625789064038,54,54,0
GDN0006,Valsalva,159.0,169.33333333333334,-10.333333333333334,10.333333333333334,6.78517376422646,54,54,0
GDN0006,TiltUp,191.15625,199.03125,-7.875,7.875,4.1592328400231215,64,64,0
GDN0006,TiltDown,151.92727272727274,164.94545454545454,-13.018181818181818,13.018181818181818,9.385713422017487,55,55,0
GDN0007,Pause,134.61290322580646,156.7741935483871,-22.161290322580644,22.161290322580644,18.51145838722528,62,62,0
GDN0007,Valsalva,144.73684210526315,163.26315789473685,-18.526315789473685,18.526315789473685,13.51714100278509,57,57,0
GDN0007,HoldingBreath,141.16363636363636,160.72727272727272,-19.563636363636363,19.563636363636363,14.9921604235122,55,55,0
GDN0007,TiltUp,156.02857142857144,172.0857142857143,-16.057142857142857,16.057142857142857,10.517684861172444,70,70,0
GDN0007,TiltDown,139.05454545454546,157.6727272727273,-18.618181818181817,20.072727272727274,16.305840425929816,55,55,0
GDN0008,Pause,158.9090909090909,171.27272727272728,-12.363636363636363,12.436363636363636,8.16767237510167,55,55,0
GDN0008,Valsalva,164.14285714285714,174.89285714285714,-10.75,10.892857142857142,6.887979711097011,56,56,0
GDN0008,HoldingBreath,173.46268656716418,172.8235294117647,-8.352941176470589,8.823529411764707,5.6966558277912105,67,17,50
GDN0008,TiltUp,183.91044776119404,190.10714285714286,-8.0,10.285714285714286,5.909411708039454,67,56,11
GDN0008,TiltDown,172.1153846153846,182.34615384615384,-10.23076923076923,11.76923076923077,7.302802584420921,52,52,0
GDN0009,Pause,150.34615384615384,158.37037037037038,-14.666666666666666,20.88888888888889,14.843431634703363,52,27,25
GDN0009,Valsalva,142.23076923076923,163.72727272727272,-23.318181818181817,25.40909090909091,19.002194991636287,52,44,8
GDN0009,TiltUp,156.675,171.0,-16.083333333333332,21.083333333333332,14.419322440732676,80,24,56
GDN0009,TiltDown,152.20408163265307,164.4,-15.8,24.333333333333332,17.21201520318542,49,30,19
GDN0010,Pause,125.9090909090909,150.45454545454547,-24.545454545454547,26.181818181818183,23.16067168668268,44,44,0
GDN0010,HoldingBreath,121.48936170212765,143.36170212765958,-21.872340425531913,26.21276595744681,26.524122166428693,47,47,0
GDN0010,TiltUp,136.54545454545453,154.63636363636363,-18.09090909090909,23.454545454545453,18.815023759661635,44,44,0
GDN0010,TiltDown,121.17073170731707,151.26829268292684,-30.097560975609756,30.097560975609756,29.850511300058614,41,41,0
GDN0011,Pause,132.59649122807016,153.78947368421052,-21.19298245614035,21.19298245614035,17.315704598635993,57,57,0
GDN0011,Valsalva,121.9672131147541,141.18032786885246,-19.21311475409836,21.901639344262296,19.184623616890356,61,61,0
GDN0011,HoldingBreath,134.63636363636363,150.63636363636363,-16.0,17.09090909090909,13.65587025174983,66,66,0
