participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,143.06451612903226,-10.870967741935484,20.741935483870968,17.52674133587419,62,62,0
GDN0005,Valsalva,143.77777777777777,161.74603174603175,-17.96825396825397,24.063492063492063,17.58051194925125,63,63,0
GDN0005,HoldingBreath,132.86153846153846,134.30769230769232,-1.4461538461538461,17.50769230769231,14.031326578556417,65,65,0
GDN0005,TiltUp,165.30666666666667,167.30666666666667,-2.0,12.24,8.558273582545,75,75,0
GDN0005,TiltDown,128.46428571428572,149.35714285714286,-20.892857142857142,25.535714285714285,23.097868239451948,56,56,0
GDN0006,Pause,165.8148148148148,164.92592592592592,0.8888888888888888,11.037037037037036,6.690330964817435,54,54,0
GDN0006,Valsalva,159.0,153.7037037037037,5.296296296296297,6.777777777777778,4.245328256576112,54,54,0
GDN0006,TiltUp,191.15625,192.65625,-1.5,15.875,8.252537630531446,64,64,0
GDN0006,TiltDown,151.92727272727274,146.29090909090908,5.636363636363637,8.763636363636364,6.111507581555713,55,55,0
GDN0007,Pause,134.61290322580646,150.2258064516129,-15.612903225806452,18.258064516129032,16.87086569046619,62,62,0
GDN0007,Valsalva,144.73684210526315,158.52631578947367,-13.789473684210526,17.57894736842105,13.370697523464397,57,57,0
GDN0007,HoldingBreath,141.16363636363636,149.6727272727273,-8.50909090909091,13.527272727272727,10.374405418914815,55,55,0
GDN0007,TiltUp,156.02857142857144,158.54285714285714,-2.5142857142857142,16.228571428571428,10.599622059887551,70,70,0
GDN0007,TiltDown,139.05454545454546,157.12727272727273,-18.072727272727274,23.381818181818183,20.108795960698796,55,55,0
GDN0008,Pause,158.9090909090909,166.54545454545453,-7.636363636363637,18.618181818181817,11.738159631248166,55,55,0
GDN0008,Valsalva,164.14285714285714,166.92857142857142,-2.7857142857142856,15.5,9.529099505850995,56,56,0
GDN0008,HoldingBreath,173.46268656716418,197.64705882352942,-33.1764705882353,34.35294117647059,21.635708363309785,67,17,50
GDN0008,TiltUp,183.91044776119404,201.53571428571428,-19.428571428571427,29.428571428571427,16.74110296956018,67,56,11
GDN0008,TiltDown,172.1153846153846,175.65384615384616,-3.5384615384615383,23.23076923076923,13.907788492718403,52,52,0
GDN0009,Pause,150.34615384615384,172.74074074074073,-29.037037037037038,29.62962962962963,20.797839456182967,52,27,25
GDN0009,Valsalva,142.23076923076923,176.36363636363637,-35.95454545454545,36.77272727272727,27.798507301322136,52,44,8
GDN0009,TiltUp,156.675,198.41666666666666,-43.5,44.833333333333336,30.35255955145331,80,24,56
GDN0009,TiltDown,152.20408163265307,176.13333333333333,-27.533333333333335,29.666666666666668,21.529284843105543,49,30,19
GDN0010,Pause,125.9090909090909,167.5,-41.59090909090909,42.95454545454545,37.43387294872505,44,44,0
GDN0010,HoldingBreath,121.48936170212765,149.61702127659575,-28.127659574468087,33.234042553191486,34.207300673349785,47,47,0
GDN0010,TiltUp,136.54545454545453,169.54545454545453,-33.0,35.72727272727273,29.615363307083843,44,44,0
GDN0010,TiltDown,121.17073170731707,148.6829268292683,-27.51219512195122,29.75609756097561,29.08951940088571,41,41,0
GDN0011,Pause,132.59649122807016,150.3859649122807,-17.789473684210527,24.24561403508772,19.208461711652447,57,57,0
GDN0011,Valsalva,121.9672131147541,143.11475409836066,-21.147540983606557,25.868852459016395,22.72777949437367,61,61,0
GDN0011,HoldingBreath,134.63636363636363,151.24242424242425,-16.606060606060606,23.575757575757574,18.70572426596201,66,66,0
GDN0011,TiltUp,149.11627906976744,163.3953488372093,-14.279069767441861,25.069767441860463,17.052400226913004,86,86,0
GDN0011,TiltDown,124.53571428571429,132.46428571428572,-7.928571428571429,18.714285714285715,15.61856224454657,56,56,0
GDN0012,Pause,115.40625,163.53125,-48.125,48.6875,47.81852979634892,64,64,0
GDN0012,Valsalva,127.64179104477611,150.62295081967213,-25.34426229508197,27.311475409836067,23.28420081601456,67,61,6
GDN0012,HoldingBreath,128.0,167.59375,-39.59375,39.96875,34.80841178370081,64,64,0
GDN0012,TiltUp,153.85365853658536,179.4814814814815,-25.925925925925927,27.62962962962963,18.611218131460216,82,54,28
GDN0012,TiltDown,113.06849315068493,132.73972602739727,-19.671232876712327,21.80821917808219,21.350426504941993,73,73,0
GDN0013,Pause,152.21212121212122,160.4375,-8.3125,21.6875,14.729038028012207,66,64,2
GDN0013,Valsalva,152.43076923076924,162.875,-10.34375,22.09375,14.93421695500984,65,64,1
GDN0013,HoldingBreath,143.18032786885246,166.135593220339,-22.983050847457626,27.93220338983051,23.435193103924632,61,59,2
GDN0013,TiltUp,148.675,157.175,-8.5,17.2,11.80118198701518,80,80,0
GDN0013,TiltDown,141.36507936507937,162.15873015873015,-20.793650793650794,25.80952380952381,18.89768243801,63,63,0
GDN0014,Pause,110.92957746478874,127.04225352112677,-16.112676056338028,17.802816901408452,19.939134204143286,71,71,0
GDN0014,Valsalva,99.88888888888889,133.33333333333334,-33.44444444444444,34.05555555555556,43.53781965447116,72,72,0
GDN0014,HoldingBreath,120.57971014492753,138.94736842105263,-23.05263157894737,23.894736842105264,23.49852982032552,69,19,50
GDN0014,TiltUp,135.89247311827958,140.81720430107526,-4.924731182795699,6.172043010752688,4.923121256099643,93,93,0
GDN0014,TiltDown,114.52459016393442,135.46428571428572,-21.535714285714285,21.75,25.193364070608972,61,56,5
GDN0016,Pause,128.2127659574468,148.25531914893617,-20.04255319148936,21.319148936170212,19.82139782549116,47,47,0
GDN0016,Valsalva,127.6923076923077,160.65384615384616,-32.96153846153846,33.80769230769231,30.90012143498985,52,52,0
GDN0016,HoldingBreath,129.73076923076923,158.80769230769232,-29.076923076923077,34.15384615384615,31.21127264000381,52,52,0
GDN0016,TiltUp,159.75675675675674,174.45945945945945,-14.702702702702704,23.513513513513512,14.91781201092593,74,74,0
GDN0016,TiltDown,122.41666666666667,159.91666666666666,-37.5,38.5,34.98888647413376,48,48,0
GDN0017,Valsalva,156.45901639344262,156.29508196721312,0.16393442622950818,9.868852459016393,6.232275728816401,61,61,0
GDN0017,HoldingBreath,153.90322580645162,161.38709677419354,-7.483870967741935,13.225806451612904,8.913471126650755,62,62,0
GDN0017,TiltUp,172.97222222222223,213.38888888888889,-40.416666666666664,40.47222222222222,24.150321166239934,72,72,0
GDN0017,TiltDown,156.12698412698413,163.33333333333334,-7.2063492063492065,11.587301587301587,7.759188711895528,63,63,0
GDN0018,Pause,96.70967741935483,120.16129032258064,-23.451612903225808,28.225806451612904,33.87574134092242,62,62,0
GDN0018,Valsalva,97.18840579710145,139.2753623188406,-42.08695652173913,42.14492753623188,47.35711151270863,69,69,0
GDN0018,HoldingBreath,94.70967741935483,136.70967741935485,-42.0,42.516129032258064,59.933110461325505,62,62,0
GDN0018,TiltUp,138.35051546391753,155.0625,-16.8125,17.1875,13.424573764628072,97,96,1
GDN0019,Pause,103.3061224489796,111.42857142857143,-8.122448979591837,17.510204081632654,18.38269800912218,49,49,0
