participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,158.58064516129033,-26.387096774193548,27.096774193548388,23.421115878025702,62,62,0
GDN0005,Valsalva,143.77777777777777,160.6984126984127,-16.92063492063492,17.80952380952381,13.361285125201459,63,63,0
GDN0005,HoldingBreath,132.86153846153846,154.98461538461538,-22.123076923076923,22.8,18.467808370092193,65,65,0
GDN0005,TiltUp,165.30666666666667,184.08,-18.773333333333333,19.52,13.313913778124668,75,75,0
GDN0005,TiltDown,128.46428571428572,164.89285714285714,-36.42857142857143,36.42857142857143,32.456192792454196,56,56,0
GDN0006,Pause,165.8148148148148,182.44444444444446,-16.62962962962963,16.62962962962963,10.346620292803482,54,54,0
GDN0006,Valsalva,159.0,178.0,-19.0,19.0,12.325544668298525,54,54,0
GDN0006,TiltUp,191.15625,208.875,-17.71875,17.71875,9.363051738165954,64,64,0
GDN0006,TiltDown,151.92727272727274,176.72727272727272,-24.8,24.8,17.41753066245184,55,55,0
GDN0007,Pause,134.61290322580646,164.32258064516128,-29.70967741935484,30.870967741935484,25.960235545451578,62,62,0
GDN0007,Valsalva,144.73684210526315,171.5438596491228,-26.80701754385965,26.80701754385965,19.75375233978837,57,57,0
GDN0007,HoldingBreath,141.16363636363636,161.85454545454544,-20.69090909090909,25.636363636363637,19.118092837599505,55,55,0
GDN0007,TiltUp,156.02857142857144,184.28571428571428,-28.257142857142856,28.257142857142856,18.534198783553983,70,70,0
GDN0007,TiltDown,139.05454545454546,166.5090909090909,-27.454545454545453,27.963636363636365,23.027515967337756,55,55,0
GDN0008,Pause,158.9090909090909,180.1818181818182,-21.272727272727273,21.272727272727273,13.797303478212962,55,55,0
GDN0008,Valsalva,164.14285714285714,181.71428571428572,-17.571428571428573,17.714285714285715,11.189877450557178,56,56,0
GDN0008,HoldingBreath,173.46268656716418,187.05882352941177,-22.58823529411765,22.58823529411765,14.266702291142762,67,17,50
GDN0008,TiltUp,183.91044776119404,196.89285714285714,-14.785714285714286,17.714285714285715,10.166832616959736,67,56,11
