participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,107.90163934426229,24.491803278688526,26.0,19.24213421791551,62,61,1
GDN0005,Valsalva,143.77777777777777,127.51612903225806,16.677419354838708,17.129032258064516,11.458682956060056,63,62,1
GDN0005,HoldingBreath,132.86153846153846,114.90625,18.59375,20.65625,15.225682666508545,65,64,1
GDN0005,TiltUp,165.30666666666667,177.1081081081081,-11.91891891891892,16.72972972972973,11.101563953065378,75,74,1
GDN0005,TiltDown,128.46428571428572,82.98181818181818,45.2,46.14545454545455,34.71010935591367,56,55,1
GDN0006,Pause,165.8148148148148,163.5,2.5,5.346153846153846,3.1914666947769588,54,52,2
GDN0006,Valsalva,159.0,140.71698113207546,18.452830188679247,21.0188679245283,13.204990626439988,54,53,1
GDN0006,TiltUp,191.15625,191.42857142857142,-0.25396825396825395,3.238095238095238,1.7088321794777541,64,63,1
GDN0006,TiltDown,151.92727272727274,148.55555555555554,3.2962962962962963,8.333333333333334,5.982858068854181,55,54,1
GDN0007,Pause,134.61290322580646,93.8360655737705,40.68852459016394,40.68852459016394,29.13984286677919,62,61,1
GDN0007,Valsalva,144.73684210526315,132.53571428571428,12.857142857142858,14.785714285714286,10.181689215566593,57,56,1
GDN0007,HoldingBreath,141.16363636363636,122.18518518518519,18.74074074074074,21.555555555555557,15.014659274961218,55,54,1
GDN0007,TiltUp,156.02857142857144,153.768115942029,1.9710144927536233,9.44927536231884,6.136036174353721,70,69,1
GDN0007,TiltDown,139.05454545454546,92.56,45.4,45.4,30.885735394311787,55,50,5
GDN0008,Pause,158.9090909090909,158.07407407407408,1.1111111111111112,7.62962962962963,4.767810297026767,55,54,1
GDN0008,Valsalva,164.14285714285714,162.0,2.1818181818181817,9.89090909090909,5.986680670088851,56,55,1
GDN0008,HoldingBreath,173.46268656716418,177.05882352941177,-12.588235294117647,15.411764705882353,9.541192295549727,67,17,50
GDN0008,TiltUp,183.91044776119404,180.5,1.6071428571428572,19.178571428571427,10.542028232458142,67,56,11
GDN0008,TiltDown,172.1153846153846,172.7843137254902,0.27450980392156865,9.843137254901961,5.820970149159729,52,51,1
GDN0009,Pause,150.34615384615384,192.88888888888889,-49.18518518518518,49.18518518518518,34.7938796953296,52,27,25
GDN0009,Valsalva,142.23076923076923,193.06976744186048,-53.30232558139535,53.674418604651166,39.56593672634271,52,43,9
GDN0009,TiltUp,156.675,171.16666666666666,-16.25,22.916666666666668,15.990964897746416,80,24,56
GDN0009,TiltDown,152.20408163265307,192.4,-43.8,46.333333333333336,32.42727476094657,49,30,19
GDN0010,Pause,125.9090909090909,104.18604651162791,21.767441860465116,29.86046511627907,22.649308277628894,44,43,1
GDN0010,HoldingBreath,121.48936170212765,96.0,25.782608695652176,26.217391304347824,19.562951253504394,47,46,1
GDN0010,TiltUp,136.54545454545453,112.23809523809524,23.61904761904762,27.238095238095237,19.733126208964404,44,42,2
GDN0010,TiltDown,121.17073170731707,87.55,33.3,33.3,25.65828119741592,41,40,1
GDN0011,Pause,132.59649122807016,110.82142857142857,21.428571428571427,21.428571428571427,16.02618208797002,57,56,1
GDN0011,Valsalva,121.9672131147541,101.56666666666666,20.3,21.633333333333333,17.96304219117131,61,60,1
GDN0011,HoldingBreath,134.63636363636363,127.41538461538461,7.230769230769231,10.738461538461538,8.11902468542449,66,65,1
GDN0011,TiltUp,149.11627906976744,150.58823529411765,-1.388235294117647,6.894117647058824,4.777456814657977,86,85,1
GDN0011,TiltDown,124.53571428571429,113.11111111111111,11.407407407407407,15.11111111111111,11.469139518279649,56,54,2
GDN0012,Pause,115.40625,101.77777777777777,13.301587301587302,23.333333333333332,19.091119425580697,64,63,1
GDN0012,Valsalva,127.64179104477611,111.59322033898304,14.0,17.050847457627118,13.378156207901217,67,59,8
GDN0012,HoldingBreath,128.0,109.36507936507937,18.825396825396826,22.444444444444443,18.75655935509402,64,63,1
GDN0012,TiltUp,153.85365853658536,145.03703703703704,8.518518518518519,10.592592592592593,6.666579948838001,82,54,28
GDN0012,TiltDown,113.06849315068493,88.77777777777777,24.694444444444443,29.52777777777778,24.76960208385068,73,72,1
GDN0013,Pause,152.21212121212122,150.53125,1.59375,5.90625,3.7995737354979426,66,64,2
GDN0013,Valsalva,152.43076923076924,146.79365079365078,5.650793650793651,8.444444444444445,5.518192352544915,65,63,2
GDN0013,HoldingBreath,143.18032786885246,138.10344827586206,4.931034482758621,14.172413793103448,12.495109025657973,61,58,3
GDN0013,TiltUp,148.675,149.41772151898735,-0.8607594936708861,7.89873417721519,5.397796331162399,80,79,1
GDN0013,TiltDown,141.36507936507937,143.06451612903226,-1.5806451612903225,11.064516129032258,7.5950597825575095,63,62,1
GDN0014,Pause,110.92957746478874,53.08695652173913,58.08695652173913,58.08695652173913,53.15084471507989,71,46,25
GDN0014,Valsalva,99.88888888888889,57.41538461538462,43.10769230769231,44.58461538461538,43.21829256142016,72,65,7
