participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,133.38709677419354,-1.1935483870967742,21.322580645161292,16.881422207243027,62,62,0
GDN0005,Valsalva,143.77777777777777,129.93650793650792,13.841269841269842,20.88888888888889,14.015753391550305,63,63,0
GDN0005,HoldingBreath,132.86153846153846,137.90769230769232,-5.046153846153846,13.661538461538461,10.784007768032382,65,65,0
GDN0005,TiltUp,165.30666666666667,136.32,28.986666666666668,39.76,24.181320994666457,75,75,0
GDN0005,TiltDown,128.46428571428572,115.35714285714286,13.107142857142858,29.964285714285715,23.52130129117336,56,56,0
GDN0006,Pause,165.8148148148148,167.37037037037038,-1.5555555555555556,7.2592592592592595,4.467841003214157,54,54,0
GDN0006,Valsalva,159.0,161.37037037037038,-2.3703703703703702,8.074074074074074,5.238941718755182,54,54,0
GDN0006,TiltUp,191.15625,205.34375,-14.1875,14.1875,7.468407914547957,64,64,0
GDN0006,TiltDown,151.92727272727274,150.1818181818182,1.7454545454545454,13.6,9.44716926226362,55,55,0
GDN0007,Pause,134.61290322580646,108.64516129032258,25.967741935483872,36.096774193548384,26.178850099232235,62,62,0
GDN0007,Valsalva,144.73684210526315,97.50877192982456,47.228070175438596,50.3859649122807,34.24093669768449,57,57,0
GDN0007,HoldingBreath,141.16363636363636,110.69090909090909,30.472727272727273,41.89090909090909,28.8594188844444,55,55,0
GDN0007,TiltUp,156.02857142857144,174.17142857142858,-18.142857142857142,19.742857142857144,12.976205384198018,70,70,0
GDN0007,TiltDown,139.05454545454546,96.32727272727273,42.72727272727273,51.163636363636364,36.419312608677345,55,55,0
GDN0008,Pause,158.9090909090909,171.34545454545454,-12.436363636363636,14.10909090909091,9.10569427414788,55,55,0
GDN0008,Valsalva,164.14285714285714,176.21428571428572,-12.071428571428571,12.428571428571429,7.854716319985128,56,56,0
GDN0008,HoldingBreath,173.46268656716418,183.64705882352942,-19.176470588235293,19.176470588235293,11.99002621484143,67,17,50
GDN0008,TiltUp,183.91044776119404,196.25,-14.142857142857142,18.5,10.579641896010912,67,56,11
GDN0008,TiltDown,172.1153846153846,187.19230769230768,-15.076923076923077,16.23076923076923,9.962974381693444,52,52,0
GDN0009,Pause,150.34615384615384,96.07407407407408,47.629629629629626,56.81481481481482,39.61397103891685,52,27,25
GDN0009,Valsalva,142.23076923076923,98.86363636363636,41.54545454545455,49.63636363636363,34.82649906528265,52,44,8
GDN0009,TiltUp,156.675,184.33333333333334,-29.416666666666668,31.583333333333332,22.369550725387118,80,24,56
GDN0009,TiltDown,152.20408163265307,108.93333333333334,39.666666666666664,52.06666666666667,35.10240142744713,49,30,19
GDN0010,Pause,125.9090909090909,94.36363636363636,31.545454545454547,36.81818181818182,28.930880037906846,44,44,0
GDN0010,HoldingBreath,121.48936170212765,89.82608695652173,31.17391304347826,46.65217391304348,38.06711822556435,47,46,1
GDN0010,TiltUp,136.54545454545453,100.0909090909091,36.45454545454545,49.54545454545455,35.616346981119754,44,44,0
GDN0010,TiltDown,121.17073170731707,107.5609756097561,13.609756097560975,28.829268292682926,23.76345620969829,41,41,0
GDN0011,Pause,132.59649122807016,140.98245614035088,-8.385964912280702,19.263157894736842,15.007587515964364,57,57,0
GDN0011,Valsalva,121.9672131147541,136.49180327868854,-14.524590163934427,19.83606557377049,17.541608652019356,61,61,0
GDN0011,HoldingBreath,134.63636363636363,143.84848484848484,-9.212121212121213,20.606060606060606,15.804131148637467,66,66,0
GDN0011,TiltUp,149.11627906976744,171.09302325581396,-21.976744186046513,21.976744186046513,14.99700497068173,86,86,0
GDN0011,TiltDown,124.53571428571429,141.46428571428572,-16.928571428571427,20.857142857142858,17.32369385767496,56,56,0
GDN0012,Pause,115.40625,148.59375,-33.1875,33.75,34.83279139099899,64,64,0
GDN0012,Valsalva,127.64179104477611,154.95081967213116,-29.672131147540984,30.524590163934427,26.036009419450604,67,61,6
GDN0012,HoldingBreath,128.0,159.0625,-31.0625,31.0625,29.416286307308606,64,64,0
GDN0012,TiltUp,153.85365853658536,175.14814814814815,-21.59259259259259,23.666666666666668,16.224375267101486,82,54,28
GDN0012,TiltDown,113.06849315068493,147.2876712328767,-34.21917808219178,34.21917808219178,32.173372985949385,73,73,0
GDN0013,Pause,152.21212121212122,77.46875,74.65625,75.53125,49.38695526829872,66,64,2
GDN0013,Valsalva,152.43076923076924,82.65625,69.875,72.0,47.00531407327569,65,64,1
GDN0013,HoldingBreath,143.18032786885246,88.57627118644068,54.57627118644068,62.03389830508475,45.66692464935115,61,59,2
GDN0013,TiltUp,148.675,169.575,-20.9,21.0,14.471070431216123,80,80,0
GDN0013,TiltDown,141.36507936507937,81.17460317460318,60.19047619047619,61.142857142857146,43.32451970741828,63,63,0
GDN0014,Pause,110.92957746478874,103.2394366197183,7.690140845070423,28.47887323943662,26.12049728437382,71,71,0
GDN0014,Valsalva,99.88888888888889,113.52777777777777,-13.63888888888889,28.416666666666668,33.188234677932826,72,72,0
GDN0014,HoldingBreath,120.57971014492753,126.42105263157895,-10.526315789473685,23.157894736842106,22.765500575114938,69,19,50
GDN0014,TiltUp,135.89247311827958,90.3225806451613,45.56989247311828,46.215053763440864,33.71397357308307,93,93,0
GDN0014,TiltDown,114.52459016393442,104.46428571428571,9.464285714285714,31.107142857142858,28.802750865665676,61,56,5
GDN0016,Pause,128.2127659574468,106.72340425531915,21.48936170212766,32.38297872340426,23.85061417976213,47,47,0
GDN0016,Valsalva,127.6923076923077,105.84615384615384,21.846153846153847,36.46153846153846,27.14381801301664,52,52,0
GDN0016,HoldingBreath,129.73076923076923,130.65384615384616,-0.9230769230769231,32.92307692307692,26.307815444159115,52,52,0
GDN0016,TiltUp,159.75675675675674,177.59459459459458,-17.83783783783784,19.243243243243242,12.56387373101835,74,74,0
GDN0016,TiltDown,122.41666666666667,124.70833333333333,-2.2916666666666665,21.125,18.00237834870734,48,48,0
GDN0017,Valsalva,156.45901639344262,121.47540983606558,34.98360655737705,46.39344262295082,29.236200942961514,61,61,0
GDN0017,HoldingBreath,153.90322580645162,121.87096774193549,32.03225806451613,43.516129032258064,27.844189335044412,62,62,0
GDN0017,TiltUp,172.97222222222223,121.47222222222223,51.5,52.888888888888886,30.13429967479187,72,72,0
GDN0017,TiltDown,156.12698412698413,127.04761904761905,29.07936507936508,36.95238095238095,22.87709136407772,63,63,0
GDN0018,Pause,96.70967741935483,143.38709677419354,-46.67741935483871,46.67741935483871,53.95096708613323,62,62,0
GDN0018,Valsalva,97.18840579710145,138.84057971014494,-41.65217391304348,42.05797101449275,50.26050656953625,69,69,0
GDN0018,HoldingBreath,94.70967741935483,136.03225806451613,-41.32258064516129,43.516129032258064,55.82798003353909,62,62,0
GDN0018,TiltUp,138.35051546391753,174.20833333333334,-35.958333333333336,35.958333333333336,27.019708133540664,97,96,1
GDN0019,Pause,103.3061224489796,133.14285714285714,-29.836734693877553,31.06122448979592,32.443564421107524,49,49,0
GDN0019,Valsalva,107.3061224489796,136.69387755102042,-29.387755102040817,30.122448979591837,29.743656523799903,49,49,0
