,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,phase,,,,,,,,,,,,,,,,,,,,,,,,
GDN0005,Pause,0,0,0,352,352,808,808,496,492,573,568,912.0,912.0,65.78947368421052,65.78947368421052,77,76,154.0,152.0,,,-2.0,2.0,1.3157894736842104
GDN0005,Pause,1,1,1,808,808,1252,1252,952,948,1031,1025,874.0,874.0,68.64988558352402,68.64988558352402,79,77,158.0,154.0,,,-4.0,4.0,2.5974025974025974
GDN0005,Pause,2,2,2,1252,1252,1686,1686,1389,1386,1461,1456,864.0,864.0,69.44444444444444,69.44444444444444,72,70,144.0,140.0,,,-4.0,4.0,2.857142857142857
GDN0005,Pause,3,3,3,1686,1686,2116,2115,1821,1817,1894,1888,858.0,858.0,69.93006993006993,69.93006993006993,73,71,146.0,142.0,,,-4.0,4.0,2.8169014084507045
GDN0005,Pause,4,4,4,2116,2115,2570,2570,2250,2246,2326,2293,936.0,936.0,64.1025641025641,64.1025641025641,76,47,152.0,94.0,,,-58.0,58.0,61.702127659574465
GDN0005,Pause,5,5,5,2570,2570,3036,3036,2718,2714,2789,2780,928.0,928.0,64.6551724137931,64.6551724137931,71,66,142.0,132.0,,,-10.0,10.0,7.575757575757576
GDN0005,Pause,6,6,6,3036,3036,3471,3471,3182,3178,3260,3254,840.0,840.0,71.42857142857143,71.42857142857143,78,76,156.0,152.0,,,-4.0,4.0,2.631578947368421
GDN0005,Pause,7,7,7,3471,3471,3890,3890,3602,3597,3683,3674,836.0,836.0,71.77033492822967,71.77033492822967,81,77,162.0,154.0,,,-8.0,8.0,5.194805194805195
GDN0005,Pause,8,8,8,3890,3890,4308,4308,4020,4016,4104,4093,838.0,838.0,71.59904534606206,71.59904534606206,84,77,168.0,154.0,,,-14.0,14.0,9.090909090909092
GDN0005,Pause,9,9,9,4308,4308,4730,4730,4439,4435,4521,4512,846.0,846.0,70.92198581560284,70.92198581560284,82,77,164.0,154.0,,,-10.0,10.0,6.493506493506493
GDN0005,Pause,10,10,10,4730,4730,5150,5150,4862,4859,4929,4915,838.0,838.0,71.59904534606206,71.59904534606206,67,56,134.0,112.0,,,-22.0,22.0,19.642857142857142
GDN0005,Pause,11,11,11,5150,5150,5571,5571,5281,5278,5356,5337,842.0,842.0,71.25890736342043,71.25890736342043,75,59,150.0,118.0,,,-32.0,32.0,27.11864406779661
GDN0005,Pause,13,13,13,6013,6013,6480,6480,6156,6152,6227,6223,948.0,948.0,63.29113924050633,63.29113924050633,71,71,142.0,142.0,,,0.0,0.0,0.0
GDN0005,Pause,14,14,14,6480,6480,6954,6954,6630,6627,6706,6682,948.0,948.0,63.29113924050633,63.29113924050633,76,55,152.0,110.0,,,-42.0,42.0,38.18181818181819
GDN0005,Pause,15,15,15,6954,6954,7416,7416,7104,7100,7182,7145,912.0,912.0,65.78947368421052,65.78947368421052,78,45,156.0,90.0,,,-66.0,66.0,73.33333333333333
GDN0005,Pause,16,16,16,7416,7416,7852,7852,7560,7556,7626,7609,850.0,850.0,70.58823529411765,70.58823529411765,66,53,132.0,106.0,,,-26.0,26.0,24.528301886792452
GDN0005,Pause,17,17,17,7852,7852,8262,8262,7985,7981,8048,8040,804.0,804.0,74.62686567164178,74.62686567164178,63,59,126.0,118.0,,,-8.0,8.0,6.779661016949152
GDN0005,Pause,18,18,18,8262,8262,8657,8657,8387,8383,8454,8447,782.0,782.0,76.72634271099744,76.72634271099744,67,64,134.0,128.0,,,-6.0,6.0,4.6875
GDN0005,Pause,19,19,19,8657,8657,9047,9047,8778,8774,8848,8828,778.0,778.0,77.12082262210797,77.12082262210797,70,54,140.0,108.0,,,-32.0,32.0,29.629629629629626
GDN0005,Pause,20,20,20,9047,9047,9445,9445,9167,9163,9246,9201,806.0,806.0,74.44168734491315,74.44168734491315,79,38,158.0,76.0,,,-82.0,82.0,107.89473684210526
GDN0005,Pause,21,21,21,9445,9445,9854,9854,9570,9566,9647,9643,824.0,824.0,72.81553398058253,72.81553398058253,77,77,154.0,154.0,,,0.0,0.0,0.0
GDN0005,Pause,22,22,22,9854,9854,10259,10259,9982,9979,10061,10057,804.0,804.0,74.62686567164178,74.62686567164178,79,78,158.0,156.0,,,-2.0,2.0,1.282051282051282
GDN0005,Pause,23,23,23,10259,10259,10683,10683,10384,10380,10463,10459,872.0,872.0,68.80733944954129,68.80733944954129,79,79,158.0,158.0,,,0.0,0.0,0.0
GDN0005,Pause,24,24,24,10683,10683,11132,11132,10820,10816,10897,10880,912.0,912.0,65.78947368421052,65.78947368421052,77,64,154.0,128.0,,,-26.0,26.0,20.3125
GDN0005,Pause,25,25,25,11132,11132,11590,11590,11276,11272,11345,11339,916.0,916.0,65.50218340611353,65.50218340611353,69,67,138.0,134.0,,,-4.0,4.0,2.9850746268656714
GDN0005,Pause,26,26,26,11590,11590,12042,12042,11734,11730,11803,11797,900.0,900.0,66.66666666666667,66.66666666666667,69,67,138.0,134.0,,,-4.0,4.0,2.9850746268656714
GDN0005,Pause,27,27,27,12042,12042,12515,12515,12184,12180,12259,12249,968.0,968.0,61.98347107438017,61.98347107438017,75,69,150.0,138.0,,,-12.0,12.0,8.695652173913043
GDN0005,Pause,28,28,28,12515,12515,13015,13015,12668,12665,12742,12737,1018.0,1018.0,58.93909626719057,58.93909626719057,74,72,148.0,144.0,,,-4.0,4.0,2.7777777777777777
GDN0005,Pause,29,29,29,13015,13015,13517,13517,13177,13173,13249,13241,996.0,996.0,60.24096385542169,60.24096385542169,72,68,144.0,136.0,,,-8.0,8.0,5.88235294117647
GDN0005,Pause,30,30,30,13517,13517,14013,14013,13675,13671,13749,13728,990.0,990.0,60.60606060606061,60.60606060606061,74,57,148.0,114.0,,,-34.0,34.0,29.82456140350877
GDN0005,Pause,31,31,31,14013,14013,14501,14501,14170,14166,14246,14235,968.0,968.0,61.98347107438017,61.98347107438017,76,69,152.0,138.0,,,-14.0,14.0,10.144927536231885
GDN0005,Pause,32,32,32,14501,14501,14981,14981,14654,14651,14730,14725,958.0,958.0,62.63048016701462,62.63048016701462,76,74,152.0,148.0,,,-4.0,4.0,2.7027027027027026
GDN0005,Pause,33,33,33,14981,14981,15460,15460,15133,15129,15207,15187,956.0,956.0,62.761506276150634,62.761506276150634,74,58,148.0,116.0,,,-32.0,32.0,27.586206896551722
GDN0005,Pause,34,34,34,15460,15460,15925,15925,15611,15607,15684,15666,916.0,916.0,65.50218340611353,65.50218340611353,73,59,146.0,118.0,,,-28.0,28.0,23.728813559322035
GDN0005,Pause,35,35,35,15925,15925,16379,16379,16069,16066,16127,16121,906.0,906.0,66.2251655629139,66.2251655629139,58,55,116.0,110.0,,,-6.0,6.0,5.454545454545454
GDN0005,Pause,36,36,36,16379,16379,16836,16836,16522,16518,16596,16577,916.0,916.0,65.50218340611353,65.50218340611353,74,59,148.0,118.0,,,-30.0,30.0,25.423728813559322
GDN0005,Pause,37,37,37,16836,16836,17310,17310,16980,16977,17056,17051,966.0,966.0,62.11180124223603,62.11180124223603,76,74,152.0,148.0,,,-4.0,4.0,2.7027027027027026
GDN0005,Pause,38,38,38,17310,17310,17802,17802,17463,17459,17537,17534,994.0,994.0,60.36217303822938,60.36217303822938,74,75,148.0,150.0,,,2.0,2.0,1.3333333333333335
GDN0005,Pause,39,39,39,17802,17802,18294,18294,17960,17956,18032,18011,980.0,980.0,61.224489795918366,61.224489795918366,72,55,144.0,110.0,,,-34.0,34.0,30.909090909090907
GDN0005,Pause,40,40,40,18294,18294,18788,18788,18450,18446,18528,18522,992.0,992.0,60.483870967741936,60.483870967741936,78,76,156.0,152.0,,,-4.0,4.0,2.631578947368421
GDN0005,Pause,41,41,41,18788,18788,19282,19282,18946,18942,19023,19007,986.0,986.0,60.851926977687626,60.851926977687626,77,65,154.0,130.0,,,-24.0,24.0,18.461538461538463
