participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,141.25806451612902,-9.064516129032258,15.580645161290322,13.732180604058064,62,62,0
GDN0005,Valsalva,143.77777777777777,139.015873015873,4.761904761904762,12.507936507936508,8.621939005139353,63,63,0
GDN0005,HoldingBreath,132.86153846153846,135.8153846153846,-2.953846153846154,12.738461538461538,10.203643752316898,65,65,0
GDN0005,TiltUp,165.30666666666667,147.81333333333333,17.493333333333332,21.12,13.10405638682052,75,75,0
GDN0005,TiltDown,128.46428571428572,140.35714285714286,-11.892857142857142,19.178571428571427,17.52364841566091,56,56,0
GDN0006,Pause,165.8148148148148,150.92592592592592,14.88888888888889,15.185185185185185,8.9716647458063,54,54,0
GDN0006,Valsalva,159.0,147.62962962962962,11.37037037037037,13.148148148148149,8.12175280741776,54,54,0
GDN0006,TiltUp,191.15625,167.0625,24.09375,24.09375,12.535414210195256,64,64,0
GDN0006,TiltDown,151.92727272727274,145.63636363636363,6.290909090909091,11.018181818181818,7.541306217710811,55,55,0
GDN0007,Pause,134.61290322580646,143.80645161290323,-9.193548387096774,17.580645161290324,15.55700909564131,62,62,0
GDN0007,Valsalva,144.73684210526315,146.73684210526315,-2.0,11.333333333333334,8.406899989734217,57,57,0
GDN0007,HoldingBreath,141.16363636363636,146.54545454545453,-5.381818181818182,13.236363636363636,10.532920798347876,55,55,0
GDN0007,TiltUp,156.02857142857144,153.45714285714286,2.5714285714285716,8.857142857142858,5.632105045927203,70,70,0
GDN0007,TiltDown,139.05454545454546,144.21818181818182,-5.163636363636364,14.472727272727273,12.567991193847421,55,55,0
GDN0008,Pause,158.9090909090909,154.0,4.909090909090909,9.563636363636364,5.983665469923278,55,55,0
GDN0008,Valsalva,164.14285714285714,156.78571428571428,7.357142857142857,11.214285714285714,6.783987798316152,56,56,0
GDN0008,HoldingBreath,173.46268656716418,155.64705882352942,8.823529411764707,13.294117647058824,8.047201343445495,67,17,50
GDN0008,TiltUp,183.91044776119404,163.53571428571428,18.571428571428573,21.714285714285715,11.38753844523323,67,56,11
GDN0008,TiltDown,172.1153846153846,162.46153846153845,9.653846153846153,14.5,8.432155961749693,52,52,0
GDN0009,Pause,150.34615384615384,148.37037037037038,-4.666666666666667,10.444444444444445,7.564963771331644,52,27,25
GDN0009,Valsalva,142.23076923076923,151.9090909090909,-11.5,17.863636363636363,13.697346756320199,52,44,8
GDN0009,TiltUp,156.675,157.0,-2.0833333333333335,17.083333333333332,11.998757045191274,80,24,56
GDN0009,TiltDown,152.20408163265307,150.0,-1.4,15.4,10.769632675748975,49,30,19
GDN0010,Pause,125.9090909090909,143.63636363636363,-17.727272727272727,20.454545454545453,18.738803709812395,44,44,0
GDN0010,HoldingBreath,121.48936170212765,142.72340425531914,-21.23404255319149,24.127659574468087,25.912594992033736,47,47,0
GDN0010,TiltUp,136.54545454545453,148.13636363636363,-11.590909090909092,18.136363636363637,15.36397496873188,44,44,0
GDN0010,TiltDown,121.17073170731707,143.0731707317073,-21.902439024390244,24.048780487804876,24.278107145076955,41,41,0
GDN0011,Pause,132.59649122807016,145.6140350877193,-13.017543859649123,15.403508771929825,12.978734471093501,57,57,0
GDN0011,Valsalva,121.9672131147541,140.91803278688525,-18.950819672131146,21.770491803278688,19.848800978200966,61,61,0
GDN0011,HoldingBreath,134.63636363636363,144.1818181818182,-9.545454545454545,12.696969696969697,10.383594630957935,66,66,0
GDN0011,TiltUp,149.11627906976744,150.09302325581396,-0.9767441860465116,8.093023255813954,5.528616085433693,86,86,0
GDN0011,TiltDown,124.53571428571429,140.67857142857142,-16.142857142857142,17.928571428571427,15.408085202756554,56,56,0
GDN0012,Pause,115.40625,146.3125,-30.90625,30.96875,32.920455733273336,64,64,0
GDN0012,Valsalva,127.64179104477611,142.88524590163934,-17.60655737704918,19.901639344262296,17.552073412105056,67,61,6
GDN0012,HoldingBreath,128.0,146.03125,-18.03125,19.46875,20.365732110793953,64,64,0
GDN0012,TiltUp,153.85365853658536,149.07407407407408,4.481481481481482,12.407407407407407,7.994551872213333,82,54,28
GDN0012,TiltDown,113.06849315068493,137.53424657534248,-24.465753424657535,24.465753424657535,23.601059712869464,73,73,0
GDN0013,Pause,152.21212121212122,145.25,6.875,10.0,6.388017921671521,66,64,2
GDN0013,Valsalva,152.43076923076924,145.40625,7.125,10.4375,6.675185520353841,65,64,1
GDN0013,HoldingBreath,143.18032786885246,146.71186440677965,-3.559322033898305,15.491525423728813,15.036301790947421,61,59,2
GDN0013,TiltUp,148.675,148.625,0.05,8.3,5.687970239158796,80,80,0
GDN0013,TiltDown,141.36507936507937,142.47619047619048,-1.1111111111111112,9.365079365079366,6.666849176209327,63,63,0
GDN0014,Pause,110.92957746478874,128.64788732394365,-17.718309859154928,22.338028169014084,24.371653847848858,71,71,0
GDN0014,Valsalva,99.88888888888889,128.36111111111111,-28.47222222222222,30.47222222222222,38.38866446135494,72,72,0
GDN0014,HoldingBreath,120.57971014492753,129.05263157894737,-13.157894736842104,25.57894736842105,25.677895275584046,69,19,50
GDN0014,TiltUp,135.89247311827958,131.8494623655914,4.043010752688172,8.817204301075268,6.553484479856898,93,93,0
GDN0014,TiltDown,114.52459016393442,134.59649122807016,-20.350877192982455,30.17543859649123,33.345470584878264,61,57,4
GDN0016,Pause,128.2127659574468,139.40425531914894,-11.191489361702128,21.574468085106382,19.239110213798043,47,47,0
GDN0016,Valsalva,127.6923076923077,140.26923076923077,-12.576923076923077,21.576923076923077,19.453178813597024,52,52,0
GDN0016,HoldingBreath,129.73076923076923,141.84615384615384,-12.115384615384615,23.115384615384617,21.25682607466852,52,52,0
GDN0016,TiltUp,159.75675675675674,157.0,2.7567567567567566,10.91891891891892,6.872034987031149,74,74,0
GDN0016,TiltDown,122.41666666666667,143.04166666666666,-20.625,24.375,22.756539060922794,48,48,0
GDN0017,Valsalva,156.45901639344262,146.65573770491804,9.80327868852459,11.311475409836065,7.112791400349402,61,61,0
GDN0017,HoldingBreath,153.90322580645162,146.38709677419354,7.516129032258065,11.64516129032258,7.615780961999417,62,62,0
GDN0017,TiltUp,172.97222222222223,155.38888888888889,17.583333333333332,19.02777777777778,10.578492197273984,72,72,0
GDN0017,TiltDown,156.12698412698413,143.3015873015873,12.825396825396826,14.412698412698413,8.867733175070445,63,63,0
GDN0018,Pause,96.70967741935483,138.51612903225808,-41.806451612903224,41.806451612903224,49.25519017193249,62,62,0
GDN0018,Valsalva,97.18840579710145,138.3768115942029,-41.18840579710145,41.18840579710145,49.45267802977648,69,69,0
GDN0018,HoldingBreath,94.70967741935483,141.51612903225808,-46.806451612903224,46.806451612903224,61.26515259758451,62,62,0
GDN0018,TiltUp,138.35051546391753,142.27083333333334,-4.020833333333333,8.895833333333334,7.205027755615557,97,96,1
GDN0019,Pause,103.3061224489796,135.22448979591837,-31.918367346938776,32.0,33.53566451945909,49,49,0
GDN0019,Valsalva,107.3061224489796,135.30612244897958,-28.0,28.163265306122447,28.36021088943082,49,49,0
GDN0019,HoldingBreath,104.15094339622641,130.75471698113208,-26.60377358490566,26.60377358490566,26.977197569654617,53,53,0
GDN0019,TiltUp,134.625,140.4,-5.775,8.725,6.743601498209216,80,80,0
GDN0019,TiltDown,104.18181818181819,129.27272727272728,-25.09090909090909,25.09090909090909,26.24961017345584,44,44,0
GDN0020,Pause,110.13333333333334,141.03333333333333,-30.9,30.966666666666665,29.913475311216793,60,60,0
GDN0020,Valsalva,115.31506849315069,139.04109589041096,-23.726027397260275,24.054794520547944,27.669508719317033,73,73,0
GDN0020,HoldingBreath,120.375,142.53125,-22.15625,24.71875,23.636359524441154,64,64,0
GDN0020,TiltDown,122.52631578947368,141.26315789473685,-18.736842105263158,19.017543859649123,16.964148219386345,57,57,0
GDN0021,Pause,113.8688524590164,139.50819672131146,-25.639344262295083,26.295081967213115,24.896112379970134,61,61,0
GDN0021,Valsalva,120.57971014492753,142.6086956521739,-22.028985507246375,23.36231884057971,20.93140313040154,69,69,0
GDN0021,HoldingBreath,120.75,139.80555555555554,-19.055555555555557,21.055555555555557,18.355730853461765,72,72,0
GDN0021,TiltUp,126.66666666666667,144.11111111111111,-17.444444444444443,18.22222222222222,15.329470677725043,72,72,0
GDN0021,TiltDown,127.11764705882354,145.55882352941177,-18.441176470588236,18.794117647058822,15.5832660726356,68,68,0
GDN0022,Pause,137.57692307692307,142.8846153846154,-5.3076923076923075,24.0,20.577983674073707,52,52,0
GDN0022,Valsalva,149.50943396226415,150.65384615384616,-1.1923076923076923,16.346153846153847,10.90432435377905,53,52,1
GDN0022,HoldingBreath,188.26865671641792,156.2089552238806,32.059701492537314,32.35820895522388,16.442346558266962,67,67,0
GDN0022,TiltDown,124.53846153846153,136.30769230769232,-11.76923076923077,17.692307692307693,15.876646487846282,52,52,0
GDN0023,Pause,136.77777777777777,152.1851851851852,-15.407407407407407,15.777777777777779,11.925539110471448,54,54,0
GDN0023,Valsalva,133.84615384615384,153.15384615384616,-19.307692307692307,19.307692307692307,14.595090797789387,52,52,0
GDN0023,HoldingBreath,139.76923076923077,144.1153846153846,-4.346153846153846,15.961538461538462,11.975483055049608,52,52,0
GDN0023,TiltUp,160.85365853658536,154.4390243902439,6.414634146341464,10.463414634146341,6.5363163509631805,82,82,0
GDN0023,TiltDown,151.62857142857143,150.8,0.8285714285714286,12.885714285714286,8.696034822383263,70,70,0
GDN0024,Pause,138.8695652173913,139.56521739130434,-0.6956521739130435,8.173913043478262,6.388146336067335,69,69,0
GDN0024,Valsalva,140.97142857142856,140.22857142857143,0.7428571428571429,7.2,5.370879131823937,70,70,0
GDN0024,HoldingBreath,132.21621621621622,134.56756756756758,-2.3513513513513513,14.513513513513514,13.09143220594819,74,74,0
GDN0024,TiltUp,130.5974025974026,139.27272727272728,-8.675324675324676,15.012987012987013,16.249007340519288,77,77,0
GDN0025,Pause,136.8181818181818,143.0909090909091,-6.2727272727272725,14.090909090909092,11.070866347905659,66,66,0
GDN0025,HoldingBreath,107.2987012987013,133.89473684210526,-29.026315789473685,37.76315789473684,50.614136673378475,77,76,1
GDN0027,Pause,150.89655172413794,153.75862068965517,-2.8620689655172415,11.96551724137931,8.446051590384224,58,58,0
GDN0027,Valsalva,143.1578947368421,151.1578947368421,-8.0,14.31578947368421,11.16716342255411,57,57,0
GDN0027,HoldingBreath,148.0,149.15254237288136,-1.152542372881356,20.949152542372882,14.887365563480268,59,59,0
