,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,phase,,,,,,,,,,,,,,,,,,,,,,,,
GDN0005,Pause,0,0,0,352,352,808,808,495,492,560,568,912.0,912.0,65.78947368421052,65.78947368421052,65,76,130.0,152.0,,,22.0,22.0,14.473684210526317
GDN0005,Pause,1,1,1,808,808,1252,1252,951,948,1020,1025,874.0,874.0,68.64988558352402,68.64988558352402,69,77,138.0,154.0,,,16.0,16.0,10.38961038961039
GDN0005,Pause,2,2,2,1252,1252,1686,1686,1388,1386,1463,1456,864.0,864.0,69.44444444444444,69.44444444444444,75,70,150.0,140.0,,,-10.0,10.0,7.142857142857142
GDN0005,Pause,3,3,3,1686,1686,2116,2115,1820,1817,1901,1888,858.0,858.0,69.93006993006993,69.93006993006993,81,71,162.0,142.0,,,-20.0,20.0,14.084507042253522
GDN0005,Pause,4,4,4,2116,2115,2570,2570,2249,2246,2316,2293,936.0,936.0,64.1025641025641,64.1025641025641,67,47,134.0,94.0,,,-40.0,40.0,42.5531914893617
GDN0005,Pause,5,5,5,2570,2570,3036,3036,2717,2714,2790,2780,928.0,928.0,64.6551724137931,64.6551724137931,73,66,146.0,132.0,,,-14.0,14.0,10.606060606060606
GDN0005,Pause,6,6,6,3036,3036,3471,3471,3181,3178,3234,3254,840.0,840.0,71.42857142857143,71.42857142857143,53,76,106.0,152.0,,,46.0,46.0,30.263157894736842
GDN0005,Pause,7,7,7,3471,3471,3890,3890,3601,3597,3659,3674,836.0,836.0,71.77033492822967,71.77033492822967,58,77,116.0,154.0,,,38.0,38.0,24.675324675324674
GDN0005,Pause,8,8,8,3890,3890,4308,4308,4019,4016,4077,4093,838.0,838.0,71.59904534606206,71.59904534606206,58,77,116.0,154.0,,,38.0,38.0,24.675324675324674
GDN0005,Pause,9,9,9,4308,4308,4730,4730,4438,4435,4497,4512,846.0,846.0,70.92198581560284,70.92198581560284,59,77,118.0,154.0,,,36.0,36.0,23.376623376623375
GDN0005,Pause,10,10,10,4730,4730,5150,5150,4861,4859,4932,4915,838.0,838.0,71.59904534606206,71.59904534606206,71,56,142.0,112.0,,,-30.0,30.0,26.785714285714285
GDN0005,Pause,11,11,11,5150,5150,5571,5571,5280,5278,5360,5337,842.0,842.0,71.25890736342043,71.25890736342043,80,59,160.0,118.0,,,-42.0,42.0,35.59322033898305
GDN0005,Pause,13,13,13,6013,6013,6480,6480,6155,6152,6231,6223,948.0,948.0,63.29113924050633,63.29113924050633,76,71,152.0,142.0,,,-10.0,10.0,7.042253521126761
GDN0005,Pause,14,14,14,6480,6480,6954,6954,6629,6627,6698,6682,948.0,948.0,63.29113924050633,63.29113924050633,69,55,138.0,110.0,,,-28.0,28.0,25.454545454545453
GDN0005,Pause,15,15,15,6954,6954,7416,7416,7103,7100,7169,7145,912.0,912.0,65.78947368421052,65.78947368421052,66,45,132.0,90.0,,,-42.0,42.0,46.666666666666664
GDN0005,Pause,16,16,16,7416,7416,7852,7852,7559,7556,7626,7609,850.0,850.0,70.58823529411765,70.58823529411765,67,53,134.0,106.0,,,-28.0,28.0,26.41509433962264
GDN0005,Pause,17,17,17,7852,7852,8262,8262,7984,7981,8054,8040,804.0,804.0,74.62686567164178,74.62686567164178,70,59,140.0,118.0,,,-22.0,22.0,18.64406779661017
GDN0005,Pause,18,18,18,8262,8262,8657,8657,8386,8383,8457,8447,782.0,782.0,76.72634271099744,76.72634271099744,71,64,142.0,128.0,,,-14.0,14.0,10.9375
GDN0005,Pause,19,19,19,8657,8657,9047,9047,8777,8774,8841,8828,778.0,778.0,77.12082262210797,77.12082262210797,64,54,128.0,108.0,,,-20.0,20.0,18.51851851851852
GDN0005,Pause,20,20,20,9047,9047,9445,9445,9166,9163,9234,9201,806.0,806.0,74.44168734491315,74.44168734491315,68,38,136.0,76.0,,,-60.0,60.0,78.94736842105263
GDN0005,Pause,21,21,21,9445,9445,9854,9854,9569,9566,9650,9643,824.0,824.0,72.81553398058253,72.81553398058253,81,77,162.0,154.0,,,-8.0,8.0,5.194805194805195
GDN0005,Pause,22,22,22,9854,9854,10259,10259,9981,9979,10039,10057,804.0,804.0,74.62686567164178,74.62686567164178,58,78,116.0,156.0,,,40.0,40.0,25.64102564102564
GDN0005,Pause,23,23,23,10259,10259,10683,10683,10383,10380,10459,10459,872.0,872.0,68.80733944954129,68.80733944954129,76,79,152.0,158.0,,,6.0,6.0,3.79746835443038
GDN0005,Pause,24,24,24,10683,10683,11132,11132,10819,10816,10888,10880,912.0,912.0,65.78947368421052,65.78947368421052,69,64,138.0,128.0,,,-10.0,10.0,7.8125
GDN0005,Pause,25,25,25,11132,11132,11590,11590,11275,11272,11347,11339,916.0,916.0,65.50218340611353,65.50218340611353,72,67,144.0,134.0,,,-10.0,10.0,7.462686567164178
GDN0005,Pause,26,26,26,11590,11590,12042,12042,11733,11730,11809,11797,900.0,900.0,66.66666666666667,66.66666666666667,76,67,152.0,134.0,,,-18.0,18.0,13.432835820895523
GDN0005,Pause,27,27,27,12042,12042,12515,12515,12183,12180,12259,12249,968.0,968.0,61.98347107438017,61.98347107438017,76,69,152.0,138.0,,,-14.0,14.0,10.144927536231885
GDN0005,Pause,28,28,28,12515,12515,13015,13015,12667,12665,12745,12737,1018.0,1018.0,58.93909626719057,58.93909626719057,78,72,156.0,144.0,,,-12.0,12.0,8.333333333333332
GDN0005,Pause,29,29,29,13015,13015,13517,13517,13176,13173,13248,13241,996.0,996.0,60.24096385542169,60.24096385542169,72,68,144.0,136.0,,,-8.0,8.0,5.88235294117647
GDN0005,Pause,30,30,30,13517,13517,14013,14013,13674,13671,13736,13728,990.0,990.0,60.60606060606061,60.60606060606061,62,57,124.0,114.0,,,-10.0,10.0,8.771929824561402
GDN0005,Pause,31,31,31,14013,14013,14501,14501,14169,14166,14228,14235,968.0,968.0,61.98347107438017,61.98347107438017,59,69,118.0,138.0,,,20.0,20.0,14.492753623188406
GDN0005,Pause,32,32,32,14501,14501,14981,14981,14653,14651,14708,14725,958.0,958.0,62.63048016701462,62.63048016701462,55,74,110.0,148.0,,,38.0,38.0,25.675675675675674
GDN0005,Pause,33,33,33,14981,14981,15460,15460,15132,15129,15199,15187,956.0,956.0,62.761506276150634,62.761506276150634,67,58,134.0,116.0,,,-18.0,18.0,15.517241379310345
GDN0005,Pause,34,34,34,15460,15460,15925,15925,15610,15607,15674,15666,916.0,916.0,65.50218340611353,65.50218340611353,64,59,128.0,118.0,,,-10.0,10.0,8.47457627118644
GDN0005,Pause,35,35,35,15925,15925,16379,16379,16068,16066,16134,16121,906.0,906.0,66.2251655629139,66.2251655629139,66,55,132.0,110.0,,,-22.0,22.0,20.0
GDN0005,Pause,36,36,36,16379,16379,16836,16836,16521,16518,16597,16577,916.0,916.0,65.50218340611353,65.50218340611353,76,59,152.0,118.0,,,-34.0,34.0,28.8135593220339
GDN0005,Pause,37,37,37,16836,16836,17310,17310,16979,16977,17059,17051,966.0,966.0,62.11180124223603,62.11180124223603,80,74,160.0,148.0,,,-12.0,12.0,8.108108108108109
GDN0005,Pause,38,38,38,17310,17310,17802,17802,17462,17459,17535,17534,994.0,994.0,60.36217303822938,60.36217303822938,73,75,146.0,150.0,,,4.0,4.0,2.666666666666667
GDN0005,Pause,39,39,39,17802,17802,18294,18294,17959,17956,18027,18011,980.0,980.0,61.224489795918366,61.224489795918366,68,55,136.0,110.0,,,-26.0,26.0,23.636363636363637
GDN0005,Pause,40,40,40,18294,18294,18788,18788,18449,18446,18507,18522,992.0,992.0,60.483870967741936,60.483870967741936,58,76,116.0,152.0,,,36.0,36.0,23.684210526315788
GDN0005,Pause,41,41,41,18788,18788,19282,19282,18945,18942,19004,19007,986.0,986.0,60.851926977687626,60.851926977687626,59,65,118.0,130.0,,,12.0,12.0,9.230769230769232
