participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,137.38709677419354,-5.193548387096774,22.677419354838708,18.191138776364443,-0.122265409222677,62,62,0
GDN0005,Valsalva,143.77777777777777,133.93650793650792,9.841269841269842,20.253968253968253,13.766037130629014,-0.2654680668688189,63,63,0
GDN0005,HoldingBreath,132.86153846153846,141.90769230769232,-9.046153846153846,15.692307692307692,12.519892894850488,0.28717044227687205,65,65,0
GDN0005,TiltUp,165.30666666666667,140.32,24.986666666666668,38.053333333333335,23.273199159303665,0.024494476825140596,75,75,0
GDN0005,TiltDown,128.46428571428572,119.35714285714286,9.107142857142858,29.25,23.400677091175627,-0.4792959713656706,56,56,0
GDN0006,Pause,165.8148148148148,171.37037037037038,-5.555555555555555,8.88888888888889,5.504362142623434,0.0992542870774366,54,54,0
GDN0006,Valsalva,159.0,165.37037037037038,-6.37037037037037,9.777777777777779,6.37464755277764,0.25686036727177025,54,54,0
GDN0006,TiltUp,191.15625,209.34375,-18.1875,18.1875,9.563554635353398,0.6309831318732001,64,64,0
GDN0006,TiltDown,151.92727272727274,154.1818181818182,-2.2545454545454544,14.181818181818182,9.90225777304037,0.15496437597579493,55,55,0
GDN0007,Pause,134.61290322580646,112.64516129032258,21.967741935483872,34.29032258064516,25.222716534272536,-0.24697213043684402,62,62,0
GDN0007,Valsalva,144.73684210526315,101.50877192982456,43.228070175438596,47.1578947368421,32.07991155329989,-0.2368087921870176,57,57,0
GDN0007,HoldingBreath,141.16363636363636,114.69090909090909,26.472727272727273,40.0,27.734616468167488,-0.3815210026505055,55,55,0
GDN0007,TiltUp,156.02857142857144,178.17142857142858,-22.142857142857142,23.285714285714285,15.256896921954253,0.20207371126757404,70,70,0
GDN0007,TiltDown,139.05454545454546,100.32727272727273,38.72727272727273,48.4,34.72752792808362,-0.49851867781415743,55,55,0
GDN0008,Pause,158.9090909090909,175.34545454545454,-16.436363636363637,17.30909090909091,11.156218840894384,0.4013285261022205,55,55,0
GDN0008,Valsalva,164.14285714285714,180.21428571428572,-16.071428571428573,16.285714285714285,10.221250438390383,0.5363406443639361,56,56,0
GDN0008,HoldingBreath,173.46268656716418,187.64705882352942,-23.176470588235293,23.176470588235293,14.435993135286516,0.6376877262039574,67,17,50
GDN0008,TiltUp,183.91044776119404,200.25,-18.142857142857142,21.857142857142858,12.483044094585042,0.6172377330006018,67,56,11
GDN0008,TiltDown,172.1153846153846,191.19230769230768,-19.076923076923077,20.076923076923077,12.235013448847754,0.563907021544673,52,52,0
GDN0009,Pause,150.34615384615384,100.07407407407408,43.629629629629626,54.888888888888886,38.22952211157885,0.32590510910492126,52,27,25
GDN0009,Valsalva,142.23076923076923,102.86363636363636,37.54545454545455,46.72727272727273,32.76364947120872,-0.014993238390381226,52,44,8
GDN0009,TiltUp,156.675,188.33333333333334,-33.416666666666664,34.916666666666664,24.633753961661558,0.17775438553372022,80,24,56
GDN0009,TiltDown,152.20408163265307,112.93333333333334,35.666666666666664,49.666666666666664,33.48048071481512,0.1381496639923868,49,30,19
GDN0010,Pause,125.9090909090909,98.36363636363636,27.545454545454547,33.90909090909091,26.771297591601805,0.11352144596666242,44,44,0
GDN0010,HoldingBreath,121.48936170212765,93.82608695652173,27.17391304347826,45.43478260869565,37.44138639585986,-0.21311377026774941,47,46,1
GDN0010,TiltUp,136.54545454545453,104.0909090909091,32.45454545454545,47.72727272727273,34.36465948499885,0.11434618372026707,44,44,0
GDN0010,TiltDown,121.17073170731707,111.5609756097561,9.609756097560975,28.146341463414632,23.687830411580528,-0.22792332456418513,41,41,0
GDN0011,Pause,132.59649122807016,144.98245614035088,-12.385964912280702,21.228070175438596,16.657472886108273,0.18052260117625712,57,57,0
