participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,139.29032258064515,-7.096774193548387,23.35483870967742,18.838604587806874,62,62,0
GDN0005,Valsalva,143.77777777777777,135.93650793650792,7.841269841269841,20.158730158730158,13.7970218388303,63,63,0
GDN0005,HoldingBreath,132.86153846153846,143.96923076923076,-11.107692307692307,16.953846153846154,13.562796020117942,65,65,0
GDN0005,TiltUp,165.30666666666667,136.18666666666667,29.12,40.64,24.58709712418535,75,75,0
GDN0005,TiltDown,128.46428571428572,121.35714285714286,7.107142857142857,28.892857142857142,23.340364991176763,56,56,0
GDN0006,Pause,165.8148148148148,174.40740740740742,-8.592592592592593,10.222222222222221,6.349049462233332,54,54,0
GDN0006,Valsalva,159.0,162.03703703703704,-3.037037037037037,12.296296296296296,7.897652143071832,54,54,0
GDN0006,TiltUp,191.15625,211.0,-19.84375,19.84375,10.427926738448773,64,64,0
GDN0006,TiltDown,151.92727272727274,155.96363636363637,-4.036363636363636,15.163636363636364,10.571864540001974,55,55,0
GDN0007,Pause,134.61290322580646,109.70967741935483,24.903225806451612,37.806451612903224,27.55547839127571,62,62,0
GDN0007,Valsalva,144.73684210526315,103.05263157894737,41.68421052631579,46.10526315789474,31.385222441297525,57,57,0
GDN0007,HoldingBreath,141.16363636363636,113.7090909090909,27.454545454545453,42.0,29.109241892107427,55,55,0
GDN0007,TiltUp,156.02857142857144,179.68571428571428,-23.65714285714286,24.514285714285716,16.025271780927966,70,70,0
GDN0007,TiltDown,139.05454545454546,102.43636363636364,36.61818181818182,46.8,33.80082193957498,55,55,0
GDN0008,Pause,158.9090909090909,176.98181818181817,-18.072727272727274,18.727272727272727,12.070762823226064,55,55,0
GDN0008,Valsalva,164.14285714285714,181.39285714285714,-17.25,17.821428571428573,11.150114620108287,56,56,0
GDN0008,HoldingBreath,173.46268656716418,191.52941176470588,-27.058823529411764,27.058823529411764,16.795522170229226,67,17,50
GDN0008,TiltUp,183.91044776119404,201.96428571428572,-19.857142857142858,23.285714285714285,13.275493993391917,67,56,11
GDN0008,TiltDown,172.1153846153846,191.03846153846155,-18.923076923076923,20.307692307692307,12.323335906051078,52,52,0
GDN0009,Pause,150.34615384615384,102.14814814814815,41.55555555555556,52.96296296296296,36.8024958279541,52,27,25
GDN0009,Valsalva,142.23076923076923,103.95454545454545,36.45454545454545,46.27272727272727,32.40867071377918,52,44,8
GDN0009,TiltUp,156.675,190.0,-35.083333333333336,36.416666666666664,25.612153918470213,80,24,56
GDN0009,TiltDown,152.20408163265307,110.4,38.2,51.53333333333333,34.712100890903585,49,30,19
GDN0010,Pause,125.9090909090909,100.36363636363636,25.545454545454547,32.45454545454545,25.691506368449282,44,44,0
GDN0010,HoldingBreath,121.48936170212765,93.65957446808511,27.829787234042552,46.808510638297875,38.472016601424826,47,47,0
GDN0010,TiltUp,136.54545454545453,105.5909090909091,30.954545454545453,46.77272727272727,33.67729744243249,44,44,0
GDN0010,TiltDown,121.17073170731707,112.92682926829268,8.24390243902439,28.146341463414632,23.91883825133334,41,41,0
GDN0011,Pause,132.59649122807016,146.140350877193,-13.543859649122806,21.614035087719298,17.055442361255068,57,57,0
GDN0011,Valsalva,121.9672131147541,141.08196721311475,-19.114754098360656,22.983606557377048,20.457002676765356,61,61,0
GDN0011,HoldingBreath,134.63636363636363,148.6060606060606,-13.969696969696969,22.87878787878788,17.399213708182,66,66,0
GDN0011,TiltUp,149.11627906976744,175.86046511627907,-26.74418604651163,26.74418604651163,18.187089193722766,86,86,0
GDN0011,TiltDown,124.53571428571429,145.71428571428572,-21.178571428571427,24.964285714285715,20.7599411367682,56,56,0
GDN0012,Pause,115.40625,154.59375,-39.1875,39.4375,40.05635676481854,64,64,0
GDN0012,Valsalva,127.64179104477611,160.72131147540983,-35.442622950819676,35.90163934426229,30.48335038034889,67,61,6
GDN0012,HoldingBreath,128.0,164.09375,-36.09375,36.09375,33.346750079209414,64,64,0
GDN0012,TiltUp,153.85365853658536,179.96296296296296,-26.40740740740741,28.40740740740741,19.36460541291294,82,54,28
GDN0012,TiltDown,113.06849315068493,153.12328767123287,-40.054794520547944,40.054794520547944,37.41572925295304,73,73,0
GDN0013,Pause,152.21212121212122,81.59375,70.53125,71.59375,46.82270243725383,66,64,2
GDN0013,Valsalva,152.43076923076924,89.25,63.28125,66.34375,43.23083711933541,65,64,1
GDN0013,HoldingBreath,143.18032786885246,89.2542372881356,53.898305084745765,60.271186440677965,44.58162719762411,61,59,2
GDN0013,TiltUp,148.675,172.95,-24.275,24.625,16.888805282115673,80,80,0
GDN0013,TiltDown,141.36507936507937,87.14285714285714,54.22222222222222,55.74603174603175,39.44377268688948,63,63,0
GDN0014,Pause,110.92957746478874,109.43661971830986,1.4929577464788732,27.408450704225352,26.139141952190684,71,71,0
GDN0014,Valsalva,99.88888888888889,118.83333333333333,-18.944444444444443,30.555555555555557,36.405200151158894,72,72,0
GDN0014,HoldingBreath,120.57971014492753,132.31578947368422,-16.42105263157895,26.526315789473685,26.24641565714701,69,19,50
GDN0014,TiltUp,135.89247311827958,96.08602150537635,39.806451612903224,40.96774193548387,29.824127419290875,93,93,0
GDN0014,TiltDown,114.52459016393442,109.96428571428571,3.9642857142857144,29.321428571428573,28.264293724683803,61,56,5
GDN0016,Pause,128.2127659574468,112.55319148936171,15.659574468085106,31.48936170212766,23.82461524038586,47,47,0
GDN0016,Valsalva,127.6923076923077,111.57692307692308,16.115384615384617,35.34615384615385,26.95058050753016,52,52,0
GDN0016,HoldingBreath,129.73076923076923,134.46153846153845,-4.730769230769231,35.80769230769231,29.257055597425488,52,52,0
GDN0016,TiltUp,159.75675675675674,183.40540540540542,-23.64864864864865,24.135135135135137,15.674040105725277,74,74,0
GDN0016,TiltDown,122.41666666666667,129.91666666666666,-7.5,23.083333333333332,20.200218592176153,48,48,0
GDN0017,Valsalva,156.45901639344262,127.47540983606558,28.983606557377048,44.91803278688525,28.415849562889257,61,61,0
GDN0017,HoldingBreath,153.90322580645162,126.7741935483871,27.129032258064516,41.0,26.317062338341355,62,62,0
GDN0017,TiltUp,172.97222222222223,125.86111111111111,47.111111111111114,48.72222222222222,27.785481198113743,72,72,0
GDN0017,TiltDown,156.12698412698413,133.04761904761904,23.07936507936508,35.523809523809526,22.07703185293976,63,63,0
GDN0018,Pause,96.70967741935483,149.3548387096774,-52.645161290322584,52.645161290322584,60.41150144929966,62,62,0
GDN0018,Valsalva,97.18840579710145,144.14492753623188,-46.95652173913044,46.95652173913044,55.80531938856306,69,69,0
GDN0018,HoldingBreath,94.70967741935483,142.03225806451613,-47.32258064516129,48.54838709677419,61.8489023698081,62,62,0
GDN0018,TiltUp,138.35051546391753,179.54166666666666,-41.291666666666664,41.291666666666664,30.951984304822673,97,96,1
GDN0019,Pause,103.3061224489796,138.73469387755102,-35.42857142857143,35.755102040816325,37.0913254702652,49,49,0
GDN0019,Valsalva,107.3061224489796,142.89795918367346,-35.59183673469388,36.08163265306123,35.42078296305736,49,49,0
GDN0019,HoldingBreath,104.15094339622641,141.81132075471697,-37.660377358490564,37.660377358490564,37.434568329560506,53,53,0
GDN0019,TiltUp,134.625,174.375,-39.75,39.75,30.030828406742774,80,80,0
GDN0019,TiltDown,104.18181818181819,138.04545454545453,-33.86363636363637,33.86363636363637,34.57024138718679,44,44,0
GDN0020,Pause,110.13333333333334,154.13333333333333,-44.0,44.0,41.69110862356628,60,60,0
GDN0020,Valsalva,115.31506849315069,152.1917808219178,-36.87671232876713,38.52054794520548,40.62668614359265,73,73,0
GDN0020,HoldingBreath,120.375,156.125,-35.75,36.75,34.02360671282632,64,64,0
GDN0020,TiltDown,122.52631578947368,155.26315789473685,-32.73684210526316,32.73684210526316,28.33149800391674,57,57,0
GDN0021,Pause,113.8688524590164,91.18032786885246,22.688524590163933,25.24590163934426,21.466291604329264,61,61,0
GDN0021,Valsalva,120.57971014492753,111.8840579710145,8.695652173913043,29.6231884057971,24.7874230744603,69,69,0
GDN0021,HoldingBreath,120.75,93.05555555555556,27.694444444444443,34.02777777777778,27.42805275301522,72,72,0
GDN0021,TiltUp,126.66666666666667,93.77777777777777,32.888888888888886,40.111111111111114,31.234080921544642,72,72,0
GDN0021,TiltDown,127.11764705882354,87.0,40.11764705882353,42.88235294117647,33.15288500650569,68,68,0
GDN0022,Pause,137.57692307692307,132.19230769230768,5.384615384615385,26.53846153846154,20.582909823385396,52,52,0
GDN0022,Valsalva,149.50943396226415,161.46153846153845,-12.0,16.923076923076923,12.050329252064365,53,52,1
GDN0022,HoldingBreath,188.26865671641792,131.1044776119403,57.16417910447761,57.16417910447761,29.937415042115724,67,67,0
GDN0022,TiltDown,124.53846153846153,127.73076923076923,-3.1923076923076925,19.423076923076923,16.165704968331013,52,52,0
GDN0023,Pause,136.77777777777777,161.5185185185185,-24.74074074074074,25.77777777777778,19.09910485098637,54,54,0
GDN0023,Valsalva,133.84615384615384,157.34615384615384,-23.5,23.5,17.674792135274767,52,52,0
GDN0023,HoldingBreath,139.76923076923077,164.69230769230768,-24.923076923076923,26.307692307692307,20.409038661473993,52,52,0
GDN0023,TiltUp,160.85365853658536,195.8780487804878,-35.02439024390244,35.02439024390244,22.327697423817877,82,82,0
GDN0023,TiltDown,151.62857142857143,179.85714285714286,-28.228571428571428,28.8,19.525219181429538,70,70,0
GDN0024,Pause,138.8695652173913,156.69565217391303,-17.82608695652174,21.652173913043477,16.581907541504556,69,69,0
GDN0024,Valsalva,140.97142857142856,164.0,-23.02857142857143,23.02857142857143,17.100116010785733,70,70,0
GDN0024,HoldingBreath,132.21621621621622,155.56756756756758,-23.35135135135135,28.324324324324323,25.061165973565448,74,74,0
GDN0024,TiltUp,130.5974025974026,150.3116883116883,-19.714285714285715,27.2987012987013,25.87369797652322,77,77,0
GDN0025,Pause,136.8181818181818,144.21212121212122,-7.393939393939394,21.21212121212121,16.148138953149235,66,66,0
