participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,156.70967741935485,-24.516129032258064,24.516129032258064,21.354413291451856,62,62,0
GDN0005,Valsalva,143.77777777777777,154.6984126984127,-10.920634920634921,12.507936507936508,9.341365226635302,63,63,0
GDN0005,HoldingBreath,132.86153846153846,149.84615384615384,-16.984615384615385,17.29230769230769,14.06277630239389,65,65,0
GDN0005,TiltUp,165.30666666666667,180.4,-15.093333333333334,16.053333333333335,10.83519359555444,75,75,0
GDN0005,TiltDown,128.46428571428572,155.28571428571428,-26.821428571428573,26.821428571428573,24.106272193357604,56,56,0
GDN0006,Pause,165.8148148148148,177.85185185185185,-12.037037037037036,12.037037037037036,7.478735434254543,54,54,0
GDN0006,Valsalva,159.0,173.8148148148148,-14.814814814814815,14.814814814814815,9.644202834166425,54,54,0
GDN0006,TiltUp,191.15625,204.5,-13.34375,13.34375,7.0305659613630676,64,64,0
GDN0006,TiltDown,151.92727272727274,169.56363636363636,-17.636363636363637,17.636363636363637,12.442389224081493,55,55,0
GDN0007,Pause,134.61290322580646,163.70967741935485,-29.096774193548388,29.096774193548388,24.497340816477735,62,62,0
GDN0007,Valsalva,144.73684210526315,167.71929824561403,-22.982456140350877,22.982456140350877,16.676839176544483,57,57,0
GDN0007,HoldingBreath,141.16363636363636,167.96363636363637,-26.8,26.8,20.6630933752683,55,55,0
GDN0007,TiltUp,156.02857142857144,177.28571428571428,-21.257142857142856,21.257142857142856,13.929631751383903,70,70,0
GDN0007,TiltDown,139.05454545454546,166.0,-26.945454545454545,26.945454545454545,22.13424019502455,55,55,0
GDN0008,Pause,158.9090909090909,175.6727272727273,-16.763636363636362,16.763636363636362,10.905744086518363,55,55,0
GDN0008,Valsalva,164.14285714285714,180.96428571428572,-16.821428571428573,16.821428571428573,10.634179674765063,56,56,0
GDN0008,HoldingBreath,173.46268656716418,183.41176470588235,-18.941176470588236,18.941176470588236,11.912779870147254,67,17,50
GDN0008,TiltUp,183.91044776119404,197.46428571428572,-15.357142857142858,16.357142857142858,9.569626726428515,67,56,11
GDN0008,TiltDown,172.1153846153846,187.15384615384616,-15.038461538461538,16.26923076923077,10.060027011224772,52,52,0
GDN0009,Pause,150.34615384615384,169.62962962962962,-25.925925925925927,28.0,20.096866204148032,52,27,25
GDN0009,Valsalva,142.23076923076923,168.86363636363637,-28.454545454545453,30.181818181818183,22.566648718867416,52,44,8
GDN0009,TiltUp,156.675,181.0,-26.083333333333332,27.75,19.40691496714692,80,24,56
GDN0009,TiltDown,152.20408163265307,173.86666666666667,-25.266666666666666,28.866666666666667,20.628461685238825,49,30,19
GDN0010,Pause,125.9090909090909,154.95454545454547,-29.045454545454547,29.5,25.980886486136548,44,44,0
GDN0010,HoldingBreath,121.48936170212765,148.89361702127658,-27.404255319148938,30.21276595744681,30.253144324607504,47,47,0
GDN0010,TiltUp,136.54545454545453,161.72727272727272,-25.181818181818183,27.545454545454547,22.239655865509846,44,44,0
GDN0010,TiltDown,121.17073170731707,155.26829268292684,-34.09756097560975,34.09756097560975,33.290477547071134,41,41,0
