participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,158.4516129032258,-26.258064516129032,26.258064516129032,22.705036386407993,0.25173963779895875,62,62,0
GDN0005,Valsalva,143.77777777777777,156.73015873015873,-12.952380952380953,14.412698412698413,10.704301095623194,0.5546624312073629,63,63,0
GDN0005,HoldingBreath,132.86153846153846,150.30769230769232,-17.446153846153845,17.815384615384616,14.39289353387799,0.763873200107582,65,65,0
GDN0005,TiltUp,165.30666666666667,181.92,-16.613333333333333,17.946666666666665,11.974484247564504,0.7249284470832514,75,75,0
GDN0005,TiltDown,128.46428571428572,157.25,-28.785714285714285,28.785714285714285,25.68855649119653,0.5513667946539338,56,56,0
GDN0006,Pause,165.8148148148148,179.7037037037037,-13.88888888888889,13.88888888888889,8.595622354209773,0.4892272916498171,54,54,0
GDN0006,Valsalva,159.0,175.7037037037037,-16.703703703703702,16.703703703703702,10.832691329090762,0.5345398742647626,54,54,0
GDN0006,TiltUp,191.15625,206.125,-14.96875,14.96875,7.8834978007224965,0.6482671564607988,64,64,0
GDN0006,TiltDown,151.92727272727274,171.4181818181818,-19.490909090909092,19.490909090909092,13.676935073791329,0.5471392604971013,55,55,0
GDN0007,Pause,134.61290322580646,164.03225806451613,-29.419354838709676,29.419354838709676,24.444943499301232,0.7790504126998529,62,62,0
GDN0007,Valsalva,144.73684210526315,169.68421052631578,-24.94736842105263,24.94736842105263,18.04783279141082,0.7238510847087821,57,57,0
GDN0007,HoldingBreath,141.16363636363636,169.8909090909091,-28.727272727272727,28.727272727272727,22.080469209792355,0.6976414195892524,55,55,0
GDN0007,TiltUp,156.02857142857144,179.02857142857144,-23.0,23.0,15.033408621657165,0.5151150895877249,70,70,0
GDN0007,TiltDown,139.05454545454546,167.8909090909091,-28.836363636363636,28.836363636363636,23.548378154233,0.6898788952722593,55,55,0
GDN0008,Pause,158.9090909090909,177.6,-18.69090909090909,18.69090909090909,12.122309853617748,0.43591265725174483,55,55,0
GDN0008,Valsalva,164.14285714285714,182.71428571428572,-18.571428571428573,18.571428571428573,11.695924695361452,0.3660621291074463,56,56,0
GDN0008,HoldingBreath,173.46268656716418,187.1764705882353,-22.705882352941178,22.705882352941178,14.187240352356453,0.5827102737435135,67,17,50
GDN0008,TiltUp,183.91044776119404,199.64285714285714,-17.535714285714285,18.464285714285715,10.75085508189295,0.7352769679260008,67,56,11
GDN0008,TiltDown,172.1153846153846,188.96153846153845,-16.846153846153847,18.0,11.060618592472563,0.4363723957886192,52,52,0
GDN0009,Pause,150.34615384615384,170.0,-26.296296296296298,28.814814814814813,20.685290979277543,0.05526567972882659,52,27,25
GDN0009,Valsalva,142.23076923076923,170.8181818181818,-30.40909090909091,31.954545454545453,23.871796921106405,0.41587160830545616,52,44,8
GDN0009,TiltUp,156.675,183.33333333333334,-28.416666666666668,29.916666666666668,20.856301346055876,0.47554933840564223,80,24,56
GDN0009,TiltDown,152.20408163265307,175.8,-27.2,30.533333333333335,21.828620687019793,0.09274307620455165,49,30,19
GDN0010,Pause,125.9090909090909,157.0,-31.09090909090909,31.363636363636363,27.522112766982374,0.39610627996357994,44,44,0
GDN0010,HoldingBreath,121.48936170212765,150.63829787234042,-29.148936170212767,31.872340425531913,31.76816426345583,0.4006561400460502,47,47,0
GDN0010,TiltUp,136.54545454545453,163.13636363636363,-26.59090909090909,28.772727272727273,23.186565920469814,0.635735045207712,44,44,0
GDN0010,TiltDown,121.17073170731707,157.26829268292684,-36.09756097560975,36.09756097560975,35.010460670577395,0.2547318731022748,41,41,0
GDN0011,Pause,132.59649122807016,160.49122807017545,-27.894736842105264,27.894736842105264,22.55780312625181,0.5824888278944593,57,57,0
GDN0011,Valsalva,121.9672131147541,150.19672131147541,-28.229508196721312,29.60655737704918,26.234515840401382,0.29822367108375747,61,61,0
GDN0011,HoldingBreath,134.63636363636363,157.42424242424244,-22.78787878787879,22.78787878787879,18.008613528940483,0.5284570375208284,66,66,0
GDN0011,TiltUp,149.11627906976744,171.4418604651163,-22.325581395348838,22.325581395348838,15.268623961005288,0.34079476425304556,86,86,0
GDN0011,TiltDown,124.53571428571429,151.10714285714286,-26.571428571428573,26.571428571428573,22.36078231417132,0.4233016806404322,56,56,0
GDN0012,Pause,115.40625,152.25,-36.84375,36.84375,38.50461821307055,0.1722276610576713,64,64,0
GDN0012,Valsalva,127.64179104477611,152.88524590163934,-27.60655737704918,28.78688524590164,24.652054586582135,0.49819205134277084,67,61,6
GDN0012,HoldingBreath,128.0,160.28125,-32.28125,32.28125,30.516714658717895,0.5881345316667771,64,64,0
GDN0012,TiltUp,153.85365853658536,177.88888888888889,-24.333333333333332,24.85185185185185,16.964430137521376,0.5074109081272482,82,54,28
GDN0012,TiltDown,113.06849315068493,142.54794520547946,-29.47945205479452,29.47945205479452,27.65984417392621,0.5544908219643443,73,73,0
GDN0013,Pause,152.21212121212122,169.125,-17.0,19.1875,12.880598677323814,0.07276793442738848,66,64,2
GDN0013,Valsalva,152.43076923076924,171.34375,-18.8125,19.5625,13.073849255872869,0.3997717150001845,65,64,1
GDN0013,HoldingBreath,143.18032786885246,166.61016949152543,-23.45762711864407,25.220338983050848,22.44594696453716,0.27404330053375886,61,59,2
GDN0013,TiltUp,148.675,172.225,-23.55,23.55,16.16825794999044,0.13554618764290527,80,80,0
GDN0013,TiltDown,141.36507936507937,163.65079365079364,-22.285714285714285,22.285714285714285,16.193509582748067,0.5490086951745535,63,63,0
GDN0014,Pause,110.92957746478874,139.85915492957747,-28.929577464788732,29.774647887323944,30.32402139964716,0.691401722546708,71,71,0
GDN0014,Valsalva,99.88888888888889,131.75,-31.86111111111111,32.138888888888886,37.52056406917166,0.7658246978536073,72,72,0
GDN0014,HoldingBreath,120.57971014492753,136.73684210526315,-20.842105263157894,31.157894736842106,29.413409003487388,0.2862299995690145,69,19,50
GDN0014,TiltUp,135.89247311827958,160.06451612903226,-24.172043010752688,24.172043010752688,18.319797816821122,0.3711827911116271,93,93,0
GDN0014,TiltDown,114.52459016393442,139.17857142857142,-25.25,29.392857142857142,29.356292633197178,0.5648143168653051,61,56,5
GDN0016,Pause,128.2127659574468,151.31914893617022,-23.106382978723403,27.361702127659573,23.828143964332696,0.5376020413473587,47,47,0
GDN0016,Valsalva,127.6923076923077,149.07692307692307,-21.384615384615383,25.923076923076923,22.551324522072825,0.519909269509657,52,52,0
GDN0016,HoldingBreath,129.73076923076923,150.1153846153846,-20.384615384615383,24.0,21.176315315673147,0.7006364045397646,52,52,0
GDN0016,TiltUp,159.75675675675674,181.83783783783784,-22.08108108108108,22.08108108108108,14.319525900738565,0.41993360437656335,74,74,0
GDN0016,TiltDown,122.41666666666667,151.25,-28.833333333333332,31.583333333333332,27.41764985487622,0.5354112556745727,48,48,0
GDN0017,Valsalva,156.45901639344262,177.34426229508196,-20.885245901639344,20.885245901639344,13.568729776158673,0.8474302739645971,61,61,0
GDN0017,HoldingBreath,153.90322580645162,180.4516129032258,-26.548387096774192,26.548387096774192,17.790580758624696,0.1925035139639382,62,62,0
GDN0017,TiltUp,172.97222222222223,193.08333333333334,-20.11111111111111,23.77777777777778,14.100196446951305,0.07514932171138834,72,72,0
GDN0017,TiltDown,156.12698412698413,176.0952380952381,-19.96825396825397,20.857142857142858,13.67049212794422,0.6995801687145353,63,63,0
GDN0018,Pause,96.70967741935483,144.67741935483872,-47.96774193548387,47.96774193548387,55.67299164439981,0.30184014687737737,62,62,0
GDN0018,Valsalva,97.18840579710145,143.768115942029,-46.57971014492754,46.57971014492754,53.722442615819,0.6706175797710137,69,69,0
GDN0018,HoldingBreath,94.70967741935483,147.7741935483871,-53.064516129032256,53.064516129032256,68.27628051098601,0.1385231545300795,62,62,0
GDN0018,TiltUp,138.35051546391753,173.1875,-34.9375,34.9375,26.37915135499611,0.674030746760614,97,96,1
GDN0019,Pause,103.3061224489796,139.22448979591837,-35.91836734693877,36.48979591836735,37.62342488252297,0.2236573227598572,49,49,0
GDN0019,Valsalva,107.3061224489796,139.42857142857142,-32.12244897959184,32.857142857142854,32.54203284347631,0.24609966603374278,49,49,0
GDN0019,HoldingBreath,104.15094339622641,136.03773584905662,-31.88679245283019,31.88679245283019,32.11400443297048,0.3748007851579806,53,53,0
GDN0019,TiltUp,134.625,164.05,-29.425,29.425,22.33053376101996,0.5445989569281016,80,80,0
GDN0019,TiltDown,104.18181818181819,131.63636363636363,-27.454545454545453,27.454545454545453,28.632472932341123,0.1833698692237945,44,44,0
GDN0020,Pause,110.13333333333334,150.56666666666666,-40.43333333333333,40.43333333333333,38.38439694961218,0.3002144633347046,60,60,0
GDN0020,Valsalva,115.31506849315069,155.2876712328767,-39.97260273972603,39.97260273972603,41.77521435048104,0.38687447876054126,73,73,0
GDN0020,HoldingBreath,120.375,158.40625,-38.03125,38.03125,34.98333349322054,0.2796701265811156,64,64,0
GDN0020,TiltDown,122.52631578947368,152.42105263157896,-29.894736842105264,29.894736842105264,25.844634149189048,0.4566886088709027,57,57,0
GDN0021,Pause,113.8688524590164,154.88524590163934,-41.01639344262295,41.01639344262295,37.52842062885594,0.548498717017854,61,61,0
GDN0021,Valsalva,120.57971014492753,157.33333333333334,-36.7536231884058,36.7536231884058,32.17881891501644,0.42901124989658146,69,69,0
GDN0021,HoldingBreath,120.75,154.88888888888889,-34.138888888888886,34.638888888888886,29.573017141574674,0.42620543654282766,72,72,0
GDN0021,TiltUp,126.66666666666667,160.02777777777777,-33.361111111111114,33.361111111111114,27.26437498543236,0.684454640188755,72,72,0
GDN0021,TiltDown,127.11764705882354,161.3235294117647,-34.205882352941174,34.205882352941174,27.607472354153053,0.5359240880198469,68,68,0
GDN0022,Pause,137.57692307692307,159.3846153846154,-21.807692307692307,29.5,25.998643502001357,0.24463732449235054,52,52,0
GDN0022,Valsalva,149.50943396226415,166.96153846153845,-17.5,18.884615384615383,13.449437577352155,0.20806233230583782,53,52,1
GDN0022,HoldingBreath,188.26865671641792,192.0597014925373,-3.791044776119403,13.82089552238806,7.255875954343973,0.42062931341426485,67,67,0
GDN0022,TiltDown,124.53846153846153,151.73076923076923,-27.192307692307693,29.192307692307693,25.60226030861193,0.29732678019622377,52,52,0
GDN0023,Pause,136.77777777777777,162.74074074074073,-25.962962962962962,25.962962962962962,19.36833912080271,0.25977256058739046,54,54,0
GDN0023,Valsalva,133.84615384615384,156.07692307692307,-22.23076923076923,22.23076923076923,16.78163939137713,0.08773257628700055,52,52,0
GDN0023,HoldingBreath,139.76923076923077,159.3846153846154,-19.615384615384617,20.23076923076923,16.02394608643238,0.4683952958769987,52,52,0
GDN0023,TiltUp,160.85365853658536,183.53658536585365,-22.682926829268293,22.682926829268293,14.617059333652186,0.3496176065712312,82,82,0
