,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,phase,,,,,,,,,,,,,,,,,,,,,,
GDN0005,Pause,0,0,0,352,352,808,808,492,492,573,568,912.0,912.0,81,76,162.0,152.0,,,-10.0,10.0,6.578947368421052
GDN0005,Pause,1,1,1,808,808,1252,1252,948,948,1031,1025,874.0,874.0,83,77,166.0,154.0,,,-12.0,12.0,7.792207792207792
GDN0005,Pause,2,2,2,1252,1252,1686,1686,1385,1386,1461,1456,864.0,864.0,76,70,152.0,140.0,,,-12.0,12.0,8.571428571428571
GDN0005,Pause,3,3,3,1686,1686,2116,2115,1817,1817,1894,1888,858.0,858.0,77,71,154.0,142.0,,,-12.0,12.0,8.450704225352112
GDN0005,Pause,4,4,4,2116,2115,2570,2570,2246,2246,2326,2293,936.0,936.0,80,47,160.0,94.0,,,-66.0,66.0,70.2127659574468
GDN0005,Pause,5,5,5,2570,2570,3036,3036,2714,2714,2789,2780,928.0,928.0,75,66,150.0,132.0,,,-18.0,18.0,13.636363636363635
GDN0005,Pause,6,6,6,3036,3036,3471,3471,3178,3178,3260,3254,840.0,840.0,82,76,164.0,152.0,,,-12.0,12.0,7.894736842105263
GDN0005,Pause,7,7,7,3471,3471,3890,3890,3598,3597,3683,3674,836.0,836.0,85,77,170.0,154.0,,,-16.0,16.0,10.38961038961039
GDN0005,Pause,8,8,8,3890,3890,4308,4308,4016,4016,4104,4093,838.0,838.0,88,77,176.0,154.0,,,-22.0,22.0,14.285714285714285
GDN0005,Pause,9,9,9,4308,4308,4730,4730,4435,4435,4521,4512,846.0,846.0,86,77,172.0,154.0,,,-18.0,18.0,11.688311688311687
GDN0005,Pause,10,10,10,4730,4730,5150,5150,4858,4859,4929,4915,838.0,838.0,71,56,142.0,112.0,,,-30.0,30.0,26.785714285714285
GDN0005,Pause,11,11,11,5150,5150,5571,5571,5277,5278,5356,5337,842.0,842.0,79,59,158.0,118.0,,,-40.0,40.0,33.89830508474576
GDN0005,Pause,13,13,13,6013,6013,6480,6480,6152,6152,6227,6223,948.0,948.0,75,71,150.0,142.0,,,-8.0,8.0,5.633802816901409
GDN0005,Pause,14,14,14,6480,6480,6954,6954,6626,6627,6706,6682,948.0,948.0,80,55,160.0,110.0,,,-50.0,50.0,45.45454545454545
