participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,127.3225806451613,4.870967741935484,14.35483870967742,10.24530239090495,0.5790291584909937,62,62,0
GDN0005,Valsalva,143.77777777777777,134.15873015873015,9.619047619047619,17.873015873015873,12.101400199271078,0.2822322072235777,63,63,0
GDN0005,HoldingBreath,132.86153846153846,126.95384615384616,5.907692307692308,21.107692307692307,15.520086093359382,0.34321596622004674,65,65,0
GDN0005,TiltUp,165.30666666666667,181.1891891891892,-15.18918918918919,16.486486486486488,10.164187210859554,0.7547519813869851,75,74,1
GDN0005,TiltDown,128.46428571428572,98.07142857142857,30.392857142857142,32.607142857142854,23.70208491985985,0.15961415267511547,56,56,0
GDN0006,Pause,165.8148148148148,177.37037037037038,-11.555555555555555,14.148148148148149,8.614317974213451,0.11630132910006155,54,54,0
GDN0006,Valsalva,159.0,155.33333333333334,3.6666666666666665,17.59259259259259,10.94364962929476,0.24385669007309174,54,54,0
GDN0006,TiltUp,191.15625,206.53125,-15.375,16.1875,8.460185856756341,0.5235723769889395,64,64,0
GDN0006,TiltDown,151.92727272727274,147.05454545454546,4.872727272727273,21.454545454545453,14.38174178414638,0.22094956659705872,55,55,0
GDN0007,Pause,134.61290322580646,111.16129032258064,23.451612903225808,34.16129032258065,24.320251996239808,0.17640258422114016,62,62,0
GDN0007,Valsalva,144.73684210526315,121.35714285714286,23.178571428571427,35.67857142857143,24.625772470763792,0.24306946790960318,57,56,1
GDN0007,HoldingBreath,141.16363636363636,124.2909090909091,16.87272727272727,29.89090909090909,20.335564430157866,0.20558196054751612,55,55,0
GDN0007,TiltUp,156.02857142857144,161.97142857142856,-5.942857142857143,14.457142857142857,9.199941484538236,0.4428182260069449,70,70,0
GDN0007,TiltDown,139.05454545454546,117.27272727272727,21.78181818181818,34.654545454545456,24.656512421721423,0.12570848599312628,55,55,0
GDN0008,Pause,158.9090909090909,164.0,-5.090909090909091,15.49090909090909,9.813148331033101,0.5965546986884877,55,55,0
GDN0008,Valsalva,164.14285714285714,171.67857142857142,-7.535714285714286,15.178571428571429,9.170440846077526,0.4028276219805195,56,56,0
GDN0008,HoldingBreath,173.46268656716418,198.35294117647058,-33.88235294117647,33.88235294117647,21.54384135725461,-0.2899179671884282,67,17,50
GDN0008,TiltUp,183.91044776119404,186.82142857142858,-4.714285714285714,15.5,8.646508603226515,0.5168323197155709,67,56,11
GDN0008,TiltDown,172.1153846153846,182.46153846153845,-10.346153846153847,12.038461538461538,7.025130686912376,0.6068562678598787,52,52,0
GDN0009,Pause,150.34615384615384,131.62962962962962,12.074074074074074,31.77777777777778,22.2679581034961,-0.039488250415731174,52,27,25
GDN0009,Valsalva,142.23076923076923,162.72727272727272,-22.318181818181817,28.045454545454547,20.813685695579,0.16373481275007884,52,44,8
GDN0009,TiltUp,156.675,167.0,-12.083333333333334,20.25,14.136886656726263,0.33751208707860086,80,24,56
GDN0009,TiltDown,152.20408163265307,156.26666666666668,-7.666666666666667,20.866666666666667,14.278876053531658,0.26024518157372617,49,30,19
GDN0010,Pause,125.9090909090909,119.27272727272727,6.636363636363637,22.181818181818183,17.16944949993038,0.23885529408547532,44,44,0
GDN0010,HoldingBreath,121.48936170212765,117.7872340425532,3.702127659574468,24.638297872340427,21.193217996049647,0.1584114077562377,47,47,0
GDN0010,TiltUp,136.54545454545453,141.72727272727272,-5.181818181818182,28.90909090909091,21.356829579622136,0.41023344844997844,44,44,0
GDN0010,TiltDown,121.17073170731707,113.60975609756098,7.560975609756097,22.390243902439025,17.86981101695508,0.18024004539647026,41,41,0
GDN0011,Pause,132.59649122807016,136.94736842105263,-4.350877192982456,15.298245614035087,11.818912494758596,0.4452184633569463,57,57,0
GDN0011,Valsalva,121.9672131147541,132.45901639344262,-10.491803278688524,24.918032786885245,20.550197429899683,0.20902565235323103,61,61,0
GDN0011,HoldingBreath,134.63636363636363,143.54545454545453,-8.909090909090908,17.03030303030303,12.847071765911595,0.565815043236604,66,66,0
GDN0011,TiltUp,149.11627906976744,164.37209302325581,-15.255813953488373,15.255813953488373,10.160147364910864,0.8453981725972888,86,86,0
GDN0011,TiltDown,124.53571428571429,130.98181818181817,-6.4363636363636365,14.581818181818182,11.595292264323508,0.37118464097784276,56,55,1
GDN0012,Pause,115.40625,126.875,-11.46875,20.65625,18.429965329338554,0.6048173615371228,64,64,0
GDN0012,Valsalva,127.64179104477611,134.98360655737704,-9.704918032786885,22.360655737704917,18.414731407911173,0.4715480191555122,67,61,6
GDN0012,HoldingBreath,128.0,132.34375,-4.34375,20.78125,18.118936739855698,0.5726804855577761,64,64,0
GDN0012,TiltUp,153.85365853658536,171.66666666666666,-18.11111111111111,22.925925925925927,15.1828833601356,0.35011689058752865,82,54,28
GDN0012,TiltDown,113.06849315068493,108.88888888888889,4.194444444444445,20.194444444444443,17.442070056894984,0.08524350291666406,73,72,1
GDN0013,Pause,152.21212121212122,161.46875,-9.34375,13.03125,8.60188596980638,0.25919822542443977,66,64,2
GDN0013,Valsalva,152.43076923076924,156.4126984126984,-3.7777777777777777,14.063492063492063,9.244403420358957,0.3422239682128867,65,63,2
GDN0013,HoldingBreath,143.18032786885246,149.4915254237288,-6.338983050847458,15.152542372881356,13.703715444715952,0.4489774744447896,61,59,2
GDN0013,TiltUp,148.675,166.5,-17.825,19.175,12.957639097066073,0.48008764177606517,80,80,0
GDN0013,TiltDown,141.36507936507937,147.93650793650792,-6.571428571428571,9.873015873015873,6.960599375384551,0.6332689744145491,63,63,0
GDN0014,Pause,110.92957746478874,53.529411764705884,57.14705882352941,63.55882352941177,57.78242207934868,0.27982875497779974,71,68,3
GDN0014,Valsalva,99.88888888888889,70.61111111111111,29.27777777777778,39.77777777777778,36.92388792076029,0.01230913057044035,72,72,0
GDN0014,HoldingBreath,120.57971014492753,104.94117647058823,14.352941176470589,38.8235294117647,34.41746128838971,0.21320565564291974,69,17,52
GDN0014,TiltUp,135.89247311827958,156.7311827956989,-20.838709677419356,21.35483870967742,15.90848749081912,0.5353162786749962,93,93,0
GDN0014,TiltDown,114.52459016393442,33.92857142857143,80.0,83.0,71.13071640137721,-0.14232768113485608,61,56,5
GDN0016,Pause,128.2127659574468,121.91489361702128,6.297872340425532,28.93617021276596,20.758721663126167,0.3039314164945106,47,47,0
GDN0016,Valsalva,127.6923076923077,107.73076923076923,19.96153846153846,28.03846153846154,19.824690422703306,0.14800962851300856,52,52,0
GDN0016,HoldingBreath,129.73076923076923,119.46153846153847,10.26923076923077,22.192307692307693,15.50132376309904,0.425588984623274,52,52,0
GDN0016,TiltUp,159.75675675675674,169.0,-9.243243243243244,13.72972972972973,8.503507664065742,0.6300948654451923,74,74,0
GDN0016,TiltDown,122.41666666666667,114.625,7.791666666666667,15.208333333333334,11.249855906264663,0.3510736235910085,48,48,0
GDN0017,Valsalva,156.45901639344262,174.36065573770492,-17.901639344262296,18.688524590163933,12.076938709768163,0.6402474826883083,61,61,0
GDN0017,HoldingBreath,153.90322580645162,171.06451612903226,-17.161290322580644,18.129032258064516,12.115030647936843,0.428039058208992,62,62,0
GDN0017,TiltUp,172.97222222222223,191.88888888888889,-18.916666666666668,22.805555555555557,13.415017078673838,0.22006023499385435,72,72,0
GDN0017,TiltDown,156.12698412698413,172.984126984127,-16.857142857142858,19.26984126984127,12.652325854258214,0.6854002228659403,63,63,0
GDN0018,Pause,96.70967741935483,123.48387096774194,-26.774193548387096,29.35483870967742,34.35782393114851,0.38050227853761903,62,62,0
GDN0018,Valsalva,97.18840579710145,101.33333333333333,-4.144927536231884,33.710144927536234,35.095200364077925,0.16525531086449352,69,69,0
GDN0018,HoldingBreath,94.70967741935483,106.35483870967742,-11.64516129032258,29.193548387096776,34.43263081544911,0.2442500335825478,62,62,0
GDN0018,TiltUp,138.35051546391753,168.47916666666666,-30.229166666666668,30.604166666666668,22.69650366346239,0.7448146020828545,97,96,1
GDN0019,Pause,103.3061224489796,112.28571428571429,-8.979591836734693,17.142857142857142,17.02367881793882,0.1208976538586515,49,49,0
GDN0019,Valsalva,107.3061224489796,116.53061224489795,-9.224489795918368,15.183673469387756,14.339175916790438,0.640385528184774,49,49,0
GDN0019,HoldingBreath,104.15094339622641,121.58490566037736,-17.433962264150942,17.433962264150942,17.185828787321384,0.6766986538755003,53,53,0
GDN0019,TiltUp,134.625,151.05,-16.425,17.575,13.051993228664529,0.6361716752474631,80,80,0
GDN0019,TiltDown,104.18181818181819,129.54545454545453,-25.363636363636363,26.0,26.877687315607208,0.13171456246992758,44,44,0
GDN0020,Pause,110.13333333333334,124.06666666666666,-13.933333333333334,17.466666666666665,16.13320649949372,0.5480609798004191,60,60,0
GDN0020,Valsalva,115.31506849315069,117.64383561643835,-2.328767123287671,35.15068493150685,31.086552825180448,0.12064427724488193,73,73,0
