participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,126.0,6.193548387096774,17.096774193548388,13.43953598508499,62,62,0
GDN0005,Valsalva,143.77777777777777,125.96825396825396,17.80952380952381,19.396825396825395,12.81359943881173,63,63,0
GDN0005,HoldingBreath,132.86153846153846,125.75384615384615,7.107692307692307,14.36923076923077,10.636683335468653,65,65,0
GDN0005,TiltUp,165.30666666666667,125.44,39.86666666666667,41.89333333333333,25.11304467371607,75,75,0
GDN0005,TiltDown,128.46428571428572,126.0,2.4642857142857144,17.964285714285715,14.923634819936968,56,56,0
GDN0006,Pause,165.8148148148148,125.77777777777777,40.03703703703704,40.03703703703704,23.932389824209466,54,54,0
GDN0006,Valsalva,159.0,126.0,33.0,33.0,20.45855815310023,54,54,0
GDN0006,TiltUp,191.15625,120.59375,70.5625,70.5625,36.82035644882979,64,64,0
GDN0006,TiltDown,151.92727272727274,126.0,25.927272727272726,27.6,17.902316557523587,55,55,0
GDN0007,Pause,134.61290322580646,125.96774193548387,8.64516129032258,20.387096774193548,15.852133359892616,62,62,0
GDN0007,Valsalva,144.73684210526315,125.96491228070175,18.771929824561404,21.228070175438596,14.248769191233828,57,57,0
GDN0007,HoldingBreath,141.16363636363636,125.81818181818181,15.345454545454546,21.745454545454546,15.062984090981573,55,55,0
GDN0007,TiltUp,156.02857142857144,124.82857142857142,31.2,31.2,19.70890268440858,70,70,0
GDN0007,TiltDown,139.05454545454546,126.0,13.054545454545455,21.927272727272726,16.516874881005407,55,55,0
GDN0008,Pause,158.9090909090909,125.0909090909091,33.81818181818182,33.81818181818182,20.959220967389108,55,55,0
GDN0008,Valsalva,164.14285714285714,124.10714285714286,40.035714285714285,40.035714285714285,24.087037537544546,56,56,0
GDN0008,HoldingBreath,173.46268656716418,124.70588235294117,39.76470588235294,39.76470588235294,23.737459290593705,67,17,50
GDN0008,TiltUp,183.91044776119404,121.28571428571429,60.82142857142857,60.82142857142857,32.345212933106,67,56,11
GDN0008,TiltDown,172.1153846153846,122.53846153846153,49.57692307692308,49.57692307692308,28.207181964319236,52,52,0
GDN0009,Pause,150.34615384615384,125.77777777777777,17.925925925925927,17.925925925925927,11.850140224953615,52,27,25
GDN0009,Valsalva,142.23076923076923,125.68181818181819,14.727272727272727,18.454545454545453,12.720392534257467,52,44,8
GDN0009,TiltUp,156.675,124.16666666666667,30.75,32.916666666666664,20.157350559481532,80,24,56
GDN0009,TiltDown,152.20408163265307,125.6,23.0,25.0,16.02053383899144,49,30,19
GDN0010,Pause,125.9090909090909,126.0,-0.09090909090909091,14.363636363636363,12.35679931225615,44,44,0
GDN0010,HoldingBreath,121.48936170212765,125.95744680851064,-4.468085106382978,18.25531914893617,19.017844755778654,47,47,0
GDN0010,TiltUp,136.54545454545453,125.36363636363636,11.181818181818182,20.0,14.558443413810354,44,44,0
GDN0010,TiltDown,121.17073170731707,126.0,-4.829268292682927,17.51219512195122,17.148172227181103,41,41,0
GDN0011,Pause,132.59649122807016,125.85964912280701,6.7368421052631575,14.385964912280702,10.86171539993179,57,57,0
GDN0011,Valsalva,121.9672131147541,126.0,-4.032786885245901,14.59016393442623,12.774540267584008,61,61,0
GDN0011,HoldingBreath,134.63636363636363,125.87878787878788,8.757575757575758,14.515151515151516,10.710942902816756,66,66,0
GDN0011,TiltUp,149.11627906976744,125.6046511627907,23.511627906976745,23.511627906976745,15.484407084693077,86,86,0
GDN0011,TiltDown,124.53571428571429,125.78571428571429,-1.25,10.678571428571429,8.958801514283342,56,56,0
GDN0012,Pause,115.40625,125.84375,-10.4375,15.8125,18.528613923930184,64,64,0
GDN0012,Valsalva,127.64179104477611,125.93442622950819,-0.6557377049180327,12.131147540983607,10.185334672442952,67,61,6
GDN0012,HoldingBreath,128.0,125.8125,2.1875,16.6875,16.222599556335968,64,64,0
GDN0012,TiltUp,153.85365853658536,125.4074074074074,28.14814814814815,28.22222222222222,17.52894047314036,82,54,28
GDN0012,TiltDown,113.06849315068493,125.36986301369863,-12.301369863013699,13.89041095890411,13.96270050878317,73,73,0
GDN0013,Pause,152.21212121212122,126.0,26.125,26.1875,16.85957356379954,66,64,2
GDN0013,Valsalva,152.43076923076924,125.875,26.65625,26.65625,17.126240883345268,65,64,1
GDN0013,HoldingBreath,143.18032786885246,125.32203389830508,17.83050847457627,22.305084745762713,17.97077947096968,61,59,2
GDN0013,TiltUp,148.675,125.775,22.9,23.0,15.219898250568747,80,80,0
GDN0013,TiltDown,141.36507936507937,125.96825396825396,15.396825396825397,15.968253968253968,10.781085930579605,63,63,0
GDN0014,Pause,110.92957746478874,123.85915492957747,-12.929577464788732,21.098591549295776,22.564091724496816,71,71,0
GDN0014,Valsalva,99.88888888888889,123.61111111111111,-23.72222222222222,27.77777777777778,34.9934484295903,72,72,0
GDN0014,HoldingBreath,120.57971014492753,119.47368421052632,-3.5789473684210527,18.31578947368421,18.256598257971206,69,19,50
GDN0014,TiltUp,135.89247311827958,124.60215053763442,11.290322580645162,13.182795698924732,9.533061026474229,93,93,0
GDN0014,TiltDown,114.52459016393442,123.89285714285714,-9.964285714285714,19.464285714285715,21.504013856697448,61,56,5
GDN0016,Pause,128.2127659574468,125.95744680851064,2.25531914893617,19.70212765957447,16.144164490458394,47,47,0
GDN0016,Valsalva,127.6923076923077,125.96153846153847,1.7307692307692308,20.576923076923077,16.79553915960438,52,52,0
GDN0016,HoldingBreath,129.73076923076923,125.8076923076923,3.923076923076923,24.384615384615383,19.62210857127636,52,52,0
GDN0016,TiltUp,159.75675675675674,124.05405405405405,35.7027027027027,35.7027027027027,21.9015656416529,74,74,0
GDN0016,TiltDown,122.41666666666667,126.0,-3.5833333333333335,17.666666666666668,15.674849646280295,48,48,0
GDN0017,Valsalva,156.45901639344262,125.80327868852459,30.65573770491803,30.78688524590164,19.294554877481584,61,61,0
GDN0017,HoldingBreath,153.90322580645162,125.80645161290323,28.096774193548388,28.612903225806452,18.277968230662538,62,62,0
GDN0017,TiltUp,172.97222222222223,124.47222222222223,48.5,48.5,27.594469009267705,72,72,0
GDN0017,TiltDown,156.12698412698413,126.0,30.126984126984127,30.126984126984127,18.72637932670717,63,63,0
GDN0018,Pause,96.70967741935483,125.80645161290323,-29.096774193548388,29.096774193548388,35.706881152276154,62,62,0
GDN0018,Valsalva,97.18840579710145,125.68115942028986,-28.492753623188406,29.18840579710145,36.52420104174907,69,69,0
GDN0018,HoldingBreath,94.70967741935483,126.0,-31.29032258064516,31.419354838709676,43.568649572026914,62,62,0
GDN0018,TiltUp,138.35051546391753,125.875,12.375,16.5,11.885945991124432,97,96,1
GDN0019,Pause,103.3061224489796,125.83673469387755,-22.53061224489796,23.510204081632654,24.936541425552374,49,49,0
