participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,102.32786885245902,30.065573770491802,36.75409836065574,27.622152645788024,0.012635940748779178,62,61,1
GDN0005,Valsalva,143.77777777777777,101.41935483870968,42.774193548387096,42.83870967741935,29.307164258109893,0.2098810753489082,63,62,1
GDN0005,HoldingBreath,132.86153846153846,89.21875,44.28125,45.28125,33.57554403651619,0.28015449271826093,65,64,1
GDN0005,TiltUp,165.30666666666667,122.72972972972973,42.45945945945946,45.37837837837838,27.335400526681063,0.3620838355740777,75,74,1
GDN0005,TiltLevel,128.46428571428572,107.6,20.581818181818182,31.272727272727273,24.62693741218069,-0.02474301037489188,56,55,1
GDN0006,Pause,165.8148148148148,125.57692307692308,40.42307692307692,40.73076923076923,24.37838890867093,0.09271215219735722,54,52,2
GDN0006,Valsalva,159.0,121.05660377358491,38.113207547169814,38.113207547169814,23.84196237063597,0.30615461247614817,54,53,1
GDN0006,TiltUp,191.15625,140.95238095238096,50.22222222222222,50.22222222222222,26.25224889173702,0.20784022781028694,64,63,1
GDN0006,TiltLevel,151.92727272727274,112.33333333333333,39.51851851851852,41.074074074074076,26.989086207826777,0.17168686366207164,55,54,1
GDN0007,Pause,134.61290322580646,96.45901639344262,38.0655737704918,44.032786885245905,31.661854448630006,-0.5917119874663377,62,61,1
GDN0007,Valsalva,144.73684210526315,94.21428571428571,51.17857142857143,53.107142857142854,36.00483326662458,-0.2563357559994657,57,56,1
GDN0007,HoldingBreath,141.16363636363636,98.74074074074075,42.18518518518518,46.18518518518518,31.35919452448912,-0.5983692837194069,55,54,1
GDN0007,TiltUp,156.02857142857144,112.89855072463769,42.84057971014493,44.17391304347826,28.202580916994997,0.04361580452220624,70,69,1
GDN0007,TiltLevel,139.05454545454546,96.4074074074074,42.22222222222222,47.77777777777778,33.741299779426285,-0.4906226420475681,55,54,1
GDN0008,Pause,158.9090909090909,121.37037037037037,37.81481481481482,37.81481481481482,23.75376796302893,0.45039840349959404,55,54,1
GDN0008,Valsalva,164.14285714285714,123.7090909090909,40.472727272727276,40.981818181818184,24.874505888009264,0.29032774183353033,56,55,1
GDN0008,HoldingBreath,173.46268656716418,121.76470588235294,42.705882352941174,44.35294117647059,26.932792974410603,0.23602166517134338,67,17,50
GDN0008,TiltUp,183.91044776119404,142.46428571428572,39.642857142857146,43.0,23.50056629024103,0.4019259381249655,67,56,11
GDN0008,TiltLevel,172.1153846153846,129.05882352941177,44.0,45.490196078431374,26.025608359931045,0.04581601659725303,52,51,1
GDN0009,Pause,150.34615384615384,140.14814814814815,3.5555555555555554,25.48148148148148,17.164243213933826,0.22907958398911588,52,27,25
GDN0009,Valsalva,142.23076923076923,142.5581395348837,-2.7906976744186047,26.697674418604652,19.218981362975594,0.07381256183986203,52,43,9
GDN0009,TiltUp,156.675,143.66666666666666,11.25,31.083333333333332,20.328742274727208,-0.08067056596289827,80,24,56
GDN0009,TiltLevel,152.20408163265307,145.46666666666667,3.1333333333333333,32.2,21.79334479887649,0.05918758634668165,49,30,19
GDN0010,Pause,125.9090909090909,99.53488372093024,26.41860465116279,33.02325581395349,25.76773704567513,0.01917818512145446,44,43,1
GDN0010,HoldingBreath,121.48936170212765,93.26086956521739,28.52173913043478,40.95652173913044,34.49767695719135,-0.2443145737064561,47,46,1
GDN0010,TiltUp,136.54545454545453,103.80952380952381,32.04761904761905,39.476190476190474,29.11458246714832,0.1404963691169068,44,42,2
GDN0010,TiltLevel,121.17073170731707,100.45,20.4,34.3,29.237662903535306,-0.22479888566126677,41,40,1
GDN0011,Pause,132.59649122807016,98.96428571428571,33.285714285714285,38.642857142857146,28.86824292801553,-0.15377379797353244,57,56,1
GDN0011,Valsalva,121.9672131147541,95.7,26.166666666666668,34.766666666666666,27.689414802586892,-0.3218687346359506,61,60,1
GDN0011,HoldingBreath,134.63636363636363,89.35384615384615,45.292307692307695,46.52307692307692,34.20269772220149,0.17363873341366035,66,65,1
GDN0011,TiltUp,149.11627906976744,94.37647058823529,54.8235294117647,55.34117647058824,37.071038506876846,0.2266690758042053,86,85,1
GDN0011,TiltLevel,124.53571428571429,90.18181818181819,34.32727272727273,39.345454545454544,31.0368657549489,-0.04900048478290615,56,55,1
GDN0012,Pause,115.40625,108.63492063492063,6.444444444444445,28.349206349206348,26.891271314085703,-0.22446916897020042,64,63,1
