participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,132.90322580645162,-0.7096774193548387,21.483870967741936,17.09297572142137,-0.06023041867435288,62,62,0
GDN0005,Valsalva,143.77777777777777,126.88888888888889,16.88888888888889,24.444444444444443,16.46015837312648,-0.31152989930898584,63,63,0
GDN0005,HoldingBreath,132.86153846153846,134.09230769230768,-1.2307692307692308,16.923076923076923,12.962205404881045,0.009143481574069958,65,65,0
GDN0005,TiltUp,165.30666666666667,126.71232876712328,38.49315068493151,46.602739726027394,28.107933017273446,0.20238911063123408,75,73,2
GDN0005,TiltLevel,128.46428571428572,115.92857142857143,12.535714285714286,30.75,24.370939024895538,-0.5177299012194772,56,56,0
GDN0006,Pause,165.8148148148148,158.92592592592592,6.888888888888889,14.518518518518519,8.768458036583157,0.07435874134645383,54,54,0
GDN0006,Valsalva,159.0,153.37037037037038,5.62962962962963,13.777777777777779,8.731476799490807,0.0100371817159567,54,54,0
GDN0006,TiltUp,191.15625,202.3125,-11.15625,13.34375,7.023083743858642,0.5577466767764006,64,64,0
GDN0006,TiltLevel,151.92727272727274,146.94545454545454,4.9818181818181815,17.272727272727273,11.820639081251059,0.05523362001668209,55,55,0
GDN0007,Pause,134.61290322580646,103.54838709677419,31.06451612903226,40.74193548387097,29.21528048277832,-0.5083693640454261,62,62,0
GDN0007,Valsalva,144.73684210526315,93.57894736842105,51.1578947368421,54.03508771929825,36.5870653258705,-0.3296346248489508,57,57,0
GDN0007,HoldingBreath,141.16363636363636,107.16363636363636,34.0,44.90909090909091,30.68379269177839,-0.46386056450559515,55,55,0
GDN0007,TiltUp,156.02857142857144,170.11428571428573,-14.085714285714285,21.514285714285716,13.98081653082292,0.1720373257506144,70,70,0
GDN0007,TiltLevel,139.05454545454546,97.55555555555556,41.666666666666664,49.51851851851852,35.014707403598614,-0.45559390196002825,55,54,1
GDN0008,Pause,158.9090909090909,165.38181818181818,-6.472727272727273,16.8,10.727292764532987,0.05337888281669861,55,55,0
GDN0008,Valsalva,164.14285714285714,174.75,-10.607142857142858,12.607142857142858,7.9004028153424155,0.348619334638797,56,56,0
GDN0008,HoldingBreath,173.46268656716418,176.23529411764707,-11.764705882352942,14.117647058823529,8.99380964339052,0.3299731697743299,67,17,50
GDN0008,TiltUp,183.91044776119404,192.64285714285714,-10.535714285714286,19.964285714285715,11.28555150970641,0.5597521687830981,67,56,11
GDN0008,TiltLevel,172.1153846153846,179.80769230769232,-7.6923076923076925,17.0,10.214456484288252,0.2467652105806949,52,52,0
GDN0009,Pause,150.34615384615384,87.92307692307692,56.46153846153846,63.69230769230769,44.65531033037476,0.4964724112487707,52,26,26
GDN0009,Valsalva,142.23076923076923,95.38095238095238,45.80952380952381,52.76190476190476,36.88500586816031,0.10028738495011043,52,42,10
GDN0009,TiltUp,156.675,179.7391304347826,-25.91304347826087,30.956521739130434,21.971517118025453,0.08816722972712193,80,23,57
GDN0009,TiltLevel,152.20408163265307,93.8,54.8,67.33333333333333,45.12805635710803,0.027244278045438632,49,30,19
GDN0010,Pause,125.9090909090909,93.9090909090909,32.0,37.09090909090909,29.04696036294325,0.0709676419397796,44,44,0
