participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,137.03225806451613,-4.838709677419355,20.580645161290324,16.667244568537807,0.010742601226401414,62,62,0
GDN0005,Valsalva,143.77777777777777,130.984126984127,12.793650793650794,22.444444444444443,15.274353028219414,-0.24008513244784305,63,63,0
GDN0005,HoldingBreath,132.86153846153846,141.16923076923078,-8.307692307692308,13.415384615384616,10.804821944834531,0.47461011149311993,65,65,0
GDN0005,TiltUp,165.30666666666667,136.05333333333334,29.253333333333334,40.72,24.871616705068455,0.03471975000823043,75,75,0
GDN0005,TiltLevel,128.46428571428572,119.03571428571429,9.428571428571429,29.214285714285715,23.499788891053004,-0.4804622889095325,56,56,0
GDN0006,Pause,165.8148148148148,169.8148148148148,-4.0,8.148148148148149,5.036039702540995,0.04461155997460075,54,54,0
GDN0006,Valsalva,159.0,155.92592592592592,3.074074074074074,13.37037037037037,8.530256352434677,0.07157612463445223,54,54,0
GDN0006,TiltUp,191.15625,207.75,-16.59375,16.59375,8.727329504997428,0.5935689121348279,64,64,0
GDN0006,TiltLevel,151.92727272727274,158.03636363636363,-6.109090909090909,10.690909090909091,7.800263334249549,0.2897350027217808,55,55,0
GDN0007,Pause,134.61290322580646,105.54838709677419,29.06451612903226,39.774193548387096,28.68253901467791,-0.5083693640454261,62,62,0
GDN0007,Valsalva,144.73684210526315,99.2280701754386,45.50877192982456,48.73684210526316,33.08321354362612,-0.23605243165399573,57,57,0
GDN0007,HoldingBreath,141.16363636363636,110.87272727272727,30.29090909090909,42.29090909090909,29.082407759829092,-0.40488425044489496,55,55,0
GDN0007,TiltUp,156.02857142857144,177.14285714285714,-21.114285714285714,22.257142857142856,14.582173008051207,0.2171726611985647,70,70,0
