,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_peak_sample,q_peak_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,heart_rate_bpm,heart_rate_bpm,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,phase,,,,,,,,,,,,,,,,,,,,,,,,
GDN0005,Pause,0,0,0,352,352,808,808,494,492,537,568,912.0,912.0,65.78947368421052,65.78947368421052,43,76,86.0,152.0,,,66.0,66.0,43.42105263157895
GDN0005,Pause,1,1,1,808,808,1252,1252,950,948,1030,1025,874.0,874.0,68.64988558352402,68.64988558352402,80,77,160.0,154.0,,,-6.0,6.0,3.896103896103896
GDN0005,Pause,2,2,2,1252,1252,1686,1686,1387,1386,1457,1456,864.0,864.0,69.44444444444444,69.44444444444444,70,70,140.0,140.0,,,0.0,0.0,0.0
GDN0005,Pause,3,3,3,1686,1686,2116,2115,1819,1817,1890,1888,858.0,858.0,69.93006993006993,69.93006993006993,71,71,142.0,142.0,,,0.0,0.0,0.0
GDN0005,Pause,4,4,4,2116,2115,2570,2570,2248,2246,2299,2293,936.0,936.0,64.1025641025641,64.1025641025641,51,47,102.0,94.0,,,-8.0,8.0,8.51063829787234
GDN0005,Pause,5,5,5,2570,2570,3036,3036,2716,2714,2782,2780,928.0,928.0,64.6551724137931,64.6551724137931,66,66,132.0,132.0,,,0.0,0.0,0.0
GDN0005,Pause,6,6,6,3036,3036,3471,3471,3180,3178,3259,3254,840.0,840.0,71.42857142857143,71.42857142857143,79,76,158.0,152.0,,,-6.0,6.0,3.9473684210526314
GDN0005,Pause,7,7,7,3471,3471,3890,3890,3600,3597,3683,3674,836.0,836.0,71.77033492822967,71.77033492822967,83,77,166.0,154.0,,,-12.0,12.0,7.792207792207792
GDN0005,Pause,8,8,8,3890,3890,4308,4308,4018,4016,4056,4093,838.0,838.0,71.59904534606206,71.59904534606206,38,77,76.0,154.0,,,78.0,78.0,50.649350649350644
GDN0005,Pause,9,9,9,4308,4308,4730,4730,4437,4435,4524,4512,846.0,846.0,70.92198581560284,70.92198581560284,87,77,174.0,154.0,,,-20.0,20.0,12.987012987012985
GDN0005,Pause,10,10,10,4730,4730,5150,5150,4860,4859,4922,4915,838.0,838.0,71.59904534606206,71.59904534606206,62,56,124.0,112.0,,,-12.0,12.0,10.714285714285714
GDN0005,Pause,11,11,11,5150,5150,5571,5571,5279,5278,5338,5337,842.0,842.0,71.25890736342043,71.25890736342043,59,59,118.0,118.0,,,0.0,0.0,0.0
GDN0005,Pause,13,13,13,6013,6013,6480,6480,6154,6152,6224,6223,948.0,948.0,63.29113924050633,63.29113924050633,70,71,140.0,142.0,,,2.0,2.0,1.4084507042253522
GDN0005,Pause,14,14,14,6480,6480,6954,6954,6628,6627,6683,6682,948.0,948.0,63.29113924050633,63.29113924050633,55,55,110.0,110.0,,,0.0,0.0,0.0
GDN0005,Pause,15,15,15,6954,6954,7416,7416,7102,7100,7130,7145,912.0,912.0,65.78947368421052,65.78947368421052,28,45,56.0,90.0,,,34.0,34.0,37.77777777777778
GDN0005,Pause,16,16,16,7416,7416,7852,7852,7558,7556,7609,7609,850.0,850.0,70.58823529411765,70.58823529411765,51,53,102.0,106.0,,,4.0,4.0,3.7735849056603774
GDN0005,Pause,17,17,17,7852,7852,8262,8262,7983,7981,8042,8040,804.0,804.0,74.62686567164178,74.62686567164178,59,59,118.0,118.0,,,0.0,0.0,0.0
GDN0005,Pause,18,18,18,8262,8262,8657,8657,8385,8383,8450,8447,782.0,782.0,76.72634271099744,76.72634271099744,65,64,130.0,128.0,,,-2.0,2.0,1.5625
GDN0005,Pause,19,19,19,8657,8657,9047,9047,8776,8774,8835,8828,778.0,778.0,77.12082262210797,77.12082262210797,59,54,118.0,108.0,,,-10.0,10.0,9.25925925925926
GDN0005,Pause,20,20,20,9047,9047,9445,9445,9165,9163,9201,9201,806.0,806.0,74.44168734491315,74.44168734491315,36,38,72.0,76.0,,,4.0,4.0,5.263157894736842
GDN0005,Pause,21,21,21,9445,9445,9854,9854,9568,9566,9645,9643,824.0,824.0,72.81553398058253,72.81553398058253,77,77,154.0,154.0,,,0.0,0.0,0.0
GDN0005,Pause,22,22,22,9854,9854,10259,10259,9980,9979,10061,10057,804.0,804.0,74.62686567164178,74.62686567164178,81,78,162.0,156.0,,,-6.0,6.0,3.8461538461538463
GDN0005,Pause,23,23,23,10259,10259,10683,10683,10382,10380,10463,10459,872.0,872.0,68.80733944954129,68.80733944954129,81,79,162.0,158.0,,,-4.0,4.0,2.5316455696202533
GDN0005,Pause,24,24,24,10683,10683,11132,11132,10818,10816,10900,10880,912.0,912.0,65.78947368421052,65.78947368421052,82,64,164.0,128.0,,,-36.0,36.0,28.125
GDN0005,Pause,25,25,25,11132,11132,11590,11590,11274,11272,11341,11339,916.0,916.0,65.50218340611353,65.50218340611353,67,67,134.0,134.0,,,0.0,0.0,0.0
GDN0005,Pause,26,26,26,11590,11590,12042,12042,11732,11730,11793,11797,900.0,900.0,66.66666666666667,66.66666666666667,61,67,122.0,134.0,,,12.0,12.0,8.955223880597014
GDN0005,Pause,27,27,27,12042,12042,12515,12515,12182,12180,12249,12249,968.0,968.0,61.98347107438017,61.98347107438017,67,69,134.0,138.0,,,4.0,4.0,2.898550724637681
GDN0005,Pause,28,28,28,12515,12515,13015,13015,12666,12665,12738,12737,1018.0,1018.0,58.93909626719057,58.93909626719057,72,72,144.0,144.0,,,0.0,0.0,0.0
GDN0005,Pause,29,29,29,13015,13015,13517,13517,13175,13173,13245,13241,996.0,996.0,60.24096385542169,60.24096385542169,70,68,140.0,136.0,,,-4.0,4.0,2.941176470588235
GDN0005,Pause,30,30,30,13517,13517,14013,14013,13673,13671,13728,13728,990.0,990.0,60.60606060606061,60.60606060606061,55,57,110.0,114.0,,,4.0,4.0,3.508771929824561
GDN0005,Pause,31,31,31,14013,14013,14501,14501,14168,14166,14228,14235,968.0,968.0,61.98347107438017,61.98347107438017,60,69,120.0,138.0,,,18.0,18.0,13.043478260869565
GDN0005,Pause,32,32,32,14501,14501,14981,14981,14652,14651,14728,14725,958.0,958.0,62.63048016701462,62.63048016701462,76,74,152.0,148.0,,,-4.0,4.0,2.7027027027027026
GDN0005,Pause,33,33,33,14981,14981,15460,15460,15131,15129,15189,15187,956.0,956.0,62.761506276150634,62.761506276150634,58,58,116.0,116.0,,,0.0,0.0,0.0
GDN0005,Pause,34,34,34,15460,15460,15925,15925,15609,15607,15667,15666,916.0,916.0,65.50218340611353,65.50218340611353,58,59,116.0,118.0,,,2.0,2.0,1.694915254237288
GDN0005,Pause,35,35,35,15925,15925,16379,16379,16067,16066,16120,16121,906.0,906.0,66.2251655629139,66.2251655629139,53,55,106.0,110.0,,,4.0,4.0,3.6363636363636362
GDN0005,Pause,36,36,36,16379,16379,16836,16836,16520,16518,16592,16577,916.0,916.0,65.50218340611353,65.50218340611353,72,59,144.0,118.0,,,-26.0,26.0,22.033898305084744
GDN0005,Pause,37,37,37,16836,16836,17310,17310,16978,16977,17041,17051,966.0,966.0,62.11180124223603,62.11180124223603,63,74,126.0,148.0,,,22.0,22.0,14.864864864864865
GDN0005,Pause,38,38,38,17310,17310,17802,17802,17461,17459,17520,17534,994.0,994.0,60.36217303822938,60.36217303822938,59,75,118.0,150.0,,,32.0,32.0,21.333333333333336
GDN0005,Pause,39,39,39,17802,17802,18294,18294,17958,17956,18019,18011,980.0,980.0,61.224489795918366,61.224489795918366,61,55,122.0,110.0,,,-12.0,12.0,10.909090909090908
GDN0005,Pause,40,40,40,18294,18294,18788,18788,18448,18446,18526,18522,992.0,992.0,60.483870967741936,60.483870967741936,78,76,156.0,152.0,,,-4.0,4.0,2.631578947368421
GDN0005,Pause,41,41,41,18788,18788,19282,19282,18944,18942,19007,19007,986.0,986.0,60.851926977687626,60.851926977687626,63,65,126.0,130.0,,,4.0,4.0,3.076923076923077
