participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,132.19354838709677,141.4516129032258,-9.258064516129032,19.322580645161292,16.29681747843935,0.24856178510597496,62,62,0
GDN0005,Valsalva,143.77777777777777,163.11111111111111,-19.333333333333332,23.650793650793652,17.33553048612488,0.1264162402989859,63,63,0
GDN0005,HoldingBreath,132.86153846153846,133.3846153846154,-0.5230769230769231,15.784615384615385,12.694470914216529,0.34480842333070644,65,65,0
GDN0005,TiltUp,165.30666666666667,167.33333333333334,-2.026666666666667,12.106666666666667,8.512794274347085,0.4749499501727878,75,75,0
GDN0005,TiltLevel,128.46428571428572,149.42857142857142,-20.964285714285715,25.035714285714285,22.75291353357108,0.10826938632267888,56,56,0
GDN0006,Pause,165.8148148148148,166.92592592592592,-1.1111111111111112,9.851851851851851,5.977809217740742,0.47541146632940495,54,54,0
GDN0006,Valsalva,159.0,154.03703703703704,4.962962962962963,5.62962962962963,3.5159612064304486,0.8460168807612839,54,54,0
GDN0006,TiltUp,191.15625,189.6875,1.46875,12.15625,6.332035608200281,0.3359637273824324,64,64,0
GDN0006,TiltLevel,151.92727272727274,147.85454545454544,4.072727272727272,6.909090909090909,4.885504735361349,0.7139985440589233,55,55,0
GDN0007,Pause,134.61290322580646,150.1290322580645,-15.516129032258064,17.387096774193548,15.68210271529247,0.39693436380170705,62,62,0
GDN0007,Valsalva,144.73684210526315,157.47368421052633,-12.736842105263158,16.035087719298247,12.23911337678412,0.18323074868019984,57,57,0
GDN0007,HoldingBreath,141.16363636363636,147.27272727272728,-6.109090909090909,13.818181818181818,10.71562221187841,0.6508043322383856,55,55,0
GDN0007,TiltUp,156.02857142857144,160.54285714285714,-4.514285714285714,15.371428571428572,10.052690684560133,0.23961316782265626,70,70,0
GDN0007,TiltLevel,139.05454545454546,158.1818181818182,-19.12727272727273,23.12727272727273,20.020529721642614,0.08585508711814169,55,55,0
GDN0008,Pause,158.9090909090909,163.3090909090909,-4.4,16.4,10.281041052727604,0.2465109411461582,55,55,0
GDN0008,Valsalva,164.14285714285714,167.75,-3.607142857142857,13.964285714285714,8.548865353905205,0.3274229926419501,56,56,0
GDN0008,HoldingBreath,173.46268656716418,164.7058823529412,-0.23529411764705882,20.0,12.517402628020726,-0.08014603444816638,67,17,50
GDN0008,TiltUp,183.91044776119404,199.32142857142858,-17.214285714285715,27.285714285714285,15.620393655769607,0.3419121136992859,67,56,11
GDN0008,TiltLevel,172.1153846153846,177.65384615384616,-5.538461538461538,22.23076923076923,13.335489682809591,0.3063008043093111,52,52,0
GDN0009,Pause,150.34615384615384,169.11111111111111,-25.40740740740741,27.48148148148148,19.23448691112961,0.445694973614346,52,27,25
GDN0009,Valsalva,142.23076923076923,176.8181818181818,-36.40909090909091,36.86363636363637,27.69313891631725,0.1300078127230372,52,44,8
