participant,phase,pep_reference_ms,pep_estimated_ms,error_ms,absolute_error_ms,absolute_relative_error_percent,pearson_r,num_pep_total,num_pep_valid,num_pep_invalid
GDN0005,Pause,133.16129032258064,156.95081967213116,-23.57377049180328,24.098360655737704,21.172516170743346,0.3062522326886426,62,61,1
GDN0005,Valsalva,132.76190476190476,154.4516129032258,-20.677419354838708,20.93548387096774,17.46109895632435,0.2717886835245987,63,62,1
GDN0005,HoldingBreath,128.47761194029852,149.84848484848484,-20.848484848484848,21.09090909090909,17.892475342204083,0.4804411003240995,67,66,1
GDN0005,TiltUp,161.82051282051282,188.44155844155844,-26.727272727272727,26.935064935064936,18.55712645713068,0.45549281672180425,78,77,1
GDN0005,TiltLevel,116.63333333333334,158.94915254237287,-42.813559322033896,42.813559322033896,54.33430883433151,0.1699350234684423,60,59,1
GDN0006,Pause,161.14814814814815,176.8846153846154,-15.615384615384615,15.615384615384615,10.111515813309635,0.09078291310040015,54,52,2
GDN0006,Valsalva,154.77777777777777,174.9056603773585,-20.07547169811321,20.07547169811321,13.946623999847485,0.44320997720199434,54,53,1
GDN0006,TiltUp,189.75,203.96825396825398,-14.222222222222221,14.222222222222221,7.683313478034251,0.2602839868927247,64,63,1
GDN0006,TiltLevel,147.2,169.8148148148148,-22.74074074074074,22.74074074074074,17.177581572232267,0.5368047788421206,55,54,1
GDN0007,Pause,129.03225806451613,154.52459016393442,-25.770491803278688,25.770491803278688,28.84098488053207,0.5465507931953976,62,61,1
GDN0007,Valsalva,135.17241379310346,162.49122807017545,-26.596491228070175,26.596491228070175,34.55637805150827,0.540411681988542,58,57,1
GDN0007,HoldingBreath,136.4,162.66666666666666,-26.62962962962963,26.62962962962963,25.342585718452252,0.6346989405284392,55,54,1
GDN0007,TiltUp,157.25714285714287,169.5072463768116,-12.521739130434783,12.521739130434783,8.268141452570504,0.5133377091657242,70,69,1
GDN0007,TiltLevel,129.55172413793105,159.9298245614035,-30.982456140350877,30.982456140350877,33.104047997535716,0.5498082581582981,58,57,1
GDN0008,Pause,158.92857142857142,177.3090909090909,-18.327272727272728,18.327272727272728,11.85593665881086,0.2676106890861028,56,55,1
GDN0008,Valsalva,162.7719298245614,181.78571428571428,-19.0,19.0,12.222516868247558,0.1746944186919961,57,56,1
GDN0008,HoldingBreath,174.85294117647058,189.76470588235293,-24.58823529411765,24.58823529411765,15.021443177000018,0.6002398671124213,68,17,51
GDN0008,TiltUp,184.97058823529412,201.47368421052633,-19.36842105263158,20.842105263157894,12.57086325440752,0.5632719010166475,68,57,11
GDN0008,TiltLevel,172.92307692307693,185.52941176470588,-12.823529411764707,12.823529411764707,7.677983475500739,0.5888111151214209,52,51,1
GDN0009,Pause,145.60714285714286,209.0,-69.5,69.5,50.76987085911604,0.1690142199164874,56,28,28
GDN0009,Valsalva,142.03703703703704,203.54545454545453,-64.18181818181819,64.18181818181819,48.10646224254646,0.30658177144746035,54,44,10
GDN0009,TiltUp,153.0,191.58333333333334,-47.333333333333336,47.333333333333336,35.62530739435531,0.2013767391740223,80,24,56
GDN0009,TiltLevel,147.28,209.0,-64.06666666666666,64.06666666666666,44.56423868780223,0.5836276806941878,50,30,20
GDN0010,Pause,114.31818181818181,145.72093023255815,-30.46511627906977,30.46511627906977,30.445935148224784,-0.01922676478146557,44,43,1
